OG0000014	Pech|nbis-mrna-7020
OG0033978	Pech|nbis-mrna-3204
OG0034044	Pech|nbis-mrna-12125
OG0034045	Pech|nbis-mrna-16227
OG0034050	Pech|nbis-mrna-22443
OG0034069	Pech|nbis-mrna-21057
OG0034077	Pech|nbis-mrna-7801
OG0034081	Pech|nbis-mrna-19762
OG0034095	Pech|nbis-mrna-8107
OG0034141	Pech|nbis-mrna-2638
OG0034174	Pech|nbis-mrna-12991
OG0034175	Pech|nbis-mrna-1961
OG0034197	Pech|nbis-mrna-9398
OG0034200	Pech|nbis-mrna-1832, Pech|nbis-mrna-1833
OG0034234	Pech|nbis-mrna-294, Pech|nbis-mrna-9274
OG0034306	Pech|nbis-mrna-13625, Pech|nbis-mrna-4977
OG0034322	Pech|nbis-mrna-17122
OG0034353	Pech|nbis-mrna-4948
OG0034374	Pech|nbis-mrna-13310
OG0034418	Pech|nbis-mrna-15905, Pech|nbis-mrna-6669
OG0034570	Pech|nbis-mrna-16289
OG0034606	Pech|nbis-mrna-3332
OG0034821	Pech|nbis-mrna-541, Pech|nbis-mrna-6688
OG0035571	Pech|nbis-mrna-12064
OG0036399	Pech|nbis-mrna-11579, Pech|nbis-mrna-5515
OG0038402	Pech|nbis-mrna-4511
OG0038703	Pech|nbis-mrna-22602
OG0038778	Pech|nbis-mrna-15150
OG0039190	Pech|nbis-mrna-18146
OG0039497	Pech|nbis-mrna-6098
OG0039615	Pech|nbis-mrna-13470
OG0040690	Pech|nbis-mrna-14
OG0041058	Pech|nbis-mrna-5117
OG0041082	Pech|nbis-mrna-19425
OG0041545	Pech|nbis-mrna-21524
OG0041759	Pech|nbis-mrna-8060
OG0042017	Pech|nbis-mrna-1925
OG0042157	Pech|nbis-mrna-10045
OG0045315	Pech|nbis-mrna-13900
OG0045674	Pech|nbis-mrna-304
OG0045685	Pech|nbis-mrna-8741
OG0045699	Pech|nbis-mrna-5007
OG0045712	Pech|nbis-mrna-3116
OG0045751	Pech|nbis-mrna-18412
OG0045761	Pech|nbis-mrna-10434
OG0045788	Pech|nbis-mrna-18817
OG0045820	Pech|nbis-mrna-1251
OG0045853	Pech|nbis-mrna-15213
OG0045883	Pech|nbis-mrna-6647
OG0045888	Pech|nbis-mrna-17011
OG0045904	Pech|nbis-mrna-2204
OG0045917	Pech|nbis-mrna-12684
OG0045924	Pech|nbis-mrna-21891
OG0045945	Pech|nbis-mrna-15539
OG0045973	Pech|nbis-mrna-11371
OG0045984	Pech|nbis-mrna-6322
OG0045986	Pech|nbis-mrna-1450
OG0046005	Pech|nbis-mrna-7835
OG0046022	Pech|nbis-mrna-7759
OG0046043	Pech|nbis-mrna-1198
OG0046063	Pech|nbis-mrna-9160
OG0046097	Pech|nbis-mrna-21568
OG0046119	Pech|nbis-mrna-1916
OG0046125	Pech|nbis-mrna-18290
OG0046159	Pech|nbis-mrna-18395
OG0046216	Pech|nbis-mrna-22209
OG0046232	Pech|nbis-mrna-10009
OG0046235	Pech|nbis-mrna-3081
OG0046279	Pech|nbis-mrna-10212
OG0046283	Pech|nbis-mrna-19716
OG0046348	Pech|nbis-mrna-15331
OG0046353	Pech|nbis-mrna-6260
OG0046356	Pech|nbis-mrna-16901
OG0046391	Pech|nbis-mrna-5141
OG0046416	Pech|nbis-mrna-916
OG0046442	Pech|nbis-mrna-2837
OG0046446	Pech|nbis-mrna-10245
OG0046458	Pech|nbis-mrna-10208
OG0046474	Pech|nbis-mrna-12950
OG0046481	Pech|nbis-mrna-13471
OG0046494	Pech|nbis-mrna-9956
OG0046497	Pech|nbis-mrna-3068
OG0046507	Pech|nbis-mrna-10363
OG0046511	Pech|nbis-mrna-3289
OG0046512	Pech|nbis-mrna-3290
OG0046607	Pech|nbis-mrna-7483
OG0046612	Pech|nbis-mrna-18964
OG0046630	Pech|nbis-mrna-19903
OG0046631	Pech|nbis-mrna-5533
OG0046637	Pech|nbis-mrna-11926
OG0046666	Pech|nbis-mrna-21750
OG0046677	Pech|nbis-mrna-264
OG0046706	Pech|nbis-mrna-19255
OG0046707	Pech|nbis-mrna-19254
OG0046718	Pech|nbis-mrna-5631
OG0046743	Pech|nbis-mrna-14427
OG0046766	Pech|nbis-mrna-14961
OG0046823	Pech|nbis-mrna-15314
OG0046835	Pech|nbis-mrna-124
OG0046850	Pech|nbis-mrna-8139
OG0046852	Pech|nbis-mrna-20646
OG0046857	Pech|nbis-mrna-8145
OG0046868	Pech|nbis-mrna-9438
OG0046869	Pech|nbis-mrna-20341
OG0046871	Pech|nbis-mrna-18414
OG0046964	Pech|nbis-mrna-1397
OG0047194	Pech|nbis-mrna-8496
OG0048044	Pech|nbis-mrna-18870
OG0049056	Pech|nbis-mrna-8123
OG0049539	Pech|nbis-mrna-1712
OG0049542	Pech|nbis-mrna-6758
OG0049543	Pech|nbis-mrna-13406
OG0050523	Pech|nbis-mrna-11655
OG0051309	Pech|nbis-mrna-4971
OG0051538	Pech|nbis-mrna-22487
OG0051696	Pech|nbis-mrna-8498
