OG0000043	Oalv|OALVG00000007688.1
OG0014443	Oalv|OALVG00000032109.1, Oalv|OALVG00000032115.1, Oalv|OALVG00000032117.1, Oalv|OALVG00000032118.1, Oalv|OALVG00000032120.1, Oalv|OALVG00000032122.1, Oalv|OALVG00000032124.1, Oalv|OALVG00000032126.1
OG0014445	Oalv|OALVG00000010439.1, Oalv|OALVG00000012332.1, Oalv|OALVG00000013516.1, Oalv|OALVG00000032043.1, Oalv|OALVG00000035411.1
OG0014447	Oalv|OALVG00000002978.1
OG0014448	Oalv|OALVG00000015905.1, Oalv|OALVG00000017678.1, Oalv|OALVG00000023873.1, Oalv|OALVG00000024370.1, Oalv|OALVG00000026503.1, Oalv|OALVG00000031203.1, Oalv|OALVG00000033876.1, Oalv|OALVG00000035837.1
OG0014450	Oalv|OALVG00000007911.1, Oalv|OALVG00000017717.1, Oalv|OALVG00000018859.1, Oalv|OALVG00000018863.1, Oalv|OALVG00000018870.1, Oalv|OALVG00000019826.1, Oalv|OALVG00000019851.1, Oalv|OALVG00000019914.1, Oalv|OALVG00000031078.1
OG0014452	Oalv|OALVG00000007709.1, Oalv|OALVG00000007711.1, Oalv|OALVG00000009980.1, Oalv|OALVG00000010026.1, Oalv|OALVG00000010028.1, Oalv|OALVG00000017001.1, Oalv|OALVG00000017117.1
OG0014456	Oalv|OALVG00000014435.1
OG0014457	Oalv|OALVG00000011832.1, Oalv|OALVG00000011834.1
OG0014461	Oalv|OALVG00000019355.1, Oalv|OALVG00000027113.1
OG0014465	Oalv|OALVG00000007447.1, Oalv|OALVG00000007449.1, Oalv|OALVG00000007451.1
OG0014489	Oalv|OALVG00000009620.1, Oalv|OALVG00000025064.1
OG0014529	Oalv|OALVG00000000039.1, Oalv|OALVG00000000041.1, Oalv|OALVG00000000086.1, Oalv|OALVG00000000112.1, Oalv|OALVG00000000116.1, Oalv|OALVG00000000118.1, Oalv|OALVG00000009790.1, Oalv|OALVG00000029263.1, Oalv|OALVG00000035582.1
OG0014531	Oalv|OALVG00000002509.1, Oalv|OALVG00000014050.1, Oalv|OALVG00000016283.1, Oalv|OALVG00000017470.1, Oalv|OALVG00000017496.1, Oalv|OALVG00000017497.1, Oalv|OALVG00000023331.1, Oalv|OALVG00000031298.1, Oalv|OALVG00000031301.1
OG0014535	Oalv|OALVG00000006260.1
OG0014541	Oalv|OALVG00000016317.1, Oalv|OALVG00000016318.1, Oalv|OALVG00000016320.1, Oalv|OALVG00000016321.1, Oalv|OALVG00000016322.1, Oalv|OALVG00000016323.1, Oalv|OALVG00000016324.1, Oalv|OALVG00000016325.1, Oalv|OALVG00000016326.1
OG0014542	Oalv|OALVG00000017934.1
OG0014689	Oalv|OALVG00000035510.2
OG0014690	Oalv|OALVG00000008951.1, Oalv|OALVG00000017353.1, Oalv|OALVG00000017355.1, Oalv|OALVG00000017356.1, Oalv|OALVG00000017357.1, Oalv|OALVG00000034660.1
OG0014806	Oalv|OALVG00000010552.1
OG0014844	Oalv|OALVG00000003060.1, Oalv|OALVG00000014711.1, Oalv|OALVG00000014712.1
OG0014873	Oalv|OALVG00000007615.1
OG0014898	Oalv|OALVG00000033460.1
OG0014925	Oalv|OALVG00000001471.1, Oalv|OALVG00000015713.1, Oalv|OALVG00000016486.1, Oalv|OALVG00000017624.1, Oalv|OALVG00000020098.1, Oalv|OALVG00000025401.1, Oalv|OALVG00000034427.1
OG0014942	Oalv|OALVG00000028540.1
OG0014978	Oalv|OALVG00000033296.1
OG0014989	Oalv|OALVG00000003357.1
OG0014994	Oalv|OALVG00000022914.1
OG0015039	Oalv|OALVG00000000790.1
OG0015053	Oalv|OALVG00000030723.1
OG0015079	Oalv|OALVG00000008268.1
OG0015171	Oalv|OALVG00000007990.1
OG0015237	Oalv|OALVG00000025571.1, Oalv|OALVG00000025572.1, Oalv|OALVG00000025581.1, Oalv|OALVG00000025584.1, Oalv|OALVG00000025588.1, Oalv|OALVG00000025590.1, Oalv|OALVG00000027069.1
OG0015299	Oalv|OALVG00000008563.1, Oalv|OALVG00000035116.1
OG0015321	Oalv|OALVG00000015136.1, Oalv|OALVG00000020807.1, Oalv|OALVG00000034489.1
OG0015326	Oalv|OALVG00000023952.1
OG0015341	Oalv|OALVG00000010845.1, Oalv|OALVG00000012447.1, Oalv|OALVG00000019399.1
OG0015348	Oalv|OALVG00000002658.1, Oalv|OALVG00000006915.1, Oalv|OALVG00000010526.1, Oalv|OALVG00000035700.1
OG0015352	Oalv|OALVG00000016288.1
OG0015356	Oalv|OALVG00000013911.1
OG0015366	Oalv|OALVG00000006204.1, Oalv|OALVG00000006205.1, Oalv|OALVG00000006209.1, Oalv|OALVG00000006210.1, Oalv|OALVG00000006212.1, Oalv|OALVG00000006213.1, Oalv|OALVG00000006215.1, Oalv|OALVG00000006216.1
OG0015368	Oalv|OALVG00000007203.1
OG0015372	Oalv|OALVG00000004553.1
OG0015378	Oalv|OALVG00000009190.1
OG0015380	Oalv|OALVG00000012225.1, Oalv|OALVG00000019457.1, Oalv|OALVG00000029697.1
OG0015384	Oalv|OALVG00000000565.1, Oalv|OALVG00000019846.1, Oalv|OALVG00000019849.1, Oalv|OALVG00000027263.1, Oalv|OALVG00000027266.1, Oalv|OALVG00000027315.1, Oalv|OALVG00000030824.1, Oalv|OALVG00000032660.1
OG0015387	Oalv|OALVG00000024224.1, Oalv|OALVG00000024225.1, Oalv|OALVG00000024227.1, Oalv|OALVG00000024228.1
OG0015395	Oalv|OALVG00000029372.1
OG0015396	Oalv|OALVG00000017863.1, Oalv|OALVG00000033014.1
OG0015443	Oalv|OALVG00000004342.1
OG0015489	Oalv|OALVG00000006769.1, Oalv|OALVG00000034488.1
OG0015496	Oalv|OALVG00000016468.1, Oalv|OALVG00000016475.1, Oalv|OALVG00000016574.1, Oalv|OALVG00000016582.1, Oalv|OALVG00000033259.1, Oalv|OALVG00000033260.1, Oalv|OALVG00000033261.1
OG0015691	Oalv|OALVG00000019616.1
OG0015696	Oalv|OALVG00000014895.1
OG0015727	Oalv|OALVG00000001486.1
OG0015747	Oalv|OALVG00000031790.1
OG0015774	Oalv|OALVG00000025294.1
OG0015833	Oalv|OALVG00000015998.1
OG0015852	Oalv|OALVG00000017676.1
OG0015890	Oalv|OALVG00000025535.1, Oalv|OALVG00000025536.1, Oalv|OALVG00000025541.1
OG0015910	Oalv|OALVG00000002897.1, Oalv|OALVG00000035038.1, Oalv|OALVG00000035039.1, Oalv|OALVG00000035041.1, Oalv|OALVG00000035044.1, Oalv|OALVG00000035058.1, Oalv|OALVG00000035059.1
OG0015926	Oalv|OALVG00000013470.1
OG0015941	Oalv|OALVG00000002235.1, Oalv|OALVG00000023447.1, Oalv|OALVG00000023719.1, Oalv|OALVG00000033169.1, Oalv|OALVG00000033176.1, Oalv|OALVG00000033177.1
OG0015947	Oalv|OALVG00000008502.1
OG0016016	Oalv|OALVG00000000934.1, Oalv|OALVG00000000936.1, Oalv|OALVG00000000937.1, Oalv|OALVG00000000939.1, Oalv|OALVG00000001035.1, Oalv|OALVG00000016597.1
OG0016107	Oalv|OALVG00000024707.1, Oalv|OALVG00000024708.1
OG0016167	Oalv|OALVG00000012951.1
OG0016249	Oalv|OALVG00000016263.1
OG0016263	Oalv|OALVG00000003536.1
OG0016323	Oalv|OALVG00000001275.1, Oalv|OALVG00000014035.1, Oalv|OALVG00000025661.1, Oalv|OALVG00000025844.1, Oalv|OALVG00000034168.1
OG0016338	Oalv|OALVG00000007278.1
OG0016453	Oalv|OALVG00000020468.1
OG0016466	Oalv|OALVG00000001120.1, Oalv|OALVG00000026280.1, Oalv|OALVG00000026281.1, Oalv|OALVG00000026282.1
OG0016468	Oalv|OALVG00000031650.1
OG0016471	Oalv|OALVG00000014111.1
OG0016474	Oalv|OALVG00000004093.1, Oalv|OALVG00000006350.1, Oalv|OALVG00000011634.1, Oalv|OALVG00000014791.1, Oalv|OALVG00000015301.1, Oalv|OALVG00000016250.1
OG0016483	Oalv|OALVG00000021169.1
OG0016486	Oalv|OALVG00000002360.1, Oalv|OALVG00000006832.1, Oalv|OALVG00000018030.1, Oalv|OALVG00000029009.1, Oalv|OALVG00000030313.1, Oalv|OALVG00000033180.1, Oalv|OALVG00000035040.1
OG0016491	Oalv|OALVG00000015315.1, Oalv|OALVG00000031706.1
OG0016496	Oalv|OALVG00000015654.1, Oalv|OALVG00000015655.1, Oalv|OALVG00000015656.1, Oalv|OALVG00000018909.1, Oalv|OALVG00000018910.1, Oalv|OALVG00000018912.1, Oalv|OALVG00000026901.1
OG0016503	Oalv|OALVG00000006502.1
OG0016505	Oalv|OALVG00000022439.1
OG0016512	Oalv|OALVG00000003469.1, Oalv|OALVG00000003470.1, Oalv|OALVG00000003471.1, Oalv|OALVG00000003640.1, Oalv|OALVG00000004708.1, Oalv|OALVG00000019805.1, Oalv|OALVG00000019806.1
OG0016514	Oalv|OALVG00000008143.1, Oalv|OALVG00000008147.1, Oalv|OALVG00000009964.1, Oalv|OALVG00000025065.1
OG0016525	Oalv|OALVG00000013375.1, Oalv|OALVG00000016761.1, Oalv|OALVG00000016762.1, Oalv|OALVG00000016766.1, Oalv|OALVG00000016817.1, Oalv|OALVG00000016822.1
OG0016526	Oalv|OALVG00000001594.1, Oalv|OALVG00000001595.1, Oalv|OALVG00000013959.1, Oalv|OALVG00000016355.1, Oalv|OALVG00000016368.1, Oalv|OALVG00000018582.1
OG0016528	Oalv|OALVG00000004280.1, Oalv|OALVG00000004303.1, Oalv|OALVG00000031623.1, Oalv|OALVG00000031847.1, Oalv|OALVG00000032770.1, Oalv|OALVG00000034539.1, Oalv|OALVG00000035355.1
OG0016529	Oalv|OALVG00000006810.1, Oalv|OALVG00000011617.1, Oalv|OALVG00000022509.1, Oalv|OALVG00000025123.1, Oalv|OALVG00000029242.1
OG0016576	Oalv|OALVG00000012506.1
OG0016634	Oalv|OALVG00000007380.1, Oalv|OALVG00000010667.1, Oalv|OALVG00000016111.1, Oalv|OALVG00000016113.1, Oalv|OALVG00000016116.1, Oalv|OALVG00000016117.1
OG0016643	Oalv|OALVG00000019678.1, Oalv|OALVG00000019679.1, Oalv|OALVG00000030966.1, Oalv|OALVG00000030967.1, Oalv|OALVG00000030969.1
OG0016888	Oalv|OALVG00000000257.1, Oalv|OALVG00000000316.1
OG0016993	Oalv|OALVG00000009802.1, Oalv|OALVG00000009803.1, Oalv|OALVG00000015042.1, Oalv|OALVG00000015043.1, Oalv|OALVG00000015048.1
OG0016999	Oalv|OALVG00000011639.1, Oalv|OALVG00000011640.1, Oalv|OALVG00000026681.1
OG0017017	Oalv|OALVG00000035399.1
OG0017097	Oalv|OALVG00000002226.1, Oalv|OALVG00000027782.1
OG0017136	Oalv|OALVG00000015693.1
OG0017180	Oalv|OALVG00000018614.1
OG0017232	Oalv|OALVG00000011648.1
OG0017274	Oalv|OALVG00000006739.1
OG0017340	Oalv|OALVG00000031371.1
OG0017424	Oalv|OALVG00000022782.1
OG0017425	Oalv|OALVG00000023046.1, Oalv|OALVG00000034188.1
OG0017497	Oalv|OALVG00000009869.1
OG0017539	Oalv|OALVG00000003568.1
OG0017660	Oalv|OALVG00000035113.1
OG0017669	Oalv|OALVG00000030574.1
OG0017692	Oalv|OALVG00000021875.1
OG0017698	Oalv|OALVG00000023483.1
OG0017731	Oalv|OALVG00000014036.1, Oalv|OALVG00000018535.1, Oalv|OALVG00000025843.1
OG0017735	Oalv|OALVG00000027752.1
OG0017765	Oalv|OALVG00000001499.1, Oalv|OALVG00000001501.1, Oalv|OALVG00000001503.1
OG0017784	Oalv|OALVG00000030835.1, Oalv|OALVG00000032845.1
OG0017837	Oalv|OALVG00000000515.1, Oalv|OALVG00000009319.1
OG0017911	Oalv|OALVG00000029690.1
OG0017940	Oalv|OALVG00000022607.1
OG0017946	Oalv|OALVG00000029041.1, Oalv|OALVG00000032895.1
OG0017950	Oalv|OALVG00000035443.1
OG0017952	Oalv|OALVG00000026786.1
OG0017955	Oalv|OALVG00000008437.1
OG0017963	Oalv|OALVG00000028354.1
OG0017975	Oalv|OALVG00000026798.1
OG0017979	Oalv|OALVG00000005035.1
OG0017981	Oalv|OALVG00000003538.1, Oalv|OALVG00000003539.1, Oalv|OALVG00000010269.1, Oalv|OALVG00000023265.1, Oalv|OALVG00000034944.1
OG0017992	Oalv|OALVG00000004844.1
OG0018009	Oalv|OALVG00000008645.1, Oalv|OALVG00000013758.1, Oalv|OALVG00000015695.1, Oalv|OALVG00000025381.1
OG0018010	Oalv|OALVG00000007598.1, Oalv|OALVG00000009953.1, Oalv|OALVG00000009954.1, Oalv|OALVG00000014209.1, Oalv|OALVG00000019687.1, Oalv|OALVG00000026267.1
OG0018022	Oalv|OALVG00000024616.1
OG0018027	Oalv|OALVG00000006363.1, Oalv|OALVG00000031043.1
OG0018069	Oalv|OALVG00000015425.1
OG0018152	Oalv|OALVG00000004443.1, Oalv|OALVG00000004478.1, Oalv|OALVG00000007854.1, Oalv|OALVG00000009901.1, Oalv|OALVG00000011840.1, Oalv|OALVG00000023967.1
OG0018186	Oalv|OALVG00000000722.1, Oalv|OALVG00000035461.1, Oalv|OALVG00000035462.1, Oalv|OALVG00000035466.1, Oalv|OALVG00000035467.1
OG0018195	Oalv|OALVG00000002988.1, Oalv|OALVG00000002989.1, Oalv|OALVG00000002990.1, Oalv|OALVG00000002991.1, Oalv|OALVG00000002992.1, Oalv|OALVG00000002993.1
OG0018197	Oalv|OALVG00000003711.1, Oalv|OALVG00000016537.1, Oalv|OALVG00000020389.1, Oalv|OALVG00000020390.1, Oalv|OALVG00000030940.1, Oalv|OALVG00000030949.1
OG0018206	Oalv|OALVG00000006821.1, Oalv|OALVG00000028203.1, Oalv|OALVG00000028204.1, Oalv|OALVG00000028205.1, Oalv|OALVG00000028206.1
OG0018208	Oalv|OALVG00000007002.1, Oalv|OALVG00000007003.1, Oalv|OALVG00000008195.1, Oalv|OALVG00000017052.1, Oalv|OALVG00000019813.1, Oalv|OALVG00000023849.1
OG0018215	Oalv|OALVG00000010982.1, Oalv|OALVG00000011053.1, Oalv|OALVG00000012296.1, Oalv|OALVG00000012354.1, Oalv|OALVG00000030646.1, Oalv|OALVG00000035194.1
OG0018227	Oalv|OALVG00000023214.1
OG0018228	Oalv|OALVG00000025103.1
OG0018230	Oalv|OALVG00000029163.1, Oalv|OALVG00000029202.1
OG0018549	Oalv|OALVG00000024992.1
OG0018562	Oalv|OALVG00000013854.1
OG0018591	Oalv|OALVG00000022876.1
OG0018614	Oalv|OALVG00000017227.1
OG0018626	Oalv|OALVG00000032269.1
OG0018659	Oalv|OALVG00000002570.1
OG0018691	Oalv|OALVG00000035350.1
OG0018730	Oalv|OALVG00000012549.1
OG0018753	Oalv|OALVG00000004474.1
OG0018757	Oalv|OALVG00000017187.1
OG0018775	Oalv|OALVG00000009712.1
OG0018783	Oalv|OALVG00000019923.1
OG0018790	Oalv|OALVG00000025373.1, Oalv|OALVG00000025388.1, Oalv|OALVG00000025394.1, Oalv|OALVG00000025399.1
OG0019108	Oalv|OALVG00000034757.1
OG0019174	Oalv|OALVG00000020448.1, Oalv|OALVG00000034446.1
OG0019196	Oalv|OALVG00000006338.1
OG0019199	Oalv|OALVG00000034294.1
OG0019213	Oalv|OALVG00000001325.1
OG0019215	Oalv|OALVG00000011213.1
OG0019221	Oalv|OALVG00000012495.1
OG0019266	Oalv|OALVG00000015648.1
OG0019284	Oalv|OALVG00000011469.1
OG0019315	Oalv|OALVG00000017874.1
OG0019333	Oalv|OALVG00000035225.1
OG0019362	Oalv|OALVG00000027827.1
OG0019393	Oalv|OALVG00000001765.1, Oalv|OALVG00000008746.1, Oalv|OALVG00000013901.1, Oalv|OALVG00000023434.1, Oalv|OALVG00000034513.1
OG0019401	Oalv|OALVG00000007391.1, Oalv|OALVG00000035192.1, Oalv|OALVG00000035245.1
OG0019437	Oalv|OALVG00000001911.1
OG0019444	Oalv|OALVG00000003371.1
OG0019479	Oalv|OALVG00000006681.1, Oalv|OALVG00000026614.1, Oalv|OALVG00000035702.1
OG0019522	Oalv|OALVG00000022316.1
OG0019523	Oalv|OALVG00000026997.1
OG0019525	Oalv|OALVG00000011328.1
OG0019554	Oalv|OALVG00000026983.1
OG0019558	Oalv|OALVG00000011554.1
OG0019580	Oalv|OALVG00000032734.1
OG0019732	Oalv|OALVG00000026515.1
OG0019859	Oalv|OALVG00000014868.1, Oalv|OALVG00000014871.1, Oalv|OALVG00000014877.1, Oalv|OALVG00000014891.1, Oalv|OALVG00000016382.1
OG0019922	Oalv|OALVG00000001150.1, Oalv|OALVG00000001151.1, Oalv|OALVG00000001152.1, Oalv|OALVG00000001153.1, Oalv|OALVG00000017175.1
OG0019947	Oalv|OALVG00000006039.1, Oalv|OALVG00000017786.1, Oalv|OALVG00000018640.1, Oalv|OALVG00000028791.1
OG0019951	Oalv|OALVG00000003730.1, Oalv|OALVG00000003731.1, Oalv|OALVG00000003733.1, Oalv|OALVG00000003734.1
OG0019957	Oalv|OALVG00000004263.1
OG0019968	Oalv|OALVG00000007933.1
OG0019989	Oalv|OALVG00000021381.1, Oalv|OALVG00000027834.1
OG0019993	Oalv|OALVG00000034506.1
OG0019996	Oalv|OALVG00000006371.1, Oalv|OALVG00000015391.1, Oalv|OALVG00000016120.1, Oalv|OALVG00000034137.1
OG0020002	Oalv|OALVG00000019239.1, Oalv|OALVG00000019242.1, Oalv|OALVG00000019571.1, Oalv|OALVG00000019572.1, Oalv|OALVG00000019573.1
OG0020005	Oalv|OALVG00000015847.1
OG0020016	Oalv|OALVG00000029042.1
OG0020019	Oalv|OALVG00000034534.1
OG0020030	Oalv|OALVG00000009116.1
OG0020052	Oalv|OALVG00000027090.1
OG0020059	Oalv|OALVG00000026967.1
OG0020061	Oalv|OALVG00000026250.1
OG0020064	Oalv|OALVG00000003133.1
OG0020069	Oalv|OALVG00000029929.1
OG0020073	Oalv|OALVG00000024095.1
OG0020074	Oalv|OALVG00000019401.1
OG0020076	Oalv|OALVG00000019752.1
OG0020087	Oalv|OALVG00000011673.1
OG0020097	Oalv|OALVG00000014475.1, Oalv|OALVG00000015604.1
OG0020099	Oalv|OALVG00000001760.1, Oalv|OALVG00000021150.1
OG0020101	Oalv|OALVG00000023048.1
OG0020104	Oalv|OALVG00000001106.1, Oalv|OALVG00000007744.1, Oalv|OALVG00000034330.1
OG0020106	Oalv|OALVG00000033803.1
OG0020109	Oalv|OALVG00000006048.1
OG0020116	Oalv|OALVG00000003598.1, Oalv|OALVG00000008495.2
OG0020136	Oalv|OALVG00000013493.1
OG0020147	Oalv|OALVG00000013803.1, Oalv|OALVG00000013805.1, Oalv|OALVG00000013806.1, Oalv|OALVG00000013807.1
OG0020148	Oalv|OALVG00000012450.1, Oalv|OALVG00000014909.1, Oalv|OALVG00000017900.1, Oalv|OALVG00000027557.1
OG0020265	Oalv|OALVG00000003191.1, Oalv|OALVG00000003194.1, Oalv|OALVG00000003196.1, Oalv|OALVG00000012840.1
OG0020346	Oalv|OALVG00000005129.1
OG0020371	Oalv|OALVG00000004470.1, Oalv|OALVG00000004471.1, Oalv|OALVG00000004479.1, Oalv|OALVG00000009121.1, Oalv|OALVG00000025221.1
OG0020373	Oalv|OALVG00000004733.1, Oalv|OALVG00000004734.1, Oalv|OALVG00000009045.1, Oalv|OALVG00000020594.1, Oalv|OALVG00000022851.1
OG0020374	Oalv|OALVG00000004996.1, Oalv|OALVG00000016169.1, Oalv|OALVG00000034384.1, Oalv|OALVG00000034385.1, Oalv|OALVG00000034386.1
OG0020376	Oalv|OALVG00000006332.1
OG0020381	Oalv|OALVG00000007431.1, Oalv|OALVG00000009240.1, Oalv|OALVG00000009241.1, Oalv|OALVG00000009242.1, Oalv|OALVG00000009243.1
OG0020384	Oalv|OALVG00000008357.1, Oalv|OALVG00000013163.1, Oalv|OALVG00000017084.1, Oalv|OALVG00000029327.1, Oalv|OALVG00000034953.1
OG0020387	Oalv|OALVG00000009851.1, Oalv|OALVG00000029526.1, Oalv|OALVG00000029527.1, Oalv|OALVG00000029532.1, Oalv|OALVG00000029533.1
OG0020389	Oalv|OALVG00000010599.1, Oalv|OALVG00000010601.1, Oalv|OALVG00000015405.1, Oalv|OALVG00000018769.1, Oalv|OALVG00000023591.1
OG0020392	Oalv|OALVG00000011275.1, Oalv|OALVG00000011277.1, Oalv|OALVG00000017937.1, Oalv|OALVG00000020009.1, Oalv|OALVG00000025353.1
OG0020398	Oalv|OALVG00000014208.1, Oalv|OALVG00000015749.1, Oalv|OALVG00000019111.1, Oalv|OALVG00000019842.1, Oalv|OALVG00000019843.1
OG0020407	Oalv|OALVG00000017601.1, Oalv|OALVG00000017603.1, Oalv|OALVG00000028301.1, Oalv|OALVG00000028304.1, Oalv|OALVG00000028356.1
OG0020417	Oalv|OALVG00000025669.1
OG0020418	Oalv|OALVG00000025952.1
OG0020420	Oalv|OALVG00000027429.1, Oalv|OALVG00000027430.1, Oalv|OALVG00000027431.1, Oalv|OALVG00000027432.1, Oalv|OALVG00000027433.1
OG0020866	Oalv|OALVG00000028819.1
OG0020907	Oalv|OALVG00000014040.1, Oalv|OALVG00000014042.1
OG0020909	Oalv|OALVG00000002380.1
OG0021169	Oalv|OALVG00000021640.1
OG0021174	Oalv|OALVG00000019405.1
OG0021212	Oalv|OALVG00000019693.1
OG0021338	Oalv|OALVG00000002463.1
OG0021379	Oalv|OALVG00000032376.1
OG0021554	Oalv|OALVG00000002418.1
OG0021558	Oalv|OALVG00000008514.1
OG0021576	Oalv|OALVG00000000556.1, Oalv|OALVG00000019205.1
OG0021640	Oalv|OALVG00000025691.1, Oalv|OALVG00000025692.1
OG0021684	Oalv|OALVG00000029956.1
OG0021687	Oalv|OALVG00000030378.1
OG0021711	Oalv|OALVG00000022801.1, Oalv|OALVG00000022803.1
OG0021801	Oalv|OALVG00000014762.1
OG0021830	Oalv|OALVG00000012202.1
OG0021873	Oalv|OALVG00000020477.1, Oalv|OALVG00000034227.1, Oalv|OALVG00000034237.1
OG0021890	Oalv|OALVG00000026747.1
OG0021928	Oalv|OALVG00000008811.1
OG0021950	Oalv|OALVG00000030149.1
OG0022032	Oalv|OALVG00000004064.1
OG0022043	Oalv|OALVG00000031748.1, Oalv|OALVG00000035196.1, Oalv|OALVG00000035197.1
OG0022044	Oalv|OALVG00000031418.1
OG0022060	Oalv|OALVG00000007374.1
OG0022107	Oalv|OALVG00000028914.1
OG0022132	Oalv|OALVG00000026406.1
OG0022177	Oalv|OALVG00000028053.1
OG0022187	Oalv|OALVG00000024886.1
OG0022196	Oalv|OALVG00000000851.1, Oalv|OALVG00000000882.1
OG0022197	Oalv|OALVG00000008850.1
OG0022212	Oalv|OALVG00000021649.1
OG0022218	Oalv|OALVG00000017261.1
OG0022368	Oalv|OALVG00000000909.1, Oalv|OALVG00000000910.1, Oalv|OALVG00000016818.1
OG0022477	Oalv|OALVG00000005195.1
OG0022493	Oalv|OALVG00000012684.1, Oalv|OALVG00000019498.1, Oalv|OALVG00000019504.1
OG0022570	Oalv|OALVG00000027202.1
OG0022728	Oalv|OALVG00000018011.1
OG0022734	Oalv|OALVG00000006296.1
OG0022750	Oalv|OALVG00000034505.1
OG0022752	Oalv|OALVG00000016590.1
OG0022786	Oalv|OALVG00000023553.1
OG0022787	Oalv|OALVG00000001604.1
OG0022789	Oalv|OALVG00000009570.1
OG0022807	Oalv|OALVG00000017533.1
OG0022810	Oalv|OALVG00000006219.1
OG0022825	Oalv|OALVG00000028936.1
OG0022833	Oalv|OALVG00000017829.1, Oalv|OALVG00000032920.1
OG0022841	Oalv|OALVG00000001465.1
OG0022858	Oalv|OALVG00000013171.1
OG0022883	Oalv|OALVG00000026400.1
OG0022889	Oalv|OALVG00000011626.1, Oalv|OALVG00000019597.1
OG0022894	Oalv|OALVG00000029031.1
OG0022906	Oalv|OALVG00000011572.1
OG0022911	Oalv|OALVG00000021586.1
OG0022915	Oalv|OALVG00000025900.1
OG0022928	Oalv|OALVG00000004159.1
OG0022951	Oalv|OALVG00000013728.1, Oalv|OALVG00000013747.1
OG0022956	Oalv|OALVG00000003252.1
OG0022968	Oalv|OALVG00000008042.1
OG0022974	Oalv|OALVG00000003187.1
OG0022987	Oalv|OALVG00000011826.1
OG0022989	Oalv|OALVG00000003777.1, Oalv|OALVG00000015046.1
OG0022998	Oalv|OALVG00000015925.1
OG0023004	Oalv|OALVG00000025189.1
OG0023034	Oalv|OALVG00000000889.1
OG0023048	Oalv|OALVG00000002644.1
OG0023054	Oalv|OALVG00000011446.1, Oalv|OALVG00000011447.1
OG0023064	Oalv|OALVG00000018583.1, Oalv|OALVG00000019676.1
OG0023077	Oalv|OALVG00000021843.1, Oalv|OALVG00000021844.1, Oalv|OALVG00000021845.1, Oalv|OALVG00000021848.1
OG0023081	Oalv|OALVG00000003867.1, Oalv|OALVG00000003868.1, Oalv|OALVG00000003870.1
OG0023085	Oalv|OALVG00000003604.1, Oalv|OALVG00000003606.1, Oalv|OALVG00000003607.1
OG0023088	Oalv|OALVG00000013435.1
OG0023089	Oalv|OALVG00000026908.1, Oalv|OALVG00000031711.1, Oalv|OALVG00000035726.1
OG0023090	Oalv|OALVG00000029175.1, Oalv|OALVG00000029176.1, Oalv|OALVG00000029177.1
OG0023092	Oalv|OALVG00000020033.1, Oalv|OALVG00000020034.1, Oalv|OALVG00000020035.1
OG0023093	Oalv|OALVG00000023372.1, Oalv|OALVG00000026162.1, Oalv|OALVG00000026163.1, Oalv|OALVG00000026164.1
OG0023094	Oalv|OALVG00000001276.1
OG0023102	Oalv|OALVG00000008914.1, Oalv|OALVG00000008915.1, Oalv|OALVG00000008917.1
OG0023114	Oalv|OALVG00000034533.1
OG0023366	Oalv|OALVG00000017259.1
OG0023414	Oalv|OALVG00000012107.1, Oalv|OALVG00000020199.1, Oalv|OALVG00000034994.1
OG0023417	Oalv|OALVG00000029416.1
OG0023460	Oalv|OALVG00000031618.1
OG0023503	Oalv|OALVG00000005114.1
OG0023505	Oalv|OALVG00000005256.1, Oalv|OALVG00000005263.1, Oalv|OALVG00000007407.1, Oalv|OALVG00000007408.1
OG0023510	Oalv|OALVG00000006792.1, Oalv|OALVG00000027178.1, Oalv|OALVG00000027180.1
OG0023517	Oalv|OALVG00000008503.1
OG0023526	Oalv|OALVG00000011717.1, Oalv|OALVG00000011719.1, Oalv|OALVG00000028729.1, Oalv|OALVG00000028732.1
OG0023528	Oalv|OALVG00000012112.1, Oalv|OALVG00000015300.1, Oalv|OALVG00000019400.1, Oalv|OALVG00000034512.1
OG0023541	Oalv|OALVG00000016110.1, Oalv|OALVG00000016112.1
OG0023545	Oalv|OALVG00000018538.1, Oalv|OALVG00000019517.1, Oalv|OALVG00000019519.1, Oalv|OALVG00000019520.1
OG0023548	Oalv|OALVG00000019862.1
OG0023553	Oalv|OALVG00000023577.1, Oalv|OALVG00000023602.1, Oalv|OALVG00000023603.1, Oalv|OALVG00000023604.1
OG0023560	Oalv|OALVG00000026502.1, Oalv|OALVG00000026611.1, Oalv|OALVG00000026616.1
OG0023575	Oalv|OALVG00000034928.1, Oalv|OALVG00000034929.1, Oalv|OALVG00000034930.1, Oalv|OALVG00000034931.1
OG0024218	Oalv|OALVG00000008171.1
OG0024336	Oalv|OALVG00000032019.1
OG0024361	Oalv|OALVG00000027831.1
OG0024414	Oalv|OALVG00000025493.1
OG0024581	Oalv|OALVG00000016132.1
OG0024600	Oalv|OALVG00000005439.1
OG0024613	Oalv|OALVG00000007616.1, Oalv|OALVG00000007620.1
OG0024784	Oalv|OALVG00000013657.1, Oalv|OALVG00000013658.1
OG0024848	Oalv|OALVG00000000533.1
OG0024874	Oalv|OALVG00000024975.1
OG0024894	Oalv|OALVG00000015292.1, Oalv|OALVG00000015296.1
