OG0000043	OALVG00000007688.1
OG0017180	OALVG00000018614.1
OG0017232	OALVG00000011648.1
OG0017274	OALVG00000006739.1
OG0017340	OALVG00000031371.1
OG0017424	OALVG00000022782.1
OG0017425	OALVG00000023046.1, OALVG00000034188.1
OG0017497	OALVG00000009869.1
OG0017539	OALVG00000003568.1
OG0017660	OALVG00000035113.1
OG0017669	OALVG00000030574.1
OG0017692	OALVG00000021875.1
OG0017698	OALVG00000023483.1
OG0017731	OALVG00000014036.1, OALVG00000018535.1, OALVG00000025843.1
OG0017735	OALVG00000027752.1
OG0017765	OALVG00000001499.1, OALVG00000001501.1, OALVG00000001503.1
OG0017784	OALVG00000030835.1, OALVG00000032845.1
OG0017837	OALVG00000000515.1, OALVG00000009319.1
OG0017911	OALVG00000029690.1
OG0017940	OALVG00000022607.1
OG0017946	OALVG00000029041.1, OALVG00000032895.1
OG0017950	OALVG00000035443.1
OG0017952	OALVG00000026786.1
OG0017955	OALVG00000008437.1
OG0017963	OALVG00000028354.1
OG0017975	OALVG00000026798.1
OG0017979	OALVG00000005035.1
OG0017981	OALVG00000003538.1, OALVG00000003539.1, OALVG00000010269.1, OALVG00000023265.1, OALVG00000034944.1
OG0017992	OALVG00000004844.1
OG0018009	OALVG00000008645.1, OALVG00000013758.1, OALVG00000015695.1, OALVG00000025381.1
OG0018010	OALVG00000007598.1, OALVG00000009953.1, OALVG00000009954.1, OALVG00000014209.1, OALVG00000019687.1, OALVG00000026267.1
OG0018022	OALVG00000024616.1
OG0018027	OALVG00000006363.1, OALVG00000031043.1
OG0018069	OALVG00000015425.1
OG0018152	OALVG00000004443.1, OALVG00000004478.1, OALVG00000007854.1, OALVG00000009901.1, OALVG00000011840.1, OALVG00000023967.1
OG0018186	OALVG00000000722.1, OALVG00000035461.1, OALVG00000035462.1, OALVG00000035466.1, OALVG00000035467.1
OG0018195	OALVG00000002988.1, OALVG00000002989.1, OALVG00000002990.1, OALVG00000002991.1, OALVG00000002992.1, OALVG00000002993.1
OG0018197	OALVG00000003711.1, OALVG00000016537.1, OALVG00000020389.1, OALVG00000020390.1, OALVG00000030940.1, OALVG00000030949.1
OG0018206	OALVG00000006821.1, OALVG00000028203.1, OALVG00000028204.1, OALVG00000028205.1, OALVG00000028206.1
OG0018208	OALVG00000007002.1, OALVG00000007003.1, OALVG00000008195.1, OALVG00000017052.1, OALVG00000019813.1, OALVG00000023849.1
OG0018215	OALVG00000010982.1, OALVG00000011053.1, OALVG00000012296.1, OALVG00000012354.1, OALVG00000030646.1, OALVG00000035194.1
OG0018227	OALVG00000023214.1
OG0018228	OALVG00000025103.1
OG0018230	OALVG00000029163.1, OALVG00000029202.1
OG0018549	OALVG00000024992.1
OG0018562	OALVG00000013854.1
OG0018591	OALVG00000022876.1
OG0018614	OALVG00000017227.1
OG0018626	OALVG00000032269.1
OG0018659	OALVG00000002570.1
OG0018691	OALVG00000035350.1
OG0018730	OALVG00000012549.1
OG0018753	OALVG00000004474.1
OG0018757	OALVG00000017187.1
OG0018775	OALVG00000009712.1
OG0018783	OALVG00000019923.1
OG0018790	OALVG00000025373.1, OALVG00000025388.1, OALVG00000025394.1, OALVG00000025399.1
OG0019108	OALVG00000034757.1
OG0019174	OALVG00000020448.1, OALVG00000034446.1
OG0019196	OALVG00000006338.1
OG0019199	OALVG00000034294.1
OG0019213	OALVG00000001325.1
OG0019215	OALVG00000011213.1
OG0019221	OALVG00000012495.1
OG0019266	OALVG00000015648.1
OG0019284	OALVG00000011469.1
OG0019315	OALVG00000017874.1
OG0019333	OALVG00000035225.1
OG0019362	OALVG00000027827.1
OG0019393	OALVG00000001765.1, OALVG00000008746.1, OALVG00000013901.1, OALVG00000023434.1, OALVG00000034513.1
OG0019401	OALVG00000007391.1, OALVG00000035192.1, OALVG00000035245.1
OG0019437	OALVG00000001911.1
OG0019444	OALVG00000003371.1
OG0019479	OALVG00000006681.1, OALVG00000026614.1, OALVG00000035702.1
OG0019522	OALVG00000022316.1
OG0019523	OALVG00000026997.1
OG0019525	OALVG00000011328.1
OG0019554	OALVG00000026983.1
OG0019558	OALVG00000011554.1
OG0019580	OALVG00000032734.1
OG0019732	OALVG00000026515.1
OG0019859	OALVG00000014868.1, OALVG00000014871.1, OALVG00000014877.1, OALVG00000014891.1, OALVG00000016382.1
OG0019922	OALVG00000001150.1, OALVG00000001151.1, OALVG00000001152.1, OALVG00000001153.1, OALVG00000017175.1
OG0019947	OALVG00000006039.1, OALVG00000017786.1, OALVG00000018640.1, OALVG00000028791.1
OG0019951	OALVG00000003730.1, OALVG00000003731.1, OALVG00000003733.1, OALVG00000003734.1
OG0019957	OALVG00000004263.1
OG0019968	OALVG00000007933.1
OG0019989	OALVG00000021381.1, OALVG00000027834.1
OG0019993	OALVG00000034506.1
OG0019996	OALVG00000006371.1, OALVG00000015391.1, OALVG00000016120.1, OALVG00000034137.1
OG0020002	OALVG00000019239.1, OALVG00000019242.1, OALVG00000019571.1, OALVG00000019572.1, OALVG00000019573.1
OG0020005	OALVG00000015847.1
OG0020016	OALVG00000029042.1
OG0020019	OALVG00000034534.1
OG0020030	OALVG00000009116.1
OG0020052	OALVG00000027090.1
OG0020059	OALVG00000026967.1
OG0020061	OALVG00000026250.1
OG0020064	OALVG00000003133.1
OG0020069	OALVG00000029929.1
OG0020073	OALVG00000024095.1
OG0020074	OALVG00000019401.1
OG0020076	OALVG00000019752.1
OG0020087	OALVG00000011673.1
OG0020097	OALVG00000014475.1, OALVG00000015604.1
OG0020099	OALVG00000001760.1, OALVG00000021150.1
OG0020101	OALVG00000023048.1
OG0020104	OALVG00000001106.1, OALVG00000007744.1, OALVG00000034330.1
OG0020106	OALVG00000033803.1
OG0020109	OALVG00000006048.1
OG0020116	OALVG00000003598.1, OALVG00000008495.2
OG0020136	OALVG00000013493.1
OG0020147	OALVG00000013803.1, OALVG00000013805.1, OALVG00000013806.1, OALVG00000013807.1
OG0020148	OALVG00000012450.1, OALVG00000014909.1, OALVG00000017900.1, OALVG00000027557.1
OG0020265	OALVG00000003191.1, OALVG00000003194.1, OALVG00000003196.1, OALVG00000012840.1
OG0020346	OALVG00000005129.1
OG0020371	OALVG00000004470.1, OALVG00000004471.1, OALVG00000004479.1, OALVG00000009121.1, OALVG00000025221.1
OG0020373	OALVG00000004733.1, OALVG00000004734.1, OALVG00000009045.1, OALVG00000020594.1, OALVG00000022851.1
OG0020374	OALVG00000004996.1, OALVG00000016169.1, OALVG00000034384.1, OALVG00000034385.1, OALVG00000034386.1
OG0020376	OALVG00000006332.1
OG0020381	OALVG00000007431.1, OALVG00000009240.1, OALVG00000009241.1, OALVG00000009242.1, OALVG00000009243.1
OG0020384	OALVG00000008357.1, OALVG00000013163.1, OALVG00000017084.1, OALVG00000029327.1, OALVG00000034953.1
OG0020387	OALVG00000009851.1, OALVG00000029526.1, OALVG00000029527.1, OALVG00000029532.1, OALVG00000029533.1
OG0020389	OALVG00000010599.1, OALVG00000010601.1, OALVG00000015405.1, OALVG00000018769.1, OALVG00000023591.1
OG0020392	OALVG00000011275.1, OALVG00000011277.1, OALVG00000017937.1, OALVG00000020009.1, OALVG00000025353.1
OG0020398	OALVG00000014208.1, OALVG00000015749.1, OALVG00000019111.1, OALVG00000019842.1, OALVG00000019843.1
OG0020407	OALVG00000017601.1, OALVG00000017603.1, OALVG00000028301.1, OALVG00000028304.1, OALVG00000028356.1
OG0020417	OALVG00000025669.1
OG0020418	OALVG00000025952.1
OG0020420	OALVG00000027429.1, OALVG00000027430.1, OALVG00000027431.1, OALVG00000027432.1, OALVG00000027433.1
OG0020866	OALVG00000028819.1
OG0020907	OALVG00000014040.1, OALVG00000014042.1
OG0020909	OALVG00000002380.1
OG0021169	OALVG00000021640.1
OG0021174	OALVG00000019405.1
OG0021212	OALVG00000019693.1
OG0021338	OALVG00000002463.1
OG0021379	OALVG00000032376.1
OG0021554	OALVG00000002418.1
OG0021558	OALVG00000008514.1
OG0021576	OALVG00000000556.1, OALVG00000019205.1
OG0021640	OALVG00000025691.1, OALVG00000025692.1
OG0021684	OALVG00000029956.1
OG0021687	OALVG00000030378.1
OG0021711	OALVG00000022801.1, OALVG00000022803.1
OG0021801	OALVG00000014762.1
OG0021830	OALVG00000012202.1
OG0021873	OALVG00000020477.1, OALVG00000034227.1, OALVG00000034237.1
OG0021890	OALVG00000026747.1
OG0021928	OALVG00000008811.1
OG0021950	OALVG00000030149.1
OG0022032	OALVG00000004064.1
OG0022043	OALVG00000031748.1, OALVG00000035196.1, OALVG00000035197.1
OG0022044	OALVG00000031418.1
OG0022060	OALVG00000007374.1
OG0022107	OALVG00000028914.1
OG0022132	OALVG00000026406.1
OG0022177	OALVG00000028053.1
OG0022187	OALVG00000024886.1
OG0022196	OALVG00000000851.1, OALVG00000000882.1
OG0022197	OALVG00000008850.1
OG0022212	OALVG00000021649.1
OG0022218	OALVG00000017261.1
OG0022368	OALVG00000000909.1, OALVG00000000910.1, OALVG00000016818.1
OG0022477	OALVG00000005195.1
OG0022493	OALVG00000012684.1, OALVG00000019498.1, OALVG00000019504.1
OG0022570	OALVG00000027202.1
OG0022728	OALVG00000018011.1
OG0022734	OALVG00000006296.1
OG0022750	OALVG00000034505.1
OG0022752	OALVG00000016590.1
OG0022786	OALVG00000023553.1
OG0022787	OALVG00000001604.1
OG0022789	OALVG00000009570.1
OG0022807	OALVG00000017533.1
OG0022810	OALVG00000006219.1
OG0022825	OALVG00000028936.1
OG0022833	OALVG00000017829.1, OALVG00000032920.1
OG0022841	OALVG00000001465.1
OG0022858	OALVG00000013171.1
OG0022883	OALVG00000026400.1
OG0022889	OALVG00000011626.1, OALVG00000019597.1
OG0022894	OALVG00000029031.1
OG0022906	OALVG00000011572.1
OG0022911	OALVG00000021586.1
OG0022915	OALVG00000025900.1
OG0022928	OALVG00000004159.1
OG0022951	OALVG00000013728.1, OALVG00000013747.1
OG0022956	OALVG00000003252.1
OG0022968	OALVG00000008042.1
OG0022974	OALVG00000003187.1
OG0022987	OALVG00000011826.1
OG0022989	OALVG00000003777.1, OALVG00000015046.1
OG0022998	OALVG00000015925.1
OG0023004	OALVG00000025189.1
OG0023034	OALVG00000000889.1
OG0023048	OALVG00000002644.1
OG0023054	OALVG00000011446.1, OALVG00000011447.1
OG0023064	OALVG00000018583.1, OALVG00000019676.1
OG0023077	OALVG00000021843.1, OALVG00000021844.1, OALVG00000021845.1, OALVG00000021848.1
OG0023081	OALVG00000003867.1, OALVG00000003868.1, OALVG00000003870.1
OG0023085	OALVG00000003604.1, OALVG00000003606.1, OALVG00000003607.1
OG0023088	OALVG00000013435.1
OG0023089	OALVG00000026908.1, OALVG00000031711.1, OALVG00000035726.1
OG0023090	OALVG00000029175.1, OALVG00000029176.1, OALVG00000029177.1
OG0023092	OALVG00000020033.1, OALVG00000020034.1, OALVG00000020035.1
OG0023093	OALVG00000023372.1, OALVG00000026162.1, OALVG00000026163.1, OALVG00000026164.1
OG0023094	OALVG00000001276.1
OG0023102	OALVG00000008914.1, OALVG00000008915.1, OALVG00000008917.1
OG0023114	OALVG00000034533.1
OG0023366	OALVG00000017259.1
OG0023414	OALVG00000012107.1, OALVG00000020199.1, OALVG00000034994.1
OG0023417	OALVG00000029416.1
OG0023460	OALVG00000031618.1
OG0023503	OALVG00000005114.1
OG0023505	OALVG00000005256.1, OALVG00000005263.1, OALVG00000007407.1, OALVG00000007408.1
OG0023510	OALVG00000006792.1, OALVG00000027178.1, OALVG00000027180.1
OG0023517	OALVG00000008503.1
OG0023526	OALVG00000011717.1, OALVG00000011719.1, OALVG00000028729.1, OALVG00000028732.1
OG0023528	OALVG00000012112.1, OALVG00000015300.1, OALVG00000019400.1, OALVG00000034512.1
OG0023541	OALVG00000016110.1, OALVG00000016112.1
OG0023545	OALVG00000018538.1, OALVG00000019517.1, OALVG00000019519.1, OALVG00000019520.1
OG0023548	OALVG00000019862.1
OG0023553	OALVG00000023577.1, OALVG00000023602.1, OALVG00000023603.1, OALVG00000023604.1
OG0023560	OALVG00000026502.1, OALVG00000026611.1, OALVG00000026616.1
OG0023575	OALVG00000034928.1, OALVG00000034929.1, OALVG00000034930.1, OALVG00000034931.1
OG0024218	OALVG00000008171.1
OG0024336	OALVG00000032019.1
OG0024361	OALVG00000027831.1
OG0024414	OALVG00000025493.1
OG0024581	OALVG00000016132.1
OG0024600	OALVG00000005439.1
OG0024613	OALVG00000007616.1, OALVG00000007620.1
OG0024784	OALVG00000013657.1, OALVG00000013658.1
OG0024848	OALVG00000000533.1
OG0024874	OALVG00000024975.1
OG0024894	OALVG00000015292.1, OALVG00000015296.1
OG0024961	OALVG00000006301.1
OG0025040	OALVG00000019238.1
OG0025112	OALVG00000002690.1
OG0025374	OALVG00000028617.1
OG0025376	OALVG00000003363.1
OG0025483	OALVG00000011240.1
OG0025627	OALVG00000013886.1
OG0025757	OALVG00000025130.1
OG0025918	OALVG00000006024.1
OG0025982	OALVG00000030038.1
OG0026027	OALVG00000009039.1
OG0026196	OALVG00000006689.1
OG0026219	OALVG00000002388.1, OALVG00000002392.1, OALVG00000017349.1
OG0026327	OALVG00000025028.1, OALVG00000025038.1, OALVG00000025045.1
OG0026497	OALVG00000031399.1
OG0026546	OALVG00000013737.1, OALVG00000033036.1
OG0026574	OALVG00000023843.1
OG0026595	OALVG00000024463.1
OG0026767	OALVG00000010453.1
OG0026789	OALVG00000031728.1
OG0026803	OALVG00000004765.1, OALVG00000004766.1, OALVG00000004767.1
OG0026823	OALVG00000005469.1
OG0026842	OALVG00000014087.1
OG0026843	OALVG00000032100.1
OG0026858	OALVG00000015917.1
OG0026884	OALVG00000021041.1
OG0026907	OALVG00000021491.1
OG0026916	OALVG00000009312.1, OALVG00000009314.1, OALVG00000009316.1
OG0026920	OALVG00000003492.1, OALVG00000003493.1
OG0026926	OALVG00000006328.1
OG0026929	OALVG00000026172.1
OG0026938	OALVG00000002086.1
OG0026948	OALVG00000005753.1
OG0026950	OALVG00000000574.1, OALVG00000010058.1
OG0026958	OALVG00000013719.1, OALVG00000013753.1
OG0026971	OALVG00000024195.1, OALVG00000024197.1
OG0026986	OALVG00000023976.1
OG0026990	OALVG00000018862.1, OALVG00000018866.1, OALVG00000018872.1
OG0027005	OALVG00000017968.1
OG0027012	OALVG00000023528.1, OALVG00000023529.1
OG0027022	OALVG00000009390.1
OG0027037	OALVG00000009896.1, OALVG00000019143.1
OG0027046	OALVG00000009538.1
OG0027059	OALVG00000011591.1
OG0027100	OALVG00000009906.1
OG0027119	OALVG00000034106.1
OG0027127	OALVG00000024568.1
OG0027128	OALVG00000033603.1
OG0027159	OALVG00000027535.1
OG0027177	OALVG00000007964.1
OG0027183	OALVG00000008889.1
OG0027193	OALVG00000019220.1
OG0027195	OALVG00000002390.1
OG0027217	OALVG00000027068.1
OG0027218	OALVG00000004749.1, OALVG00000004751.1
OG0027234	OALVG00000025898.1, OALVG00000025901.1, OALVG00000027145.1
OG0027235	OALVG00000010964.1
OG0027238	OALVG00000016545.1, OALVG00000018770.1
OG0027248	OALVG00000000992.1, OALVG00000001013.1
OG0027263	OALVG00000025693.1
OG0027273	OALVG00000008707.1
OG0027276	OALVG00000023333.1, OALVG00000023334.1
OG0027294	OALVG00000034476.1, OALVG00000034477.1
OG0027309	OALVG00000020023.1
OG0027315	OALVG00000024291.1
OG0027321	OALVG00000015054.1
OG0027328	OALVG00000012634.1, OALVG00000012640.1, OALVG00000034801.1
OG0027346	OALVG00000033880.1
OG0027348	OALVG00000001790.2
OG0027359	OALVG00000018628.1, OALVG00000018634.1
OG0027377	OALVG00000005836.1, OALVG00000005904.1, OALVG00000032804.1
OG0027385	OALVG00000020122.1
OG0027387	OALVG00000025939.1
OG0027391	OALVG00000025355.2
OG0027393	OALVG00000009631.1
OG0027414	OALVG00000032472.1
OG0027421	OALVG00000014408.1, OALVG00000015470.1
OG0027425	OALVG00000025916.1, OALVG00000025918.1
OG0027427	OALVG00000007652.1, OALVG00000007654.1, OALVG00000007655.1
OG0027429	OALVG00000005121.1, OALVG00000005940.1
OG0027444	OALVG00000005099.1
OG0027447	OALVG00000002982.1, OALVG00000015592.1, OALVG00000015603.1
OG0027463	OALVG00000025283.1
OG0027469	OALVG00000014963.1, OALVG00000014964.1, OALVG00000018584.1
OG0027502	OALVG00000029933.1
OG0027595	OALVG00000005590.1
OG0027942	OALVG00000000576.1, OALVG00000005303.1, OALVG00000014598.1
OG0028013	OALVG00000014817.1, OALVG00000015290.1, OALVG00000019372.1
OG0028030	OALVG00000027271.1, OALVG00000027272.1, OALVG00000027306.1
OG0028116	OALVG00000000920.1, OALVG00000000922.1, OALVG00000019933.1
OG0028122	OALVG00000001509.1, OALVG00000001510.1, OALVG00000001512.1
OG0028137	OALVG00000003378.1
OG0028138	OALVG00000003419.1, OALVG00000003421.1, OALVG00000028172.1
OG0028139	OALVG00000003420.1, OALVG00000006652.1, OALVG00000011789.1
OG0028143	OALVG00000004689.1
OG0028144	OALVG00000004940.1, OALVG00000025762.1, OALVG00000025763.1
OG0028151	OALVG00000006645.1
OG0028155	OALVG00000006955.1
OG0028163	OALVG00000008066.1
OG0028165	OALVG00000008173.1, OALVG00000029392.1
OG0028175	OALVG00000009535.1, OALVG00000009536.1, OALVG00000009541.1
OG0028195	OALVG00000015908.1, OALVG00000015911.1
OG0028196	OALVG00000015997.1
OG0028208	OALVG00000019105.1
OG0028210	OALVG00000019482.1, OALVG00000024039.1
OG0029492	OALVG00000009877.1
OG0029510	OALVG00000010097.1
OG0029875	OALVG00000020183.1
OG0029949	OALVG00000033624.1
OG0029958	OALVG00000011527.1, OALVG00000022960.1
OG0030110	OALVG00000008506.1, OALVG00000008517.1
OG0030331	OALVG00000014659.1
OG0030604	OALVG00000033983.1
OG0030742	OALVG00000021762.1
OG0031017	OALVG00000031727.1
OG0031060	OALVG00000000175.1
OG0031184	OALVG00000005428.1
OG0031245	OALVG00000011958.1
OG0031310	OALVG00000012358.1
OG0031328	OALVG00000022323.1
OG0031332	OALVG00000028173.1
OG0031371	OALVG00000026273.1
OG0031433	OALVG00000025295.1
OG0031434	OALVG00000035656.1
OG0031438	OALVG00000008606.1
OG0031577	OALVG00000020063.1
OG0031611	OALVG00000028261.1
OG0031648	OALVG00000010664.1
OG0031765	OALVG00000010424.1
OG0031797	OALVG00000026407.1
OG0031820	OALVG00000009184.1, OALVG00000016286.1
OG0031867	OALVG00000001997.1
OG0031875	OALVG00000022461.1
OG0031899	OALVG00000020491.1
OG0031985	OALVG00000002684.1
OG0032027	OALVG00000019601.1
OG0032067	OALVG00000022038.1
OG0032929	OALVG00000026697.1
OG0033094	OALVG00000008366.1, OALVG00000025949.1
OG0033118	OALVG00000009571.1, OALVG00000015291.1
OG0033211	OALVG00000017439.1
OG0033438	OALVG00000031266.1
OG0033445	OALVG00000005259.1
OG0033462	OALVG00000022155.1
OG0033465	OALVG00000007315.1
OG0033469	OALVG00000031704.1
OG0033480	OALVG00000012178.1
OG0033482	OALVG00000012909.1, OALVG00000012911.1
OG0033502	OALVG00000030442.1
OG0033504	OALVG00000031209.1
OG0033507	OALVG00000023979.1
OG0033518	OALVG00000022425.1
OG0033521	OALVG00000004488.1
OG0033529	OALVG00000024873.1
OG0033531	OALVG00000031087.1
OG0033542	OALVG00000014780.1
OG0033553	OALVG00000020050.1
OG0033558	OALVG00000021171.1
OG0033566	OALVG00000021413.1
OG0033568	OALVG00000003410.1
OG0033575	OALVG00000032000.1
OG0033579	OALVG00000003794.1
OG0033582	OALVG00000012422.1, OALVG00000012423.1
OG0033583	OALVG00000023481.1
OG0033591	OALVG00000029197.1
OG0033592	OALVG00000032897.1
OG0033594	OALVG00000007418.1, OALVG00000007419.1
OG0033624	OALVG00000003850.1
OG0033637	OALVG00000001456.1
OG0033660	OALVG00000022002.1
OG0033678	OALVG00000035114.1
OG0033689	OALVG00000026425.1, OALVG00000026426.1
OG0033701	OALVG00000009327.1
OG0033706	OALVG00000021020.1, OALVG00000021022.1
OG0033716	OALVG00000014601.1, OALVG00000027729.1
OG0033718	OALVG00000001900.1
OG0033719	OALVG00000001901.1
OG0033757	OALVG00000005453.1
OG0033761	OALVG00000017157.1, OALVG00000025098.1
OG0033772	OALVG00000017059.1
OG0033794	OALVG00000008634.1, OALVG00000008635.1
OG0033801	OALVG00000005051.1
OG0033803	OALVG00000003625.1
OG0033819	OALVG00000030039.1
OG0033838	OALVG00000034110.1, OALVG00000034115.1
OG0033842	OALVG00000024569.1
OG0033843	OALVG00000024566.1, OALVG00000024567.1
OG0033844	OALVG00000024565.1
OG0033859	OALVG00000031955.1
OG0033863	OALVG00000017776.1
OG0033869	OALVG00000015244.1
OG0033874	OALVG00000001352.1
OG0033885	OALVG00000012298.1
OG0033893	OALVG00000010478.1
OG0033894	OALVG00000015879.1
OG0033905	OALVG00000000048.1
OG0033910	OALVG00000008886.1, OALVG00000008887.1
OG0033917	OALVG00000020832.1
OG0033926	OALVG00000018639.1
OG0033946	OALVG00000011327.1
OG0033976	OALVG00000026907.1
OG0033980	OALVG00000028150.1
OG0033988	OALVG00000034021.1
OG0034002	OALVG00000035695.1
OG0034008	OALVG00000003188.1, OALVG00000003189.1
OG0034033	OALVG00000008792.1, OALVG00000008794.1
OG0034051	OALVG00000001764.1, OALVG00000034395.1
OG0034070	OALVG00000019312.1
OG0034079	OALVG00000012190.1
OG0034085	OALVG00000008136.1, OALVG00000008137.1
OG0034094	OALVG00000019775.1
OG0034099	OALVG00000014097.1
OG0034109	OALVG00000005054.1
OG0034115	OALVG00000017551.1
OG0034130	OALVG00000012459.1
OG0034132	OALVG00000029432.1
OG0034144	OALVG00000027637.1
OG0034145	OALVG00000034748.1
OG0034148	OALVG00000030735.1
OG0034167	OALVG00000030926.1, OALVG00000030927.1
OG0034168	OALVG00000035125.1
OG0034179	OALVG00000011755.1, OALVG00000028781.1
OG0034193	OALVG00000022969.1
OG0034196	OALVG00000003666.1
OG0034203	OALVG00000022059.1
OG0034204	OALVG00000028893.1
OG0034215	OALVG00000017643.1
OG0034223	OALVG00000006846.1, OALVG00000026700.1
OG0034226	OALVG00000006866.1
OG0034230	OALVG00000017724.1
OG0034241	OALVG00000000519.1
OG0034255	OALVG00000025946.1
OG0034263	OALVG00000012145.1, OALVG00000017870.1
OG0034266	OALVG00000023139.1
OG0034269	OALVG00000019978.1, OALVG00000019979.1
OG0034271	OALVG00000023664.1
OG0034286	OALVG00000021840.1
OG0034294	OALVG00000034468.1
OG0034295	OALVG00000002124.1
OG0034301	OALVG00000008964.1, OALVG00000011756.1
OG0034310	OALVG00000016948.1
OG0034311	OALVG00000006941.1, OALVG00000006945.1
OG0034321	OALVG00000020239.1
OG0034327	OALVG00000000948.1
OG0034348	OALVG00000018965.1, OALVG00000018971.1
OG0034350	OALVG00000033490.1, OALVG00000033492.1
OG0034354	OALVG00000006906.1, OALVG00000033994.1
OG0034365	OALVG00000003145.1
OG0034371	OALVG00000013239.1, OALVG00000018517.1
OG0034379	OALVG00000015913.1, OALVG00000015914.1
OG0034380	OALVG00000000241.1, OALVG00000013552.1
OG0034387	OALVG00000034464.1
OG0034388	OALVG00000018519.1, OALVG00000034623.1
OG0034399	OALVG00000019214.1, OALVG00000019459.1
OG0034401	OALVG00000031317.1
OG0034415	OALVG00000011126.1, OALVG00000015502.1
OG0034510	OALVG00000010624.1
OG0034945	OALVG00000008513.1
OG0035261	OALVG00000004356.1, OALVG00000004358.1
OG0035302	OALVG00000033012.1
OG0035344	OALVG00000001178.1, OALVG00000026296.1
OG0035577	OALVG00000005591.1
OG0035584	OALVG00000021376.1
OG0035593	OALVG00000000329.1, OALVG00000004853.1
OG0035640	OALVG00000004078.1, OALVG00000004085.1
OG0035649	OALVG00000004369.1, OALVG00000024047.1
OG0035654	OALVG00000004529.1
OG0035664	OALVG00000005547.1
OG0035712	OALVG00000011165.1, OALVG00000015539.1
OG0035717	OALVG00000011738.1, OALVG00000028761.1
OG0035722	OALVG00000012603.1
OG0035735	OALVG00000014320.1, OALVG00000014323.1
OG0035766	OALVG00000017121.1, OALVG00000033075.1
OG0035792	OALVG00000021632.1, OALVG00000021633.1
OG0035802	OALVG00000023327.1
OG0035805	OALVG00000024065.1
OG0035808	OALVG00000024842.1
OG0035813	OALVG00000025379.1
OG0035814	OALVG00000025387.1
OG0035816	OALVG00000026249.1, OALVG00000034530.1
OG0035835	OALVG00000030281.1, OALVG00000035806.1
OG0035845	OALVG00000032500.1, OALVG00000032525.1
OG0035856	OALVG00000034465.1, OALVG00000034466.1
OG0037931	OALVG00000001033.1
OG0040192	OALVG00000033365.1
OG0040865	OALVG00000026000.1
OG0040897	OALVG00000030207.1
OG0042250	OALVG00000019473.1
OG0043263	OALVG00000034194.1
OG0043271	OALVG00000034140.1
OG0043311	OALVG00000000276.1
OG0043314	OALVG00000031344.1
OG0044455	OALVG00000002888.1
OG0044628	OALVG00000022253.1
OG0045648	OALVG00000017039.1
OG0045650	OALVG00000010513.1
OG0045653	OALVG00000034861.1
OG0045655	OALVG00000003477.1
OG0045658	OALVG00000013336.1
OG0045660	OALVG00000028006.1
OG0045663	OALVG00000028115.1
OG0045667	OALVG00000012245.1
OG0045679	OALVG00000022224.1
OG0045683	OALVG00000000385.1
OG0045697	OALVG00000020426.1
OG0045705	OALVG00000016001.1
OG0045708	OALVG00000027621.1
OG0045732	OALVG00000002807.1
OG0045754	OALVG00000025063.1
OG0045768	OALVG00000030317.1
OG0045780	OALVG00000032457.1
OG0045787	OALVG00000023695.1
OG0045792	OALVG00000027019.1
OG0045794	OALVG00000009688.1
OG0045802	OALVG00000013323.1
OG0045803	OALVG00000021422.1
OG0045809	OALVG00000010099.1
OG0045811	OALVG00000006589.1
OG0045812	OALVG00000033810.1
OG0045813	OALVG00000013499.1
OG0045814	OALVG00000033954.1
OG0045818	OALVG00000003791.1
OG0045822	OALVG00000002299.1
OG0045825	OALVG00000006609.1
OG0045849	OALVG00000027857.1
OG0045850	OALVG00000027850.1
OG0045867	OALVG00000016148.1
OG0045868	OALVG00000016149.1
OG0045869	OALVG00000016150.1
OG0045871	OALVG00000033256.1
OG0045874	OALVG00000009843.1
OG0045879	OALVG00000001441.1
OG0045890	OALVG00000032131.1
OG0045892	OALVG00000027494.1
OG0045897	OALVG00000014692.1
OG0045898	OALVG00000020203.1
OG0045900	OALVG00000008358.1
OG0045901	OALVG00000008356.1
OG0045913	OALVG00000002147.1
OG0045923	OALVG00000013833.1
OG0045929	OALVG00000027869.1
OG0045931	OALVG00000020222.1
OG0045946	OALVG00000021245.1
OG0045951	OALVG00000021710.1
OG0045955	OALVG00000019172.1
OG0045956	OALVG00000023658.1
OG0045960	OALVG00000019963.1
OG0045961	OALVG00000019954.1
OG0045971	OALVG00000021668.1
OG0045972	OALVG00000021666.1
OG0045981	OALVG00000004118.1
OG0045991	OALVG00000025133.1
OG0046008	OALVG00000028951.1
OG0046016	OALVG00000009589.1
OG0046018	OALVG00000013545.1
OG0046019	OALVG00000017156.1
OG0046028	OALVG00000009347.1
OG0046055	OALVG00000027667.1
OG0046056	OALVG00000005843.1
OG0046067	OALVG00000028465.1
OG0046087	OALVG00000022877.1
OG0046092	OALVG00000019669.1
OG0046095	OALVG00000023229.1
OG0046096	OALVG00000033692.1
OG0046111	OALVG00000035527.1
OG0046123	OALVG00000027917.1
OG0046126	OALVG00000027065.1
OG0046132	OALVG00000027590.1
OG0046134	OALVG00000027584.1
OG0046136	OALVG00000007585.1
OG0046137	OALVG00000026099.1
OG0046139	OALVG00000002133.1
OG0046145	OALVG00000027802.1
OG0046157	OALVG00000030818.1
OG0046161	OALVG00000026118.1
OG0046163	OALVG00000005623.1
OG0046164	OALVG00000005624.1
OG0046167	OALVG00000007465.2
