OG0000121	FUN_014864-T1, FUN_040648-T1
OG0033715	FUN_008129-T1, FUN_026206-T1
OG0033717	FUN_008217-T1
OG0033728	FUN_009386-T1
OG0033736	FUN_009842-T1
OG0033740	FUN_010297-T1
OG0033741	FUN_010299-T1
OG0033765	FUN_012238-T1, FUN_012245-T1
OG0033768	FUN_012759-T1
OG0033777	FUN_014100-T1, FUN_030481-T1
OG0033789	FUN_015207-T1
OG0033797	FUN_015512-T1
OG0033802	FUN_015618-T1
OG0033813	FUN_016563-T1
OG0033814	FUN_016572-T1, FUN_031456-T1
OG0033823	FUN_017129-T1
OG0033824	FUN_017134-T1
OG0033840	FUN_018341-T1, FUN_018345-T1
OG0033849	FUN_018911-T1
OG0033855	FUN_019090-T1
OG0033862	FUN_019637-T1
OG0033864	FUN_019701-T1, FUN_021018-T1
OG0033882	FUN_021274-T1
OG0033884	FUN_021497-T1
OG0033888	FUN_012368-T1, FUN_021738-T1
OG0033913	FUN_022994-T1
OG0033923	FUN_023634-T1, FUN_032821-T1
OG0033939	FUN_024464-T1
OG0033943	FUN_024608-T1
OG0033952	FUN_024865-T1
OG0033957	FUN_025156-T1
OG0033961	FUN_025401-T1
OG0033967	FUN_025580-T1
OG0033969	FUN_025649-T1, FUN_030364-T1
OG0033977	FUN_004283-T1, FUN_026244-T1
OG0033981	FUN_007677-T1, FUN_026485-T1
OG0033986	FUN_026630-T1
OG0033989	FUN_027022-T1
OG0033990	FUN_027087-T1
OG0033993	FUN_027377-T1, FUN_027378-T1
OG0033994	FUN_010349-T1, FUN_027386-T1
OG0034004	FUN_027736-T1
OG0034006	FUN_027767-T1
OG0034009	FUN_027987-T1, FUN_027989-T1
OG0034010	FUN_028112-T1
OG0034031	FUN_017172-T1, FUN_029125-T1
OG0034047	FUN_029944-T1
OG0034053	FUN_030145-T1
OG0034055	FUN_030236-T1
OG0034062	FUN_030474-T1, FUN_030476-T1
OG0034065	FUN_030686-T1
OG0034071	FUN_026516-T1, FUN_031273-T1
OG0034078	FUN_031496-T1
OG0034088	FUN_032169-T1
OG0034089	FUN_032302-T1, FUN_032303-T1
OG0034090	FUN_032526-T1, FUN_040758-T1
OG0034140	FUN_035188-T1
OG0034151	FUN_035940-T1
OG0034156	FUN_008821-T1, FUN_036193-T1
OG0034169	FUN_036982-T1
OG0034189	FUN_038381-T1
OG0034192	FUN_038432-T1
OG0034205	FUN_039402-T1, FUN_039404-T1
OG0034208	FUN_039772-T1
OG0034212	FUN_039911-T1
OG0034214	FUN_039948-T1
OG0034218	FUN_040208-T1
OG0034242	FUN_000875-T1
OG0034245	FUN_000928-T1
OG0034249	FUN_001629-T1, FUN_002751-T1
OG0034250	FUN_001649-T1, FUN_004517-T1
OG0034270	FUN_003242-T1
OG0034273	FUN_003550-T1
OG0034278	FUN_003720-T1
OG0034279	FUN_003750-T1
OG0034281	FUN_003788-T1
OG0034290	FUN_004837-T1
OG0034291	FUN_004873-T1
OG0034319	FUN_007406-T1, FUN_029532-T1
OG0034320	FUN_007407-T1, FUN_007409-T1
OG0034329	FUN_008080-T1
OG0034346	FUN_010476-T1
OG0034347	FUN_010556-T1
OG0034349	FUN_010801-T1
OG0034358	FUN_011181-T1
OG0034372	FUN_013289-T1
OG0034373	FUN_013292-T1
OG0034386	FUN_016582-T1
OG0034390	FUN_018058-T1, FUN_018924-T1
OG0034393	FUN_019019-T1
OG0034404	FUN_022276-T1, FUN_022277-T1
OG0034408	FUN_024224-T1, FUN_031861-T1
OG0034414	FUN_028138-T1
OG0034417	FUN_030274-T1, FUN_030275-T1
OG0035173	
OG0035364	
OG0035500	
OG0035553	
OG0035554	
OG0035898	
OG0035917	
OG0035921	
OG0035937	
OG0036341	
OG0036342	
OG0036352	
OG0036359	
OG0036379	
OG0036388	
OG0036390	
OG0036397	
OG0036404	
OG0036414	
OG0036428	
OG0036434	
OG0036436	
OG0038138	
OG0038185	
OG0038295	
OG0038711	
OG0038744	
OG0038756	
OG0039322	
OG0039360	
OG0040435	
OG0040559	
OG0040689	
OG0040814	
OG0041170	
OG0041373	
OG0042008	
OG0042131	
OG0042321	
OG0043213	
OG0043214	
OG0044157	
OG0044634	
OG0045646	FUN_012909-T1
OG0045662	FUN_033649-T1
OG0045664	FUN_036334-T1
OG0045665	FUN_036403-T1
OG0045666	FUN_036404-T1
OG0045677	FUN_000199-T1
OG0045691	FUN_009028-T1
OG0045692	FUN_009059-T1
OG0045695	FUN_010104-T1
OG0045700	FUN_011971-T1
OG0045709	FUN_014483-T1
OG0045710	FUN_014487-T1
OG0045715	FUN_016451-T1
OG0045716	FUN_017118-T1
OG0045717	FUN_017119-T1
OG0045720	FUN_017728-T1
OG0045724	FUN_018288-T1
OG0045725	FUN_018745-T1
OG0045729	FUN_018809-T1
OG0045730	FUN_019376-T1
OG0045733	FUN_019429-T1
OG0045734	FUN_019862-T1
OG0045735	FUN_020308-T1
OG0045736	FUN_020313-T1
OG0045737	FUN_020370-T1
OG0045740	FUN_021227-T1
OG0045744	FUN_022126-T1
OG0045747	FUN_022910-T1
OG0045749	FUN_023259-T1
OG0045752	FUN_023758-T1
OG0045753	FUN_023787-T1
OG0045755	FUN_024155-T1
OG0045757	FUN_024184-T1
OG0045758	FUN_024187-T1
OG0045762	FUN_025328-T1
OG0045771	FUN_026081-T1
OG0045772	FUN_026082-T1
OG0045774	FUN_026442-T1
OG0045777	FUN_026784-T1
OG0045778	FUN_026790-T1
OG0045779	FUN_026798-T1
OG0045786	FUN_028854-T1
OG0045790	FUN_028880-T1
OG0045791	FUN_029131-T1
OG0045799	FUN_030828-T1
OG0045806	FUN_031361-T1
OG0045810	FUN_031972-T1
OG0045815	FUN_032482-T1
OG0045817	FUN_032764-T1
OG0045821	FUN_033053-T1
OG0045827	FUN_033959-T1
OG0045832	FUN_034802-T1
OG0045834	FUN_035841-T1
OG0045845	FUN_037362-T1
OG0045848	FUN_037850-T1
OG0045852	FUN_038532-T1
OG0045864	FUN_040479-T1
OG0045865	FUN_040640-T1
OG0045870	FUN_000247-T1
OG0045872	FUN_000450-T1
OG0045877	FUN_000852-T1
OG0045881	FUN_001227-T1
OG0045885	FUN_001744-T1
OG0045887	FUN_001749-T1
OG0045889	FUN_002545-T1
OG0045891	FUN_002565-T1
OG0045905	FUN_003656-T1
OG0045909	FUN_003669-T1
OG0045910	FUN_003674-T1
OG0045911	FUN_004221-T1
OG0045915	FUN_004507-T1
OG0045919	FUN_004770-T1
OG0045926	FUN_005429-T1
OG0045928	FUN_005450-T1
OG0045930	FUN_005466-T1
OG0045932	FUN_005588-T1
OG0045934	FUN_005702-T1
OG0045940	FUN_006090-T1
OG0045943	FUN_006314-T1
OG0045947	FUN_006461-T1
OG0045950	FUN_007227-T1
OG0045952	FUN_007487-T1
OG0045953	FUN_007493-T1
OG0045954	FUN_007598-T1
OG0045964	FUN_008623-T1
OG0045970	FUN_009092-T1
OG0045978	FUN_009569-T1
OG0045980	FUN_009711-T1
OG0045985	FUN_009964-T1
OG0046002	FUN_010920-T1
OG0046009	FUN_011321-T1
OG0046013	FUN_011501-T1
OG0046014	FUN_011524-T1
OG0046023	FUN_012417-T1
OG0046024	FUN_012501-T1
OG0046025	FUN_012504-T1
OG0046026	FUN_012579-T1
OG0046029	FUN_013030-T1
OG0046034	FUN_013335-T1
OG0046044	FUN_013978-T1
OG0046049	FUN_014118-T1
OG0046062	FUN_014870-T1
OG0046066	FUN_015202-T1
OG0046069	FUN_015337-T1
OG0046070	FUN_015390-T1
OG0046072	FUN_015625-T1
OG0046075	FUN_015668-T1
OG0046077	FUN_015693-T1
OG0046079	FUN_015873-T1
OG0046080	FUN_015880-T1
OG0046082	FUN_015931-T1
OG0046083	FUN_015937-T1
OG0046088	FUN_016285-T1
OG0046089	FUN_016330-T1
OG0046090	FUN_016378-T1
OG0046100	FUN_016844-T1
OG0046101	FUN_016900-T1
OG0046106	FUN_017142-T1
OG0046108	FUN_017205-T1
OG0046110	FUN_017378-T1
OG0046141	FUN_018715-T1
OG0046147	FUN_018985-T1
OG0046148	FUN_018986-T1
OG0046150	FUN_018999-T1
OG0046158	FUN_019485-T1
OG0046166	FUN_019719-T1
OG0046168	FUN_019742-T1
OG0046169	FUN_019787-T1
OG0046172	FUN_020053-T1
OG0046177	FUN_020702-T1
OG0046178	FUN_020709-T1
OG0046180	FUN_020952-T1
OG0046188	FUN_021308-T1
OG0046192	FUN_021431-T1
OG0046193	FUN_021495-T1
OG0046194	FUN_021562-T1
OG0046195	FUN_021760-T1
OG0046197	FUN_021848-T1
OG0046200	FUN_022163-T1
OG0046203	FUN_022281-T1
OG0046206	FUN_022576-T1
OG0046210	FUN_022686-T1
OG0046214	FUN_022761-T1
OG0046218	FUN_022998-T1
OG0046220	FUN_023025-T1
OG0046221	FUN_023032-T1
OG0046228	FUN_023374-T1
OG0046236	FUN_023907-T1
OG0046238	FUN_023962-T1
OG0046240	FUN_023992-T1
OG0046245	FUN_024204-T1
OG0046246	FUN_024206-T1
OG0046251	FUN_024334-T1
OG0046255	FUN_024613-T1
OG0046259	FUN_024850-T1
OG0046260	FUN_024863-T1
OG0046268	FUN_025248-T1
OG0046274	FUN_025816-T1
OG0046275	FUN_025832-T1
OG0046278	FUN_025913-T1
OG0046281	FUN_026213-T1
OG0046284	FUN_026348-T1
OG0046289	FUN_026641-T1
OG0046290	FUN_026642-T1
OG0046291	FUN_026654-T1
OG0046294	FUN_026833-T1
OG0046298	FUN_026930-T1
OG0046301	FUN_026996-T1
OG0046304	FUN_027076-T1
OG0046310	FUN_027340-T1
OG0046314	FUN_027656-T1
OG0046315	FUN_027691-T1
OG0046323	FUN_028220-T1
OG0046324	FUN_028254-T1
OG0046328	FUN_028457-T1
OG0046329	FUN_028468-T1
OG0046337	FUN_028772-T1
OG0046338	FUN_028776-T1
OG0046341	FUN_028982-T1
OG0046344	FUN_029122-T1
OG0046345	FUN_029201-T1
OG0046346	FUN_029204-T1
OG0046349	FUN_029272-T1
OG0046350	FUN_029318-T1
OG0046351	FUN_029319-T1
OG0046360	FUN_029612-T1
OG0046368	FUN_030221-T1
OG0046369	FUN_030307-T1
OG0046371	FUN_030528-T1
OG0046373	FUN_030550-T1
OG0046379	FUN_030887-T1
OG0046381	FUN_030928-T1
OG0046386	FUN_031148-T1
OG0046389	FUN_031302-T1
OG0046393	FUN_031428-T1
OG0046395	FUN_031455-T1
OG0046396	FUN_031512-T1
OG0046399	FUN_031647-T1
OG0046400	FUN_031651-T1
OG0046401	FUN_031655-T1
OG0046402	FUN_031656-T1
OG0046405	FUN_031788-T1
OG0046406	FUN_031789-T1
OG0046407	FUN_031790-T1
OG0046410	FUN_031856-T1
OG0046411	FUN_031906-T1
OG0046415	FUN_031937-T1
OG0046423	FUN_032416-T1
OG0046424	FUN_032418-T1
OG0046425	FUN_032435-T1
OG0046429	FUN_032586-T1
OG0046430	FUN_032617-T1
OG0046439	FUN_032839-T1
OG0046445	FUN_033214-T1
OG0046451	FUN_033452-T1
OG0046454	FUN_033504-T1
OG0046463	FUN_034240-T1
OG0046465	FUN_034419-T1
OG0046466	FUN_034610-T1
OG0046467	FUN_034887-T1
OG0046469	FUN_035114-T1
OG0046480	FUN_035434-T1
OG0046482	FUN_035525-T1
OG0046483	FUN_035526-T1
OG0046487	FUN_035679-T1
OG0046499	FUN_036224-T1
OG0046501	FUN_036540-T1
OG0046504	FUN_036675-T1
OG0046506	FUN_036820-T1
OG0046508	FUN_036981-T1
OG0046509	FUN_036983-T1
OG0046514	FUN_037268-T1
OG0046519	FUN_037563-T1
OG0046521	FUN_037660-T1
OG0046523	FUN_037716-T1
OG0046524	FUN_037774-T1
OG0046525	FUN_037786-T1
OG0046529	FUN_037988-T1
OG0046533	FUN_038236-T1
OG0046536	FUN_038344-T1
OG0046537	FUN_038352-T1
OG0046538	FUN_038356-T1
OG0046541	FUN_038383-T1
OG0046550	FUN_039132-T1
OG0046555	FUN_039590-T1
OG0046557	FUN_039613-T1
OG0046564	FUN_040161-T1
OG0046566	FUN_040239-T1
OG0046568	FUN_040318-T1
OG0046571	FUN_040325-T1
OG0046572	FUN_040326-T1
OG0046577	FUN_040678-T1
OG0046581	FUN_040782-T1
OG0046582	FUN_040788-T1
OG0046585	FUN_040809-T1
OG0046587	FUN_000351-T1
OG0046592	FUN_000524-T1
OG0046597	FUN_000998-T1
OG0046598	FUN_000999-T1
OG0046599	FUN_001004-T1
OG0046601	FUN_001112-T1
OG0046605	FUN_001163-T1
OG0046609	FUN_001262-T1
OG0046610	FUN_001336-T1
OG0046616	FUN_001642-T1
OG0046619	FUN_001781-T1
OG0046623	FUN_001883-T1
OG0046627	FUN_001997-T1
OG0046628	FUN_002036-T1
OG0046632	FUN_002652-T1
OG0046633	FUN_002668-T1
OG0046636	FUN_002781-T1
OG0046639	FUN_003078-T1
OG0046641	FUN_003250-T1
OG0046646	FUN_003587-T1
OG0046647	FUN_003588-T1
OG0046648	FUN_003595-T1
OG0046649	FUN_003710-T1
OG0046652	FUN_003795-T1
OG0046654	FUN_003956-T1
OG0046659	FUN_004325-T1
OG0046661	FUN_004404-T1
OG0046664	FUN_004563-T1
OG0046670	FUN_004969-T1
OG0046671	FUN_004984-T1
OG0046679	FUN_005288-T1
OG0046687	FUN_005807-T1
OG0046696	FUN_006386-T1
OG0046698	FUN_006397-T1
OG0046702	FUN_006795-T1
OG0046703	FUN_006836-T1
OG0046709	FUN_006973-T1
OG0046710	FUN_006974-T1
OG0046713	FUN_007303-T1
OG0046722	FUN_007636-T1
OG0046735	FUN_008266-T1
OG0046740	FUN_008802-T1
OG0046746	FUN_009409-T1
OG0046748	FUN_009415-T1
OG0046751	FUN_010197-T1
OG0046755	FUN_010546-T1
OG0046759	FUN_010729-T1
OG0046760	FUN_010735-T1
OG0046769	FUN_011380-T1
OG0046772	FUN_011584-T1
OG0046774	FUN_011663-T1
OG0046776	FUN_011820-T1
OG0046777	FUN_011911-T1
OG0046786	FUN_012599-T1
OG0046787	FUN_012623-T1
OG0046788	FUN_012626-T1
OG0046789	FUN_012689-T1
OG0046790	FUN_012714-T1
OG0046792	FUN_012813-T1
OG0046805	FUN_014236-T1
OG0046808	FUN_014301-T1
OG0046809	FUN_014407-T1
OG0046812	FUN_014807-T1
OG0046815	FUN_015241-T1
OG0046817	FUN_015312-T1
OG0046818	FUN_015349-T1
OG0046829	FUN_016530-T1
OG0046853	FUN_023351-T1
OG0046856	FUN_024375-T1
OG0046858	FUN_025910-T1
OG0046859	FUN_025995-T1
OG0046860	FUN_027279-T1
OG0046863	FUN_028625-T1
OG0046866	FUN_028933-T1
OG0046867	FUN_029341-T1
OG0046870	FUN_029860-T1
OG0047604	
OG0047620	
OG0047793	
OG0047796	
OG0048585	
OG0049050	
OG0049095	
OG0049170	
OG0049177	
OG0049347	
OG0049475	
OG0049562	
OG0049589	
OG0050423	
OG0050562	
OG0050581	
OG0050590	
OG0050832	
OG0051292	
OG0051481	
OG0051484	
OG0051486	
OG0051515	
OG0051518	
OG0051521	
OG0051536	
OG0051574	
OG0051576	
OG0051601	
OG0051602	
OG0051616	
OG0051618	
OG0051621	
OG0051639	
OG0051641	
OG0051654	
OG0051669	
OG0051671	
OG0051675	
OG0051689	
OG0051691	
OG0051700	
OG0051704	
OG0051708	
OG0051711	
OG0051721	
OG0051732	
OG0051735	
OG0051740	
OG0051750	
OG0051754	
OG0051756	
OG0051761	
OG0051769	
OG0051772	
OG0051797	
OG0051798	
OG0051808	
OG0051924	
OG0051941	
OG0051974	
OG0052099	
OG0052112	
