OG0000121	Lluy|FUN_014864-T1, Lluy|FUN_040648-T1
OG0022169	Lluy|FUN_005134-T1, Lluy|FUN_019177-T1
OG0022179	
OG0022360	Lluy|FUN_001814-T1, Lluy|FUN_015415-T1
OG0022422	Lluy|FUN_033342-T1
OG0022595	
OG0022613	Lluy|FUN_036899-T1
OG0022662	Lluy|FUN_021691-T1
OG0022695	Lluy|FUN_028932-T1
OG0022713	Lluy|FUN_021763-T1
OG0022741	Lluy|FUN_002149-T1, Lluy|FUN_011278-T1, Lluy|FUN_015822-T1, Lluy|FUN_038830-T1
OG0022755	Lluy|FUN_010098-T1
OG0022785	Lluy|FUN_024194-T1, Lluy|FUN_024197-T1, Lluy|FUN_024201-T1, Lluy|FUN_034952-T1
OG0022791	Lluy|FUN_008709-T1, Lluy|FUN_025715-T1, Lluy|FUN_039337-T1
OG0022845	Lluy|FUN_002716-T1, Lluy|FUN_013491-T1
OG0022846	Lluy|FUN_003190-T1, Lluy|FUN_009511-T1
OG0022857	Lluy|FUN_005740-T1, Lluy|FUN_007891-T1, Lluy|FUN_014025-T1, Lluy|FUN_029417-T1
OG0022874	Lluy|FUN_005259-T1, Lluy|FUN_010649-T1, Lluy|FUN_010654-T1
OG0022884	Lluy|FUN_010008-T1, Lluy|FUN_010011-T1, Lluy|FUN_012331-T1, Lluy|FUN_014550-T1
OG0022893	Lluy|FUN_009234-T1, Lluy|FUN_014321-T1, Lluy|FUN_014324-T1
OG0022908	Lluy|FUN_016685-T1, Lluy|FUN_016686-T1, Lluy|FUN_016687-T1
OG0022922	Lluy|FUN_002410-T1, Lluy|FUN_018831-T1
OG0022927	Lluy|FUN_002814-T1, Lluy|FUN_003723-T1, Lluy|FUN_020264-T1, Lluy|FUN_032646-T1
OG0022957	Lluy|FUN_002839-T1, Lluy|FUN_009223-T1, Lluy|FUN_023852-T1
OG0022966	Lluy|FUN_006844-T1, Lluy|FUN_011087-T1, Lluy|FUN_026229-T1
OG0022973	Lluy|FUN_027379-T1, Lluy|FUN_027638-T1, Lluy|FUN_040391-T1
OG0022984	Lluy|FUN_028781-T1
OG0023050	Lluy|FUN_004708-T1, Lluy|FUN_029259-T1, Lluy|FUN_039365-T1
OG0023095	Lluy|FUN_008442-T1, Lluy|FUN_026886-T1
OG0023101	Lluy|FUN_010372-T1
OG0023105	Lluy|FUN_011867-T1
OG0023107	Lluy|FUN_013143-T1
OG0023128	
OG0023249	
OG0023461	
OG0023484	
OG0023758	
OG0023770	
OG0023773	
OG0023779	
OG0023782	
OG0023820	
OG0024229	
OG0024387	
OG0024445	
OG0024488	
OG0024692	Lluy|FUN_026385-T1, Lluy|FUN_033542-T1
OG0024713	
OG0024738	
OG0024809	
OG0024886	Lluy|FUN_020156-T1
OG0024999	
OG0025076	Lluy|FUN_015359-T1, Lluy|FUN_038380-T1
OG0025082	Lluy|FUN_004735-T1
OG0025099	Lluy|FUN_024611-T1
OG0025106	
OG0025300	
OG0025322	
OG0025353	
OG0025429	
OG0025436	Lluy|FUN_029971-T1
OG0025521	
OG0025547	
OG0025567	Lluy|FUN_012794-T1, Lluy|FUN_012797-T1
OG0025568	Lluy|FUN_016318-T1
OG0025573	Lluy|FUN_023122-T1
OG0025583	
OG0025615	
OG0025623	Lluy|FUN_008210-T1, Lluy|FUN_027365-T1
OG0025653	Lluy|FUN_040642-T1
OG0025655	
OG0025665	Lluy|FUN_002824-T1
OG0025820	Lluy|FUN_011163-T1
OG0025859	Lluy|FUN_016290-T1
OG0025885	
OG0025915	
OG0025939	
OG0025940	
OG0026194	
OG0026250	
OG0026268	
OG0026325	
OG0026684	Lluy|FUN_022610-T1
OG0026700	Lluy|FUN_024551-T1
OG0026815	Lluy|FUN_012833-T1
OG0026860	Lluy|FUN_014468-T1
OG0026862	Lluy|FUN_014484-T1
OG0026863	Lluy|FUN_014486-T1, Lluy|FUN_040082-T1
OG0026868	Lluy|FUN_009343-T1, Lluy|FUN_015832-T1
OG0026896	Lluy|FUN_022887-T1
OG0026901	Lluy|FUN_012139-T1, Lluy|FUN_024193-T1, Lluy|FUN_034951-T1
OG0026904	Lluy|FUN_024954-T1
OG0026912	Lluy|FUN_008188-T1, Lluy|FUN_014044-T1, Lluy|FUN_026068-T1
OG0026919	Lluy|FUN_028192-T1
OG0026960	Lluy|FUN_034622-T1, Lluy|FUN_036641-T1
OG0026977	Lluy|FUN_023496-T1, Lluy|FUN_039269-T1
OG0026984	Lluy|FUN_000241-T1
OG0026987	Lluy|FUN_000673-T1
OG0026994	Lluy|FUN_001610-T1, Lluy|FUN_031255-T1, Lluy|FUN_039305-T1
OG0027004	Lluy|FUN_003044-T1, Lluy|FUN_007724-T1, Lluy|FUN_020003-T1
OG0027009	Lluy|FUN_003931-T1, Lluy|FUN_003933-T1
OG0027019	Lluy|FUN_005737-T1, Lluy|FUN_005744-T1
OG0027027	Lluy|FUN_006880-T1, Lluy|FUN_017391-T1
OG0027041	Lluy|FUN_009621-T1
OG0027051	Lluy|FUN_010586-T1, Lluy|FUN_012184-T1, Lluy|FUN_016042-T1
OG0027063	Lluy|FUN_012098-T1
OG0027075	Lluy|FUN_013249-T1, Lluy|FUN_013250-T1, Lluy|FUN_025139-T1
OG0027108	Lluy|FUN_016234-T1, Lluy|FUN_030329-T1
OG0027118	Lluy|FUN_017488-T1
OG0027123	Lluy|FUN_018219-T1, Lluy|FUN_023029-T1
OG0027129	Lluy|FUN_018615-T1
OG0027132	Lluy|FUN_000478-T1, Lluy|FUN_017656-T1, Lluy|FUN_019002-T1
OG0027134	Lluy|FUN_019075-T1, Lluy|FUN_024701-T1, Lluy|FUN_032039-T1
OG0027155	Lluy|FUN_011678-T1, Lluy|FUN_021349-T1, Lluy|FUN_036560-T1
OG0027166	Lluy|FUN_021944-T1, Lluy|FUN_025020-T1
OG0027170	Lluy|FUN_018919-T1, Lluy|FUN_022357-T1, Lluy|FUN_028697-T1
OG0027181	Lluy|FUN_022860-T1
OG0027212	Lluy|FUN_018085-T1, Lluy|FUN_025242-T1
OG0027282	Lluy|FUN_031631-T1
OG0027287	Lluy|FUN_032081-T1, Lluy|FUN_032304-T1
OG0027292	Lluy|FUN_013571-T1, Lluy|FUN_032537-T1
OG0027308	Lluy|FUN_033541-T1
OG0027322	Lluy|FUN_035040-T1, Lluy|FUN_035043-T1
OG0027326	Lluy|FUN_035638-T1
OG0027332	Lluy|FUN_009532-T1, Lluy|FUN_021119-T1, Lluy|FUN_036174-T1
OG0027353	Lluy|FUN_038600-T1, Lluy|FUN_038601-T1
OG0027369	Lluy|FUN_000593-T1, Lluy|FUN_040518-T1
OG0027375	Lluy|FUN_040684-T1
OG0027376	Lluy|FUN_013212-T1, Lluy|FUN_040739-T1
OG0027397	Lluy|FUN_002669-T1
OG0027399	Lluy|FUN_002825-T1
OG0027450	Lluy|FUN_006932-T1
OG0027477	Lluy|FUN_011931-T1, Lluy|FUN_011934-T1
OG0027478	Lluy|FUN_012089-T1
OG0027480	Lluy|FUN_012137-T1
OG0027482	Lluy|FUN_014154-T1
OG0027501	Lluy|FUN_022644-T1
OG0027610	
OG0027721	
OG0027894	
OG0028110	
OG0028113	
OG0028273	
OG0028580	
OG0028589	
OG0028595	
OG0028597	
OG0029393	
OG0029454	
OG0029801	
OG0029917	
OG0030516	
OG0030609	
OG0030814	
OG0031010	
OG0031143	Lluy|FUN_024150-T1
OG0031238	Lluy|FUN_010433-T1
OG0031258	Lluy|FUN_026215-T1
OG0031337	Lluy|FUN_016452-T1
OG0031346	Lluy|FUN_016674-T1
OG0031356	
OG0031358	Lluy|FUN_009293-T1
OG0031365	
OG0031378	Lluy|FUN_020214-T1
OG0031403	Lluy|FUN_019356-T1
OG0031460	Lluy|FUN_016098-T1
OG0031634	Lluy|FUN_017510-T1
OG0031737	
OG0031878	
OG0031967	
OG0031992	Lluy|FUN_029090-T1
OG0032038	Lluy|FUN_029062-T1
OG0032079	Lluy|FUN_027518-T1
OG0032092	
OG0032116	
OG0032498	Lluy|FUN_002455-T1
OG0032510	Lluy|FUN_010157-T1
OG0032516	
OG0032896	
OG0033384	
OG0033426	Lluy|FUN_012850-T1
OG0033432	Lluy|FUN_012924-T1, Lluy|FUN_021834-T1
OG0033435	Lluy|FUN_019296-T1
OG0033446	Lluy|FUN_033632-T1
OG0033450	Lluy|FUN_033675-T1
OG0033454	Lluy|FUN_000155-T1
OG0033455	Lluy|FUN_000156-T1
OG0033456	Lluy|FUN_000162-T1, Lluy|FUN_023631-T1
OG0033464	Lluy|FUN_002191-T1
OG0033476	Lluy|FUN_011010-T1
OG0033488	Lluy|FUN_012998-T1
OG0033490	Lluy|FUN_013786-T1, Lluy|FUN_024141-T1
OG0033493	Lluy|FUN_014475-T1, Lluy|FUN_023796-T1
OG0033496	Lluy|FUN_006104-T1, Lluy|FUN_015833-T1
OG0033506	Lluy|FUN_018765-T1
OG0033517	Lluy|FUN_000847-T1, Lluy|FUN_020366-T1
OG0033524	Lluy|FUN_022093-T1
OG0033537	Lluy|FUN_023767-T1
OG0033557	Lluy|FUN_029134-T1
OG0033580	Lluy|FUN_033324-T1
OG0033593	Lluy|FUN_036084-T1
OG0033597	Lluy|FUN_036869-T1
OG0033604	Lluy|FUN_037357-T1
OG0033610	Lluy|FUN_038515-T1, Lluy|FUN_038520-T1
OG0033611	Lluy|FUN_038539-T1
OG0033617	Lluy|FUN_039476-T1
OG0033622	Lluy|FUN_039661-T1, Lluy|FUN_039663-T1
OG0033623	Lluy|FUN_039671-T1
OG0033626	Lluy|FUN_028977-T1, Lluy|FUN_039695-T1
OG0033627	Lluy|FUN_014891-T1, Lluy|FUN_039877-T1
OG0033643	Lluy|FUN_001448-T1, Lluy|FUN_001449-T1
OG0033652	Lluy|FUN_002554-T1
OG0033655	Lluy|FUN_003033-T1, Lluy|FUN_007996-T1
OG0033667	Lluy|FUN_003526-T1
OG0033677	Lluy|FUN_004372-T1, Lluy|FUN_004373-T1
OG0033679	Lluy|FUN_004789-T1
OG0033685	Lluy|FUN_005589-T1
OG0033715	Lluy|FUN_008129-T1, Lluy|FUN_026206-T1
OG0033717	Lluy|FUN_008217-T1
OG0033728	Lluy|FUN_009386-T1
OG0033736	Lluy|FUN_009842-T1
OG0033740	Lluy|FUN_010297-T1
OG0033741	Lluy|FUN_010299-T1
OG0033765	Lluy|FUN_012238-T1, Lluy|FUN_012245-T1
OG0033768	Lluy|FUN_012759-T1
OG0033777	Lluy|FUN_014100-T1, Lluy|FUN_030481-T1
OG0033789	Lluy|FUN_015207-T1
OG0033797	Lluy|FUN_015512-T1
OG0033802	Lluy|FUN_015618-T1
OG0033813	Lluy|FUN_016563-T1
OG0033814	Lluy|FUN_016572-T1, Lluy|FUN_031456-T1
OG0033823	Lluy|FUN_017129-T1
OG0033824	Lluy|FUN_017134-T1
OG0033840	Lluy|FUN_018341-T1, Lluy|FUN_018345-T1
OG0033849	Lluy|FUN_018911-T1
OG0033855	Lluy|FUN_019090-T1
OG0033862	Lluy|FUN_019637-T1
OG0033864	Lluy|FUN_019701-T1, Lluy|FUN_021018-T1
OG0033882	Lluy|FUN_021274-T1
OG0033884	Lluy|FUN_021497-T1
OG0033888	Lluy|FUN_012368-T1, Lluy|FUN_021738-T1
OG0033913	Lluy|FUN_022994-T1
OG0033923	Lluy|FUN_023634-T1, Lluy|FUN_032821-T1
OG0033939	Lluy|FUN_024464-T1
OG0033943	Lluy|FUN_024608-T1
OG0033952	Lluy|FUN_024865-T1
OG0033957	Lluy|FUN_025156-T1
OG0033961	Lluy|FUN_025401-T1
OG0033967	Lluy|FUN_025580-T1
OG0033969	Lluy|FUN_025649-T1, Lluy|FUN_030364-T1
OG0033977	Lluy|FUN_004283-T1, Lluy|FUN_026244-T1
OG0033981	Lluy|FUN_007677-T1, Lluy|FUN_026485-T1
OG0033986	Lluy|FUN_026630-T1
OG0033989	Lluy|FUN_027022-T1
OG0033990	Lluy|FUN_027087-T1
OG0033993	Lluy|FUN_027377-T1, Lluy|FUN_027378-T1
OG0033994	Lluy|FUN_010349-T1, Lluy|FUN_027386-T1
OG0034004	Lluy|FUN_027736-T1
OG0034006	Lluy|FUN_027767-T1
OG0034009	Lluy|FUN_027987-T1, Lluy|FUN_027989-T1
OG0034010	Lluy|FUN_028112-T1
OG0034031	Lluy|FUN_017172-T1, Lluy|FUN_029125-T1
OG0034047	Lluy|FUN_029944-T1
OG0034053	Lluy|FUN_030145-T1
OG0034055	Lluy|FUN_030236-T1
OG0034062	Lluy|FUN_030474-T1, Lluy|FUN_030476-T1
OG0034065	Lluy|FUN_030686-T1
OG0034071	Lluy|FUN_026516-T1, Lluy|FUN_031273-T1
OG0034078	Lluy|FUN_031496-T1
OG0034088	Lluy|FUN_032169-T1
OG0034089	Lluy|FUN_032302-T1, Lluy|FUN_032303-T1
OG0034090	Lluy|FUN_032526-T1, Lluy|FUN_040758-T1
OG0034140	Lluy|FUN_035188-T1
OG0034151	Lluy|FUN_035940-T1
OG0034156	Lluy|FUN_008821-T1, Lluy|FUN_036193-T1
OG0034169	Lluy|FUN_036982-T1
OG0034189	Lluy|FUN_038381-T1
OG0034192	Lluy|FUN_038432-T1
OG0034205	Lluy|FUN_039402-T1, Lluy|FUN_039404-T1
OG0034208	Lluy|FUN_039772-T1
OG0034212	Lluy|FUN_039911-T1
OG0034214	Lluy|FUN_039948-T1
OG0034218	Lluy|FUN_040208-T1
OG0034242	Lluy|FUN_000875-T1
OG0034245	Lluy|FUN_000928-T1
OG0034249	Lluy|FUN_001629-T1, Lluy|FUN_002751-T1
OG0034250	Lluy|FUN_001649-T1, Lluy|FUN_004517-T1
OG0034270	Lluy|FUN_003242-T1
OG0034273	Lluy|FUN_003550-T1
OG0034278	Lluy|FUN_003720-T1
OG0034279	Lluy|FUN_003750-T1
OG0034281	Lluy|FUN_003788-T1
OG0034290	Lluy|FUN_004837-T1
OG0034291	Lluy|FUN_004873-T1
OG0034319	Lluy|FUN_007406-T1, Lluy|FUN_029532-T1
OG0034320	Lluy|FUN_007407-T1, Lluy|FUN_007409-T1
OG0034329	Lluy|FUN_008080-T1
OG0034346	Lluy|FUN_010476-T1
OG0034347	Lluy|FUN_010556-T1
OG0034349	Lluy|FUN_010801-T1
OG0034358	Lluy|FUN_011181-T1
OG0034372	Lluy|FUN_013289-T1
OG0034373	Lluy|FUN_013292-T1
OG0034386	Lluy|FUN_016582-T1
OG0034390	Lluy|FUN_018058-T1, Lluy|FUN_018924-T1
OG0034393	Lluy|FUN_019019-T1
OG0034404	Lluy|FUN_022276-T1, Lluy|FUN_022277-T1
OG0034408	Lluy|FUN_024224-T1, Lluy|FUN_031861-T1
OG0034414	Lluy|FUN_028138-T1
OG0034417	Lluy|FUN_030274-T1, Lluy|FUN_030275-T1
OG0035173	
OG0035364	
OG0035500	
OG0035553	
OG0035554	
OG0035898	
OG0035917	
OG0035921	
OG0035937	
OG0036341	
OG0036342	
OG0036352	
OG0036359	
OG0036379	
OG0036388	
OG0036390	
OG0036397	
OG0036404	
OG0036414	
OG0036428	
OG0036434	
OG0036436	
OG0038138	
OG0038185	
OG0038295	
OG0038711	
OG0038744	
OG0038756	
OG0039322	
OG0039360	
OG0040435	
OG0040559	
OG0040689	
OG0040814	
OG0041170	
OG0041373	
OG0042008	
OG0042131	
OG0042321	
OG0043213	
OG0043214	
OG0044157	
OG0044634	
OG0045646	Lluy|FUN_012909-T1
OG0045662	Lluy|FUN_033649-T1
OG0045664	Lluy|FUN_036334-T1
OG0045665	Lluy|FUN_036403-T1
OG0045666	Lluy|FUN_036404-T1
OG0045677	Lluy|FUN_000199-T1
OG0045691	Lluy|FUN_009028-T1
OG0045692	Lluy|FUN_009059-T1
OG0045695	Lluy|FUN_010104-T1
OG0045700	Lluy|FUN_011971-T1
OG0045709	Lluy|FUN_014483-T1
OG0045710	Lluy|FUN_014487-T1
OG0045715	Lluy|FUN_016451-T1
OG0045716	Lluy|FUN_017118-T1
OG0045717	Lluy|FUN_017119-T1
OG0045720	Lluy|FUN_017728-T1
OG0045724	Lluy|FUN_018288-T1
OG0045725	Lluy|FUN_018745-T1
OG0045729	Lluy|FUN_018809-T1
OG0045730	Lluy|FUN_019376-T1
OG0045733	Lluy|FUN_019429-T1
OG0045734	Lluy|FUN_019862-T1
OG0045735	Lluy|FUN_020308-T1
OG0045736	Lluy|FUN_020313-T1
OG0045737	Lluy|FUN_020370-T1
OG0045740	Lluy|FUN_021227-T1
OG0045744	Lluy|FUN_022126-T1
OG0045747	Lluy|FUN_022910-T1
OG0045749	Lluy|FUN_023259-T1
OG0045752	Lluy|FUN_023758-T1
OG0045753	Lluy|FUN_023787-T1
OG0045755	Lluy|FUN_024155-T1
OG0045757	Lluy|FUN_024184-T1
OG0045758	Lluy|FUN_024187-T1
OG0045762	Lluy|FUN_025328-T1
OG0045771	Lluy|FUN_026081-T1
OG0045772	Lluy|FUN_026082-T1
OG0045774	Lluy|FUN_026442-T1
OG0045777	Lluy|FUN_026784-T1
OG0045778	Lluy|FUN_026790-T1
OG0045779	Lluy|FUN_026798-T1
OG0045786	Lluy|FUN_028854-T1
OG0045790	Lluy|FUN_028880-T1
OG0045791	Lluy|FUN_029131-T1
OG0045799	Lluy|FUN_030828-T1
OG0045806	Lluy|FUN_031361-T1
OG0045810	Lluy|FUN_031972-T1
OG0045815	Lluy|FUN_032482-T1
OG0045817	Lluy|FUN_032764-T1
OG0045821	Lluy|FUN_033053-T1
OG0045827	Lluy|FUN_033959-T1
OG0045832	Lluy|FUN_034802-T1
OG0045834	Lluy|FUN_035841-T1
OG0045845	Lluy|FUN_037362-T1
OG0045848	Lluy|FUN_037850-T1
OG0045852	Lluy|FUN_038532-T1
OG0045864	Lluy|FUN_040479-T1
OG0045865	Lluy|FUN_040640-T1
OG0045870	Lluy|FUN_000247-T1
OG0045872	Lluy|FUN_000450-T1
OG0045877	Lluy|FUN_000852-T1
OG0045881	Lluy|FUN_001227-T1
OG0045885	Lluy|FUN_001744-T1
OG0045887	Lluy|FUN_001749-T1
OG0045889	Lluy|FUN_002545-T1
OG0045891	Lluy|FUN_002565-T1
OG0045905	Lluy|FUN_003656-T1
OG0045909	Lluy|FUN_003669-T1
OG0045910	Lluy|FUN_003674-T1
OG0045911	Lluy|FUN_004221-T1
OG0045915	Lluy|FUN_004507-T1
OG0045919	Lluy|FUN_004770-T1
OG0045926	Lluy|FUN_005429-T1
OG0045928	Lluy|FUN_005450-T1
OG0045930	Lluy|FUN_005466-T1
OG0045932	Lluy|FUN_005588-T1
OG0045934	Lluy|FUN_005702-T1
OG0045940	Lluy|FUN_006090-T1
OG0045943	Lluy|FUN_006314-T1
OG0045947	Lluy|FUN_006461-T1
OG0045950	Lluy|FUN_007227-T1
OG0045952	Lluy|FUN_007487-T1
OG0045953	Lluy|FUN_007493-T1
OG0045954	Lluy|FUN_007598-T1
OG0045964	Lluy|FUN_008623-T1
OG0045970	Lluy|FUN_009092-T1
OG0045978	Lluy|FUN_009569-T1
OG0045980	Lluy|FUN_009711-T1
OG0045985	Lluy|FUN_009964-T1
OG0046002	Lluy|FUN_010920-T1
OG0046009	Lluy|FUN_011321-T1
OG0046013	Lluy|FUN_011501-T1
OG0046014	Lluy|FUN_011524-T1
OG0046023	Lluy|FUN_012417-T1
OG0046024	Lluy|FUN_012501-T1
OG0046025	Lluy|FUN_012504-T1
OG0046026	Lluy|FUN_012579-T1
OG0046029	Lluy|FUN_013030-T1
OG0046034	Lluy|FUN_013335-T1
OG0046044	Lluy|FUN_013978-T1
OG0046049	Lluy|FUN_014118-T1
OG0046062	Lluy|FUN_014870-T1
OG0046066	Lluy|FUN_015202-T1
OG0046069	Lluy|FUN_015337-T1
OG0046070	Lluy|FUN_015390-T1
OG0046072	Lluy|FUN_015625-T1
OG0046075	Lluy|FUN_015668-T1
OG0046077	Lluy|FUN_015693-T1
OG0046079	Lluy|FUN_015873-T1
OG0046080	Lluy|FUN_015880-T1
OG0046082	Lluy|FUN_015931-T1
OG0046083	Lluy|FUN_015937-T1
OG0046088	Lluy|FUN_016285-T1
OG0046089	Lluy|FUN_016330-T1
OG0046090	Lluy|FUN_016378-T1
OG0046100	Lluy|FUN_016844-T1
OG0046101	Lluy|FUN_016900-T1
OG0046106	Lluy|FUN_017142-T1
OG0046108	Lluy|FUN_017205-T1
OG0046110	Lluy|FUN_017378-T1
OG0046141	Lluy|FUN_018715-T1
OG0046147	Lluy|FUN_018985-T1
OG0046148	Lluy|FUN_018986-T1
OG0046150	Lluy|FUN_018999-T1
OG0046158	Lluy|FUN_019485-T1
OG0046166	Lluy|FUN_019719-T1
OG0046168	Lluy|FUN_019742-T1
OG0046169	Lluy|FUN_019787-T1
OG0046172	Lluy|FUN_020053-T1
OG0046177	Lluy|FUN_020702-T1
OG0046178	Lluy|FUN_020709-T1
OG0046180	Lluy|FUN_020952-T1
OG0046188	Lluy|FUN_021308-T1
OG0046192	Lluy|FUN_021431-T1
OG0046193	Lluy|FUN_021495-T1
OG0046194	Lluy|FUN_021562-T1
OG0046195	Lluy|FUN_021760-T1
OG0046197	Lluy|FUN_021848-T1
OG0046200	Lluy|FUN_022163-T1
OG0046203	Lluy|FUN_022281-T1
OG0046206	Lluy|FUN_022576-T1
OG0046210	Lluy|FUN_022686-T1
OG0046214	Lluy|FUN_022761-T1
OG0046218	Lluy|FUN_022998-T1
OG0046220	Lluy|FUN_023025-T1
OG0046221	Lluy|FUN_023032-T1
OG0046228	Lluy|FUN_023374-T1
OG0046236	Lluy|FUN_023907-T1
OG0046238	Lluy|FUN_023962-T1
OG0046240	Lluy|FUN_023992-T1
OG0046245	Lluy|FUN_024204-T1
OG0046246	Lluy|FUN_024206-T1
OG0046251	Lluy|FUN_024334-T1
OG0046255	Lluy|FUN_024613-T1
OG0046259	Lluy|FUN_024850-T1
OG0046260	Lluy|FUN_024863-T1
OG0046268	Lluy|FUN_025248-T1
OG0046274	Lluy|FUN_025816-T1
OG0046275	Lluy|FUN_025832-T1
OG0046278	Lluy|FUN_025913-T1
OG0046281	Lluy|FUN_026213-T1
OG0046284	Lluy|FUN_026348-T1
OG0046289	Lluy|FUN_026641-T1
OG0046290	Lluy|FUN_026642-T1
OG0046291	Lluy|FUN_026654-T1
OG0046294	Lluy|FUN_026833-T1
OG0046298	Lluy|FUN_026930-T1
OG0046301	Lluy|FUN_026996-T1
OG0046304	Lluy|FUN_027076-T1
OG0046310	Lluy|FUN_027340-T1
OG0046314	Lluy|FUN_027656-T1
OG0046315	Lluy|FUN_027691-T1
OG0046323	Lluy|FUN_028220-T1
OG0046324	Lluy|FUN_028254-T1
OG0046328	Lluy|FUN_028457-T1
OG0046329	Lluy|FUN_028468-T1
OG0046337	Lluy|FUN_028772-T1
OG0046338	Lluy|FUN_028776-T1
OG0046341	Lluy|FUN_028982-T1
OG0046344	Lluy|FUN_029122-T1
OG0046345	Lluy|FUN_029201-T1
OG0046346	Lluy|FUN_029204-T1
OG0046349	Lluy|FUN_029272-T1
OG0046350	Lluy|FUN_029318-T1
OG0046351	Lluy|FUN_029319-T1
OG0046360	Lluy|FUN_029612-T1
OG0046368	Lluy|FUN_030221-T1
OG0046369	Lluy|FUN_030307-T1
OG0046371	Lluy|FUN_030528-T1
OG0046373	Lluy|FUN_030550-T1
OG0046379	Lluy|FUN_030887-T1
OG0046381	Lluy|FUN_030928-T1
OG0046386	Lluy|FUN_031148-T1
OG0046389	Lluy|FUN_031302-T1
OG0046393	Lluy|FUN_031428-T1
OG0046395	Lluy|FUN_031455-T1
OG0046396	Lluy|FUN_031512-T1
OG0046399	Lluy|FUN_031647-T1
OG0046400	Lluy|FUN_031651-T1
OG0046401	Lluy|FUN_031655-T1
OG0046402	Lluy|FUN_031656-T1
OG0046405	Lluy|FUN_031788-T1
OG0046406	Lluy|FUN_031789-T1
OG0046407	Lluy|FUN_031790-T1
OG0046410	Lluy|FUN_031856-T1
OG0046411	Lluy|FUN_031906-T1
OG0046415	Lluy|FUN_031937-T1
OG0046423	Lluy|FUN_032416-T1
OG0046424	Lluy|FUN_032418-T1
OG0046425	Lluy|FUN_032435-T1
OG0046429	Lluy|FUN_032586-T1
OG0046430	Lluy|FUN_032617-T1
OG0046439	Lluy|FUN_032839-T1
OG0046445	Lluy|FUN_033214-T1
OG0046451	Lluy|FUN_033452-T1
OG0046454	Lluy|FUN_033504-T1
OG0046463	Lluy|FUN_034240-T1
OG0046465	Lluy|FUN_034419-T1
OG0046466	Lluy|FUN_034610-T1
OG0046467	Lluy|FUN_034887-T1
OG0046469	Lluy|FUN_035114-T1
OG0046480	Lluy|FUN_035434-T1
OG0046482	Lluy|FUN_035525-T1
OG0046483	Lluy|FUN_035526-T1
OG0046487	Lluy|FUN_035679-T1
OG0046499	Lluy|FUN_036224-T1
OG0046501	Lluy|FUN_036540-T1
OG0046504	Lluy|FUN_036675-T1
OG0046506	Lluy|FUN_036820-T1
OG0046508	Lluy|FUN_036981-T1
OG0046509	Lluy|FUN_036983-T1
OG0046514	Lluy|FUN_037268-T1
OG0046519	Lluy|FUN_037563-T1
OG0046521	Lluy|FUN_037660-T1
OG0046523	Lluy|FUN_037716-T1
OG0046524	Lluy|FUN_037774-T1
OG0046525	Lluy|FUN_037786-T1
OG0046529	Lluy|FUN_037988-T1
OG0046533	Lluy|FUN_038236-T1
OG0046536	Lluy|FUN_038344-T1
OG0046537	Lluy|FUN_038352-T1
OG0046538	Lluy|FUN_038356-T1
OG0046541	Lluy|FUN_038383-T1
OG0046550	Lluy|FUN_039132-T1
OG0046555	Lluy|FUN_039590-T1
OG0046557	Lluy|FUN_039613-T1
OG0046564	Lluy|FUN_040161-T1
OG0046566	Lluy|FUN_040239-T1
OG0046568	Lluy|FUN_040318-T1
OG0046571	Lluy|FUN_040325-T1
OG0046572	Lluy|FUN_040326-T1
OG0046577	Lluy|FUN_040678-T1
OG0046581	Lluy|FUN_040782-T1
OG0046582	Lluy|FUN_040788-T1
OG0046585	Lluy|FUN_040809-T1
OG0046587	Lluy|FUN_000351-T1
OG0046592	Lluy|FUN_000524-T1
OG0046597	Lluy|FUN_000998-T1
OG0046598	Lluy|FUN_000999-T1
OG0046599	Lluy|FUN_001004-T1
OG0046601	Lluy|FUN_001112-T1
OG0046605	Lluy|FUN_001163-T1
OG0046609	Lluy|FUN_001262-T1
OG0046610	Lluy|FUN_001336-T1
OG0046616	Lluy|FUN_001642-T1
OG0046619	Lluy|FUN_001781-T1
OG0046623	Lluy|FUN_001883-T1
OG0046627	Lluy|FUN_001997-T1
OG0046628	Lluy|FUN_002036-T1
OG0046632	Lluy|FUN_002652-T1
OG0046633	Lluy|FUN_002668-T1
OG0046636	Lluy|FUN_002781-T1
OG0046639	Lluy|FUN_003078-T1
OG0046641	Lluy|FUN_003250-T1
OG0046646	Lluy|FUN_003587-T1
OG0046647	Lluy|FUN_003588-T1
OG0046648	Lluy|FUN_003595-T1
OG0046649	Lluy|FUN_003710-T1
OG0046652	Lluy|FUN_003795-T1
OG0046654	Lluy|FUN_003956-T1
OG0046659	Lluy|FUN_004325-T1
OG0046661	Lluy|FUN_004404-T1
OG0046664	Lluy|FUN_004563-T1
OG0046670	Lluy|FUN_004969-T1
OG0046671	Lluy|FUN_004984-T1
OG0046679	Lluy|FUN_005288-T1
OG0046687	Lluy|FUN_005807-T1
OG0046696	Lluy|FUN_006386-T1
OG0046698	Lluy|FUN_006397-T1
OG0046702	Lluy|FUN_006795-T1
OG0046703	Lluy|FUN_006836-T1
OG0046709	Lluy|FUN_006973-T1
OG0046710	Lluy|FUN_006974-T1
OG0046713	Lluy|FUN_007303-T1
OG0046722	Lluy|FUN_007636-T1
OG0046735	Lluy|FUN_008266-T1
OG0046740	Lluy|FUN_008802-T1
