#Host
OALVG00000000005.1	K10660
OALVG00000011754.1	K15621
OALVG00000011757.1	K02328
OALVG00000011764.1	K08040
OALVG00000011769.1	K17573
OALVG00000011772.1	K19685
OALVG00000011775.1	K04658
OALVG00000011783.1	K04658
OALVG00000011786.1	K14557
OALVG00000011793.1	K06709
OALVG00000011796.1	K22017
OALVG00000011799.1	K06631
OALVG00000011800.1	K02649
OALVG00000011803.1	K13120
OALVG00000011804.1	K23224
OALVG00000011813.1	K17436
OALVG00000011814.1	K12386
OALVG00000011815.1	K08059
OALVG00000011816.1	K14618
OALVG00000011817.1	K05030
OALVG00000011818.1	K14618
OALVG00000011848.1	K00213
OALVG00000011848.1	K01992
OALVG00000011849.1	K00213
OALVG00000011849.1	K01992
OALVG00000011850.1	K01183
OALVG00000011857.1	K12400
OALVG00000011858.1	K17382
OALVG00000011859.1	K13216
OALVG00000011861.1	K14830
OALVG00000011879.2	K22531
OALVG00000011880.1	K07509
OALVG00000011881.1	K07515
OALVG00000011883.1	K25102
OALVG00000011886.1	K13129
OALVG00000011889.1	K03331
OALVG00000011892.1	K03331
OALVG00000011893.1	K03331
OALVG00000011895.1	K03331
OALVG00000011898.1	K03940
OALVG00000011898.1	K00331
OALVG00000011902.1	K08675
OALVG00000011913.1	K00008
OALVG00000011913.1	K05351
OALVG00000011915.1	K24230
OALVG00000011919.1	K18263
OALVG00000011929.1	K20276
OALVG00000011947.1	K09395
OALVG00000011955.2	K15162
OALVG00000011956.1	K03358
OALVG00000011964.1	K09191
OALVG00000011966.1	K20175
OALVG00000011968.1	K20276
OALVG00000011969.1	K01775
OALVG00000011972.1	K08202
OALVG00000011973.1	K11373
OALVG00000011979.1	K24876
OALVG00000012002.1	K25608
OALVG00000012003.2	K18266
OALVG00000012005.1	K23504
OALVG00000012006.1	K07374
OALVG00000012007.1	K25805
OALVG00000012011.1	K05860
OALVG00000012011.1	K01992
OALVG00000012018.1	K04599
OALVG00000012022.1	K00718
OALVG00000012023.1	K15014
OALVG00000012023.1	K01992
OALVG00000012024.1	K13539
OALVG00000012029.1	K01183
OALVG00000012038.1	K00736
OALVG00000012039.1	K11862
OALVG00000012040.1	K06910
OALVG00000012042.1	K01557
OALVG00000012043.1	K19716
OALVG00000012044.1	K15213
OALVG00000012046.4	K13201
OALVG00000012048.1	K00884
OALVG00000012049.1	K11725
OALVG00000012053.2	K20346
OALVG00000012056.1	K01836
OALVG00000012057.2	K00733
OALVG00000012058.1	K10487
OALVG00000012068.1	K09114
OALVG00000012074.1	K15223
OALVG00000012076.1	K10402
OALVG00000012081.1	K23406
OALVG00000012082.1	K02893
OALVG00000012086.1	K08155
OALVG00000012086.1	K01992
OALVG00000012089.1	K09223
OALVG00000012089.1	K09191
OALVG00000012091.1	K20827
OALVG00000012092.1	K07126
OALVG00000012095.1	K10350
OALVG00000012096.1	K24796
OALVG00000012098.1	K09375
OALVG00000012114.1	K18735
OALVG00000012131.1	K09317
OALVG00000012133.1	K23503
OALVG00000012136.1	K08076
OALVG00000012137.1	K01992
OALVG00000012143.1	K23297
OALVG00000012146.1	K22017
OALVG00000012149.1	K11303
OALVG00000012162.1	K22017
OALVG00000012173.1	K22017
OALVG00000012179.1	K08211
OALVG00000012187.1	K09191
OALVG00000012194.1	K01992
OALVG00000012195.2	K00898
OALVG00000012196.1	K10728
OALVG00000012197.4	K11651
OALVG00000012212.1	K10738
OALVG00000012215.1	K00923
OALVG00000012241.2	K15198
OALVG00000012242.1	K21310
OALVG00000012246.1	K01992
OALVG00000012250.1	K13356
OALVG00000012251.1	K13356
OALVG00000012252.1	K13356
OALVG00000012255.1	K00718
OALVG00000012264.2	K08585
OALVG00000012273.1	K09549
OALVG00000012275.1	K09361
OALVG00000012285.1	K23741
OALVG00000012285.1	K01230
OALVG00000012286.1	K07252
OALVG00000012287.1	K20029
OALVG00000012288.1	K02966
OALVG00000012303.1	K18169
OALVG00000012305.1	K14713
OALVG00000012307.1	K06580
OALVG00000012307.1	K01992
OALVG00000012312.1	K01992
OALVG00000012313.1	K03323
OALVG00000012313.1	K15014
OALVG00000012315.1	K00485
OALVG00000012316.1	K00485
OALVG00000012318.1	K00485
OALVG00000012319.1	K00485
OALVG00000012334.1	K02918
OALVG00000012335.1	K05754
OALVG00000012337.2	K20160
OALVG00000012338.1	K01278
OALVG00000012339.1	K10314
OALVG00000012345.1	K17418
OALVG00000012347.1	K09258
OALVG00000012348.1	K20295
OALVG00000012350.1	K03685
OALVG00000012351.1	K14025
OALVG00000012352.1	K12662
OALVG00000012353.1	K14950
OALVG00000012359.1	K16680
OALVG00000012360.1	K13539
OALVG00000012361.1	K13539
OALVG00000012362.1	K12373
OALVG00000012374.1	K23398
OALVG00000012381.1	K12373
OALVG00000012383.1	K01992
OALVG00000012385.1	K01124
OALVG00000012385.1	K01992
OALVG00000012391.1	K15187
OALVG00000012392.1	K23610
OALVG00000012400.1	K17917
OALVG00000012401.1	K24014
OALVG00000012402.1	K00718
OALVG00000012410.1	K17088
OALVG00000012437.1	K13499
OALVG00000012439.1	K15183
OALVG00000012440.1	K20099
OALVG00000012444.1	K00718
OALVG00000012454.1	K14778
OALVG00000012456.1	K25405
OALVG00000012460.1	K01992
OALVG00000012461.1	K06874
OALVG00000012462.1	K06874
OALVG00000012464.1	K11518
OALVG00000012469.1	K02678
OALVG00000012479.1	K20471
OALVG00000012480.1	K20647
OALVG00000012482.1	K01749
OALVG00000012485.1	K09191
OALVG00000012487.3	K06491
OALVG00000012488.1	K03016
OALVG00000012489.1	K20225
OALVG00000012492.1	K12867
OALVG00000012493.1	K00816
OALVG00000012494.2	K05679
OALVG00000012494.2	K01992
OALVG00000012496.1	K15182
OALVG00000012497.1	K16174
OALVG00000012498.1	K17552
OALVG00000012499.1	K18407
OALVG00000012503.1	K12850
OALVG00000012511.1	K00558
OALVG00000012513.1	K03083
OALVG00000012515.1	K04615
OALVG00000012517.1	K24745
OALVG00000012523.1	K14563
OALVG00000012524.1	K21988
OALVG00000012525.1	K21988
OALVG00000012526.1	K16795
OALVG00000012526.1	K25010
OALVG00000012527.1	K10408
OALVG00000012531.1	K13132
OALVG00000012532.1	K02967
OALVG00000012535.1	K03660
OALVG00000012538.1	K07374
OALVG00000012539.1	K07374
OALVG00000012540.1	K20284
OALVG00000012542.1	K01432
OALVG00000012543.1	K12599
OALVG00000012544.1	K02214
OALVG00000012545.1	K05843
OALVG00000012557.1	K01992
OALVG00000012560.1	K08835
OALVG00000012587.1	K17593
OALVG00000012588.1	K08041
OALVG00000012589.1	K15261
OALVG00000012591.1	K12627
OALVG00000012592.1	K02886
OALVG00000012597.1	K17423
OALVG00000012598.1	K01303
OALVG00000012605.1	K03037
OALVG00000012606.1	K17307
OALVG00000012608.1	K10887
OALVG00000012609.1	K11419
OALVG00000012611.1	K22556
OALVG00000012614.1	K12584
OALVG00000012625.2	K04365
OALVG00000012652.1	K22561
OALVG00000012658.1	K01915
OALVG00000012661.1	K16751
OALVG00000012663.1	K10756
OALVG00000012664.1	K07126
OALVG00000012665.1	K10395
OALVG00000012670.1	K09312
OALVG00000012671.1	K13485
OALVG00000012672.1	K19036
OALVG00000012673.1	K11599
OALVG00000012675.1	K10866
OALVG00000012689.1	K14973
OALVG00000012690.1	K03968
OALVG00000012696.1	K00894
OALVG00000012699.1	K00894
OALVG00000012704.1	K23820
OALVG00000012705.1	K23820
OALVG00000012708.1	K00764
OALVG00000012709.1	K01262
OALVG00000012710.1	K09560
OALVG00000012712.1	K22862
OALVG00000012714.1	K05012
OALVG00000012715.1	K25417
OALVG00000012716.1	K14209
OALVG00000012717.1	K16749
OALVG00000012718.1	K15026
OALVG00000012719.1	K20314
OALVG00000012720.1	K17780
OALVG00000012721.1	K18081
OALVG00000012722.1	K03327
OALVG00000012722.1	K01992
OALVG00000012731.1	K03327
OALVG00000012731.1	K01992
OALVG00000012736.1	K01679
OALVG00000012737.1	K03946
OALVG00000012741.1	K09191
OALVG00000012747.1	K12383
OALVG00000012748.1	K14343
OALVG00000012756.1	K10879
OALVG00000012767.1	K01057
OALVG00000012768.1	K24632
OALVG00000012771.3	K16604
OALVG00000012774.1	K13142
OALVG00000012775.1	K01135
OALVG00000012776.1	K12375
OALVG00000012776.1	K01135
OALVG00000012777.1	K20369
OALVG00000012777.1	K01992
OALVG00000012780.1	K25531
OALVG00000012781.1	K06619
OALVG00000012783.1	K03248
OALVG00000012784.1	K01875
OALVG00000012791.1	K05290
OALVG00000012792.1	K00939
OALVG00000012799.1	K01412
OALVG00000012801.1	K24527
OALVG00000012802.1	K03000
OALVG00000012803.1	K10086
OALVG00000012804.1	K24536
OALVG00000012808.1	K05635
OALVG00000012809.1	K13184
OALVG00000012810.1	K00777
OALVG00000012812.1	K20232
OALVG00000012817.1	K03456
OALVG00000012818.1	K01697
OALVG00000012819.2	K24023
OALVG00000012820.1	K19721
OALVG00000012820.1	K19720
OALVG00000012821.1	K02732
OALVG00000012822.1	K12621
OALVG00000012823.1	K10263
OALVG00000012824.1	K17553
OALVG00000012833.1	K04148
OALVG00000012846.1	K20800
OALVG00000012857.1	K15179
OALVG00000012860.1	K23855
OALVG00000012872.1	K06173
OALVG00000012897.1	K08024
OALVG00000012903.1	K14792
OALVG00000012904.1	K09191
OALVG00000012905.1	K09191
OALVG00000012912.1	K05030
OALVG00000012921.1	K01183
OALVG00000012922.1	K12230
OALVG00000012924.1	K17710
OALVG00000012926.1	K16862
OALVG00000012927.1	K08880
OALVG00000012928.1	K14845
OALVG00000012931.1	K17087
OALVG00000012931.1	K01992
OALVG00000012938.1	K24262
OALVG00000012939.1	K24983
OALVG00000012942.1	K20406
OALVG00000012943.1	K03652
OALVG00000012945.1	K01992
OALVG00000012952.1	K04986
OALVG00000012953.1	K14859
OALVG00000012960.1	K24653
OALVG00000012961.1	K14007
OALVG00000012964.1	K23437
OALVG00000012969.1	K16336
OALVG00000012970.1	K15076
OALVG00000012971.1	K17929
OALVG00000012972.1	K00939
OALVG00000012973.1	K05038
OALVG00000012978.1	K06670
OALVG00000012979.1	K24205
OALVG00000012981.1	K00286
OALVG00000012983.1	K14611
OALVG00000012984.1	K17597
OALVG00000012985.1	K10299
OALVG00000012986.1	K06691
OALVG00000012987.1	K24634
OALVG00000012994.1	K14353
OALVG00000012994.1	K01992
OALVG00000013004.1	K02030
OALVG00000013012.1	K17434
OALVG00000013014.1	K08823
OALVG00000013016.1	K02183
OALVG00000013016.1	K13448
OALVG00000013019.1	K12839
OALVG00000013037.1	K09239
OALVG00000013039.1	K20306
OALVG00000013047.1	K02937
OALVG00000013048.1	K13517
OALVG00000013053.1	K17914
OALVG00000013058.1	K11806
OALVG00000013059.1	K13984
OALVG00000013060.1	K02942
OALVG00000013062.1	K22455
OALVG00000013078.1	K18164
OALVG00000013079.3	K10950
OALVG00000013081.1	K22989
OALVG00000013082.1	K01870
OALVG00000013086.1	K09341
OALVG00000013088.1	K06704
OALVG00000013093.1	K07232
OALVG00000013095.1	K23114
OALVG00000013096.1	K23114
OALVG00000013097.1	K15174
OALVG00000013099.1	K21032
OALVG00000013101.1	K15142
OALVG00000013103.1	K14970
OALVG00000013106.1	K05674
OALVG00000013106.1	K01992
OALVG00000013110.1	K14300
OALVG00000013113.1	K03331
OALVG00000013118.1	K09407
OALVG00000013119.1	K03106
OALVG00000013127.1	K14774
OALVG00000013128.1	K14774
OALVG00000013133.1	K10397
OALVG00000013136.1	K17430
OALVG00000013140.1	K00699
OALVG00000013141.1	K00699
OALVG00000013142.1	K14571
OALVG00000013143.1	K07442
OALVG00000013145.1	K25808
OALVG00000013146.1	K14841
OALVG00000013147.1	K17964
OALVG00000013150.2	K05127
OALVG00000013151.1	K03027
OALVG00000013152.1	K11827
OALVG00000013154.1	K20635
OALVG00000013155.2	K12362
OALVG00000013156.1	K03509
OALVG00000013158.1	K03064
OALVG00000013180.1	K00731
OALVG00000013196.1	K20007
OALVG00000013224.1	K17725
OALVG00000013224.1	K01069
OALVG00000013225.1	K10666
OALVG00000013226.1	K17849
OALVG00000013227.1	K19332
OALVG00000013228.2	K04650
OALVG00000013243.1	K19938
OALVG00000013245.1	K23539
OALVG00000013246.1	K13174
OALVG00000013247.1	K00327
OALVG00000013247.1	K00380
OALVG00000013252.1	K15441
OALVG00000013258.1	K00905
OALVG00000013266.1	K18592
OALVG00000013267.1	K11109
OALVG00000013274.1	K15507
OALVG00000013276.1	K13206
OALVG00000013279.1	K25770
OALVG00000013280.1	K13989
OALVG00000013281.3	K19201
OALVG00000013282.1	K09598
OALVG00000013282.1	K01992
OALVG00000013283.1	K23949
OALVG00000013299.1	K01689
OALVG00000013300.2	K12489
OALVG00000013302.1	K16777
OALVG00000013303.1	K16777
OALVG00000013304.1	K16777
OALVG00000013306.2	K16777
OALVG00000013307.1	K14429
OALVG00000013311.1	K14445
OALVG00000013312.1	K14445
OALVG00000013314.1	K24222
OALVG00000013325.4	K08269
OALVG00000013326.1	K16518
OALVG00000013330.1	K08678
OALVG00000013331.1	K00469
OALVG00000013333.1	K01992
OALVG00000013335.1	K21894
OALVG00000013339.1	K17382
OALVG00000013341.1	K14445
OALVG00000013344.1	K00871
OALVG00000013345.1	K14387
OALVG00000013346.1	K00731
OALVG00000013348.1	K10408
OALVG00000013350.1	K23542
OALVG00000013352.1	K24628
OALVG00000013353.1	K00318
OALVG00000013356.1	K17790
OALVG00000013357.1	K17809
OALVG00000013358.1	K01613
OALVG00000013361.1	K15637
OALVG00000013364.1	K24734
OALVG00000013365.1	K24734
OALVG00000013381.1	K01045
OALVG00000013383.1	K01593
OALVG00000013393.1	K09341
OALVG00000013397.1	K00718
OALVG00000013398.1	K09341
OALVG00000013400.1	K19399
OALVG00000013401.1	K04599
OALVG00000013411.1	K04599
OALVG00000013433.1	K04599
OALVG00000013434.1	K04599
OALVG00000013440.1	K13348
OALVG00000013442.1	K20796
OALVG00000013442.1	K09228
OALVG00000013442.1	K09191
OALVG00000013443.1	K20796
OALVG00000013443.1	K09228
OALVG00000013443.1	K18416
OALVG00000013443.1	K09191
OALVG00000013444.1	K01262
OALVG00000013453.1	K11687
OALVG00000013455.1	K26107
OALVG00000013456.1	K12880
OALVG00000013457.1	K14258
OALVG00000013458.1	K14258
OALVG00000013469.1	K14611
OALVG00000013472.1	K14611
OALVG00000013486.1	K08852
OALVG00000013492.1	K12868
OALVG00000013494.1	K01992
OALVG00000013502.1	K01992
OALVG00000013511.1	K18038
OALVG00000013512.1	K02207
OALVG00000013513.1	K00965
OALVG00000013518.1	K03511
OALVG00000013520.1	K11353
OALVG00000013523.1	K08507
OALVG00000013525.1	K11986
OALVG00000013526.1	K15010
OALVG00000013528.1	K00030
OALVG00000013530.1	K09550
OALVG00000013546.1	K00933
OALVG00000013549.1	K05728
OALVG00000013550.1	K18733
OALVG00000013551.1	K19054
OALVG00000013553.1	K11968
OALVG00000013554.1	K01992
OALVG00000013555.1	K11415
OALVG00000013555.1	K12410
OALVG00000013556.1	K22644
OALVG00000013558.1	K03522
OALVG00000013591.1	K22370
OALVG00000013592.1	K21768
OALVG00000013594.1	K23637
OALVG00000013607.1	K10768
OALVG00000013608.1	K11592
OALVG00000013609.1	K19023
OALVG00000013610.1	K17906
OALVG00000013612.1	K13513
OALVG00000013614.1	K20067
OALVG00000013615.1	K15630
OALVG00000013616.1	K12173
OALVG00000013617.1	K20096
OALVG00000013620.1	K25473
OALVG00000013621.1	K01511
OALVG00000013622.2	K15047
OALVG00000013623.1	K25452
OALVG00000013624.1	K12663
OALVG00000013624.1	K01692
OALVG00000013625.1	K11162
OALVG00000013626.1	K25557
OALVG00000013627.1	K12373
OALVG00000013628.1	K07390
OALVG00000013630.1	K09382
OALVG00000013641.1	K01183
OALVG00000013642.1	K01183
OALVG00000013643.1	K01183
OALVG00000013667.2	K16498
OALVG00000013677.1	K18404
OALVG00000013680.1	K17592
OALVG00000013682.1	K05665
OALVG00000013682.1	K01992
OALVG00000013683.1	K05665
OALVG00000013683.1	K01992
OALVG00000013685.1	K23343
OALVG00000013686.2	K25400
OALVG00000013692.2	K14803
OALVG00000013693.1	K05749
OALVG00000013694.1	K05749
OALVG00000013703.1	K24436
OALVG00000013704.1	K00976
OALVG00000013705.1	K00049
OALVG00000013707.1	K06867
OALVG00000013708.1	K10481
OALVG00000013717.1	K00888
OALVG00000013744.1	K19636
OALVG00000013754.1	K01179
OALVG00000013756.1	K01179
OALVG00000013769.1	K01992
OALVG00000013816.1	K01283
OALVG00000013817.1	K24254
OALVG00000013818.2	K09188
OALVG00000013820.1	K08230
OALVG00000013850.1	K20276
OALVG00000013863.1	K01992
OALVG00000013864.1	K01992
OALVG00000013866.1	K01992
OALVG00000013867.1	K01992
OALVG00000013868.1	K21988
OALVG00000013868.1	K01992
OALVG00000013877.1	K10740
OALVG00000013878.1	K20407
OALVG00000013880.1	K20407
OALVG00000013882.1	K25078
OALVG00000013895.1	K00588
OALVG00000013899.1	K01992
OALVG00000013900.1	K05658
OALVG00000013900.1	K01992
OALVG00000013903.1	K01992
OALVG00000013904.1	K02133
OALVG00000013904.1	K02112
OALVG00000013909.1	K10426
OALVG00000013932.1	K22647
OALVG00000013942.1	K00710
OALVG00000013943.1	K00710
OALVG00000013946.1	K08738
OALVG00000013947.1	K08738
OALVG00000013948.1	K08738
OALVG00000013949.1	K08738
OALVG00000013950.1	K01823
OALVG00000013953.1	K01847
OALVG00000013955.1	K08360
OALVG00000013955.1	K01992
OALVG00000013986.1	K24348
OALVG00000013999.1	K12852
OALVG00000014000.1	K15451
OALVG00000014001.1	K00505
OALVG00000014003.1	K14388
OALVG00000014003.1	K03307
OALVG00000014003.1	K01992
OALVG00000014004.1	K14388
OALVG00000014006.1	K14388
OALVG00000014006.1	K03307
OALVG00000014008.1	K00653
OALVG00000014009.1	K13239
OALVG00000014012.1	K11089
OALVG00000014013.1	K07877
OALVG00000014014.1	K01273
OALVG00000014015.1	K22544
OALVG00000014018.1	K02040
OALVG00000014028.1	K22037
OALVG00000014034.1	K20027
OALVG00000014038.1	K14724
OALVG00000014038.1	K01992
OALVG00000014039.1	K14343
OALVG00000014043.1	K01992
OALVG00000014045.1	K23679
OALVG00000014046.1	K11270
OALVG00000014051.1	K13105
OALVG00000014053.3	K13988
OALVG00000014056.1	K08202
OALVG00000014065.1	K15157
OALVG00000014069.1	K07216
OALVG00000014070.1	K07216
OALVG00000014071.2	K07216
OALVG00000014072.1	K07216
OALVG00000014074.1	K00476
OALVG00000014077.1	K08997
OALVG00000014079.1	K16896
OALVG00000014080.1	K24839
OALVG00000014081.1	K16904
OALVG00000014082.1	K03941
OALVG00000014082.1	K00338
OALVG00000014085.1	K01372
OALVG00000014088.1	K22754
OALVG00000014089.1	K22754
OALVG00000014090.1	K22754
OALVG00000014091.1	K15523
OALVG00000014095.1	K10421
OALVG00000014099.1	K22754
OALVG00000014122.1	K13755
OALVG00000014125.1	K19307
OALVG00000014126.1	K18040
OALVG00000014135.1	K24048
OALVG00000014136.1	K17086
OALVG00000014136.1	K01992
OALVG00000014144.1	K24734
OALVG00000014146.1	K24734
OALVG00000014148.1	K24734
OALVG00000014149.1	K24734
OALVG00000014151.1	K24734
OALVG00000014153.1	K24734
OALVG00000014158.1	K24734
OALVG00000014163.1	K24734
OALVG00000014164.1	K10249
OALVG00000014165.1	K10249
OALVG00000014168.1	K10426
OALVG00000014186.1	K03424
OALVG00000014202.1	K01755
OALVG00000014203.1	K01021
OALVG00000014212.1	K03177
OALVG00000014217.2	K04354
OALVG00000014218.1	K24736
OALVG00000014220.1	K10743
OALVG00000014222.1	K03331
OALVG00000014223.1	K03331
OALVG00000014224.1	K03331
OALVG00000014225.1	K16489
OALVG00000014230.1	K10895
OALVG00000014235.1	K14523
OALVG00000014238.1	K09890
OALVG00000014255.1	K10837
OALVG00000014256.1	K03265
OALVG00000014257.1	K19608
OALVG00000014260.2	K01931
OALVG00000014261.1	K04648
OALVG00000014268.1	K24682
OALVG00000014269.1	K24682
OALVG00000014269.1	K01992
OALVG00000014272.1	K08860
OALVG00000014274.1	K08860
OALVG00000014281.1	K16865
OALVG00000014282.1	K05349
OALVG00000014287.1	K12373
OALVG00000014288.2	K17785
OALVG00000014300.1	K01992
OALVG00000014307.1	K00753
OALVG00000014307.1	K14464
OALVG00000014309.1	K25830
OALVG00000014312.1	K23296
OALVG00000014316.1	K20828
OALVG00000014316.1	K09191
OALVG00000014334.1	K03211
OALVG00000014344.2	K14688
OALVG00000014345.1	K02970
OALVG00000014348.1	K14688
OALVG00000014350.1	K00953
OALVG00000014352.1	K22941
OALVG00000014353.1	K13350
OALVG00000014415.1	K24186
OALVG00000014418.1	K03141
OALVG00000014419.1	K25393
OALVG00000014421.1	K22415
OALVG00000014427.1	K13748
OALVG00000014431.1	K11490
OALVG00000014432.1	K23555
OALVG00000014434.2	K00693
OALVG00000014438.1	K06961
OALVG00000014451.1	K15146
OALVG00000014452.1	K25757
OALVG00000014453.2	K12654
OALVG00000014455.1	K15307
OALVG00000014456.1	K08852
OALVG00000014457.1	K21249
OALVG00000014458.1	K20399
OALVG00000014460.1	K01673
OALVG00000014461.1	K01673
OALVG00000014462.1	K17822
OALVG00000014463.1	K02210
OALVG00000014465.2	K25790
OALVG00000014467.1	K07378
OALVG00000014468.1	K15026
OALVG00000014469.1	K24594
OALVG00000014470.1	K00943
OALVG00000014471.1	K02906
OALVG00000014472.1	K20282
OALVG00000014486.1	K03455
OALVG00000014486.1	K01992
OALVG00000014498.1	K13539
OALVG00000014500.1	K20162
OALVG00000014501.2	K03377
OALVG00000014544.1	K21440
OALVG00000014544.1	K06867
OALVG00000014546.1	K01992
OALVG00000014603.1	K00846
OALVG00000014611.1	K02542
OALVG00000014650.1	K13754
OALVG00000014652.1	K23214
OALVG00000014655.1	K14822
OALVG00000014656.1	K24595
OALVG00000014657.1	K10588
OALVG00000014663.1	K09498
OALVG00000014664.1	K12392
OALVG00000014665.1	K13345
OALVG00000014667.1	K11502
OALVG00000014673.1	K04560
OALVG00000014673.1	K08486
OALVG00000014676.1	K07936
OALVG00000014677.1	K19374
OALVG00000014678.1	K19306
OALVG00000014680.1	K19306
OALVG00000014695.1	K24627
OALVG00000014705.1	K18723
OALVG00000014709.1	K03255
OALVG00000014718.1	K07466
OALVG00000014722.1	K16684
OALVG00000014724.1	K04552
OALVG00000014725.1	K15271
OALVG00000014726.1	K11414
OALVG00000014726.1	K12410
OALVG00000014727.1	K05760
OALVG00000014731.1	K24272
OALVG00000014743.1	K24869
OALVG00000014744.1	K17776
OALVG00000014745.1	K08074
OALVG00000014746.1	K05288
OALVG00000014752.1	K09131
OALVG00000014754.2	K03841
OALVG00000014755.1	K10310
OALVG00000014756.1	K12886
OALVG00000014757.1	K19026
OALVG00000014774.1	K09191
OALVG00000014776.1	K09191
OALVG00000014780.1	K09191
OALVG00000014787.1	K15559
OALVG00000014788.2	K01868
OALVG00000014790.1	K01737
OALVG00000014792.1	K01737
OALVG00000014793.1	K01737
OALVG00000014794.1	K11339
OALVG00000014795.1	K10750
OALVG00000014796.1	K11247
OALVG00000014797.1	K03574
OALVG00000014797.1	K01823
OALVG00000014798.1	K03023
OALVG00000014799.1	K03635
OALVG00000014804.1	K10573
OALVG00000014804.1	K10574
OALVG00000014805.1	K01376
OALVG00000014828.1	K11840
OALVG00000014831.1	K07893
OALVG00000014832.1	K08838
OALVG00000014835.1	K22721
OALVG00000014836.1	K17574
OALVG00000014837.1	K01824
OALVG00000014839.1	K23583
OALVG00000014839.1	K15043
OALVG00000014840.1	K09191
OALVG00000014867.1	K23573
OALVG00000014870.1	K23573
OALVG00000014890.1	K23573
OALVG00000014905.1	K01992
OALVG00000014906.1	K19572
OALVG00000014921.1	K25605
OALVG00000014929.1	K18467
OALVG00000014947.1	K10994
OALVG00000014954.1	K04646
OALVG00000014980.1	K19001
OALVG00000014982.1	K21894
OALVG00000014983.1	K21894
OALVG00000014990.1	K19996
OALVG00000014992.1	K23309
OALVG00000014993.1	K20030
OALVG00000015000.1	K19996
OALVG00000015001.1	K19996
OALVG00000015002.1	K09069
OALVG00000015004.1	K07555
OALVG00000015008.1	K19475
OALVG00000015010.1	K11536
OALVG00000015010.1	K01992
OALVG00000015012.1	K21766
OALVG00000015014.1	K10389
OALVG00000015015.1	K23880
OALVG00000015016.1	K02921
OALVG00000015017.1	K11978
OALVG00000015027.1	K01409
OALVG00000015028.1	K01880
OALVG00000015029.1	K01880
OALVG00000015030.1	K23488
OALVG00000015031.1	K10605
OALVG00000015032.1	K14816
OALVG00000015033.1	K15208
OALVG00000015034.1	K10473
OALVG00000015036.1	K07817
OALVG00000015038.1	K09645
OALVG00000015041.1	K15261
OALVG00000015047.1	K15261
OALVG00000015051.1	K15261
OALVG00000015058.1	K14295
OALVG00000015059.1	K24651
OALVG00000015061.1	K15379
OALVG00000015061.1	K15378
OALVG00000015063.1	K06172
OALVG00000015064.1	K24651
OALVG00000015065.1	K15379
OALVG00000015065.1	K15378
OALVG00000015067.1	K06172
OALVG00000015068.1	K20778
OALVG00000015069.1	K10859
OALVG00000015080.1	K11413
OALVG00000015081.1	K03068
OALVG00000015082.1	K02924
OALVG00000015083.1	K10435
OALVG00000015085.1	K22649
OALVG00000015086.1	K20279
OALVG00000015087.1	K12310
OALVG00000015089.1	K17266
OALVG00000015090.1	K03665
OALVG00000015092.1	K00753
OALVG00000015095.1	K00639
OALVG00000015095.1	K00652
OALVG00000015096.1	K10886
OALVG00000015097.1	K17199
OALVG00000015104.1	K10405
OALVG00000015105.1	K15338
OALVG00000015111.1	K13937
OALVG00000015111.1	K01057
OALVG00000015112.1	K05906
OALVG00000015113.1	K10522
OALVG00000015116.1	K03111
OALVG00000015119.1	K07055
OALVG00000015120.1	K07941
OALVG00000015122.1	K19750
OALVG00000015123.1	K02148
OALVG00000015128.1	K20177
OALVG00000015129.1	K03094
OALVG00000015133.1	K01135
OALVG00000015138.1	K02327
OALVG00000015181.1	K03871
OALVG00000015185.1	K09228
OALVG00000015185.1	K09191
OALVG00000015191.1	K01480
OALVG00000015234.1	K22017
OALVG00000015245.1	K10646
OALVG00000015246.1	K03251
OALVG00000015247.1	K23909
OALVG00000015252.1	K01992
OALVG00000015265.1	K25568
OALVG00000015269.1	K15703
OALVG00000015270.1	K09191
OALVG00000015275.1	K10434
OALVG00000015284.1	K17659
OALVG00000015305.1	K22544
OALVG00000015307.1	K22544
OALVG00000015326.1	K15261
OALVG00000015331.1	K08031
OALVG00000015333.2	K21413
OALVG00000015334.1	K18575
OALVG00000015335.1	K03135
OALVG00000015336.1	K08790
OALVG00000015337.1	K10321
OALVG00000015338.1	K11375
OALVG00000015340.1	K20276
OALVG00000015344.1	K23901
OALVG00000015345.1	K14550
OALVG00000015358.1	K00103
OALVG00000015367.1	K00103
OALVG00000015373.1	K17533
OALVG00000015374.1	K02949
OALVG00000015375.1	K03944
OALVG00000015376.1	K13676
OALVG00000015377.1	K19752
OALVG00000015378.1	K24939
OALVG00000015382.1	K16309
OALVG00000015384.1	K22861
OALVG00000015387.1	K10579
OALVG00000015388.1	K08730
OALVG00000015392.1	K21988
OALVG00000015409.1	K10276
OALVG00000015436.1	K13448
OALVG00000015441.1	K07126
OALVG00000015442.1	K24260
OALVG00000015446.1	K12193
OALVG00000015448.1	K02259
OALVG00000015449.1	K16449
OALVG00000015469.1	K10262
OALVG00000015472.1	K13448
OALVG00000015473.1	K02183
OALVG00000015473.1	K13448
OALVG00000015477.1	K06058
OALVG00000015481.1	K22257
OALVG00000015484.1	K10316
OALVG00000015486.1	K04496
OALVG00000015488.1	K18624
OALVG00000015491.1	K20640
OALVG00000015492.1	K03351
OALVG00000015505.1	K01992
OALVG00000015509.1	K13577
OALVG00000015511.2	K04430
OALVG00000015514.1	K01992
