#Host
OFRAG00000000002.1	K07834
OFRAG00000006086.1	K01992
OFRAG00000006087.1	K24747
OFRAG00000006092.1	K04615
OFRAG00000006105.1	K20198
OFRAG00000006106.1	K14777
OFRAG00000006108.1	K14564
OFRAG00000006113.1	K19584
OFRAG00000006115.1	K05312
OFRAG00000006120.1	K15719
OFRAG00000006122.1	K14618
OFRAG00000006129.1	K08844
OFRAG00000006132.1	K15455
OFRAG00000006134.1	K04718
OFRAG00000006135.1	K02883
OFRAG00000006147.1	K17908
OFRAG00000006148.1	K12823
OFRAG00000006149.1	K15029
OFRAG00000006150.1	K03966
OFRAG00000006151.1	K15381
OFRAG00000006153.1	K11718
OFRAG00000006155.1	K11718
OFRAG00000006156.1	K14649
OFRAG00000006158.1	K23338
OFRAG00000006159.1	K12844
OFRAG00000006160.1	K24062
OFRAG00000006161.2	K01148
OFRAG00000006164.1	K24298
OFRAG00000006165.1	K18328
OFRAG00000006171.1	K09498
OFRAG00000006172.1	K07890
OFRAG00000006173.1	K17560
OFRAG00000006174.1	K22816
OFRAG00000006184.1	K14479
OFRAG00000006185.1	K14479
OFRAG00000006189.1	K21424
OFRAG00000006190.1	K05658
OFRAG00000006190.1	K01992
OFRAG00000006191.1	K09519
OFRAG00000006192.1	K19607
OFRAG00000006202.1	K11662
OFRAG00000006208.1	K00236
OFRAG00000006209.1	K16862
OFRAG00000006210.1	K22763
OFRAG00000006211.1	K06063
OFRAG00000006212.1	K00477
OFRAG00000006214.1	K02605
OFRAG00000006215.1	K21870
OFRAG00000006217.1	K17608
OFRAG00000006223.1	K16731
OFRAG00000006226.1	K15690
OFRAG00000006228.1	K17496
OFRAG00000006229.1	K10134
OFRAG00000006230.1	K13205
OFRAG00000006233.1	K06580
OFRAG00000006235.1	K14684
OFRAG00000006237.1	K02308
OFRAG00000006238.1	K22985
OFRAG00000006239.1	K11274
OFRAG00000006247.1	K19530
OFRAG00000006250.1	K15101
OFRAG00000006251.1	K24744
OFRAG00000006253.1	K12581
OFRAG00000006258.2	K00750
OFRAG00000006266.1	K01593
OFRAG00000006280.1	K02884
OFRAG00000006281.1	K25592
OFRAG00000006292.1	K17259
OFRAG00000006292.1	K17428
OFRAG00000006293.1	K12184
OFRAG00000006299.1	K00873
OFRAG00000006300.1	K09506
OFRAG00000006301.1	K25458
OFRAG00000006304.1	K15687
OFRAG00000006305.1	K14972
OFRAG00000006306.1	K15414
OFRAG00000006307.1	K12828
OFRAG00000006309.1	K05544
OFRAG00000006311.1	K18134
OFRAG00000006312.1	K09582
OFRAG00000006313.1	K01992
OFRAG00000006314.1	K01992
OFRAG00000006322.1	K04361
OFRAG00000006324.1	K25877
OFRAG00000006327.1	K01883
OFRAG00000006329.1	K18061
OFRAG00000006330.1	K01904
OFRAG00000006343.1	K12382
OFRAG00000006344.1	K07766
OFRAG00000006350.1	K19867
OFRAG00000006351.1	K14709
OFRAG00000006356.1	K16583
OFRAG00000006361.1	K01205
OFRAG00000006361.1	K21286
OFRAG00000006362.1	K07189
OFRAG00000006363.1	K23439
OFRAG00000006364.1	K02999
OFRAG00000006374.1	K14538
OFRAG00000006375.1	K11450
OFRAG00000006376.1	K18405
OFRAG00000006382.1	K09651
OFRAG00000006384.1	K15686
OFRAG00000006389.1	K14634
OFRAG00000006390.1	K09403
OFRAG00000006394.1	K01855
OFRAG00000006395.1	K00858
OFRAG00000006397.2	K23600
OFRAG00000006398.1	K00814
OFRAG00000006400.1	K18172
OFRAG00000006403.1	K14685
OFRAG00000006404.1	K03965
OFRAG00000006405.1	K14396
OFRAG00000006406.1	K04487
OFRAG00000006407.1	K15280
OFRAG00000006407.1	K01992
OFRAG00000006412.1	K02353
OFRAG00000006416.1	K08869
OFRAG00000006419.1	K09592
OFRAG00000006420.1	K01360
OFRAG00000006422.1	K20301
OFRAG00000006430.1	K08825
OFRAG00000006431.3	K07199
OFRAG00000006432.1	K12886
OFRAG00000006433.1	K05730
OFRAG00000006434.1	K20285
OFRAG00000006439.1	K10397
OFRAG00000006440.1	K10732
OFRAG00000006443.1	K24020
OFRAG00000006446.1	K24205
OFRAG00000006448.1	K19756
OFRAG00000006449.1	K16686
OFRAG00000006450.1	K25440
OFRAG00000006452.1	K14403
OFRAG00000006456.1	K12621
OFRAG00000006460.1	K17286
OFRAG00000006462.1	K11490
OFRAG00000006463.1	K08798
OFRAG00000006465.1	K01759
OFRAG00000006470.1	K02737
OFRAG00000006471.1	K02963
OFRAG00000006472.1	K10427
OFRAG00000006475.1	K09219
OFRAG00000006476.1	K14397
OFRAG00000006484.1	K19384
OFRAG00000006486.1	K06269
OFRAG00000006487.1	K01259
OFRAG00000006490.1	K06265
OFRAG00000006493.1	K04468
OFRAG00000006497.1	K03143
OFRAG00000006498.1	K03847
OFRAG00000006500.1	K14034
OFRAG00000006503.1	K03363
OFRAG00000006504.1	K24962
OFRAG00000006506.1	K19365
OFRAG00000006507.1	K01691
OFRAG00000006509.1	K09454
OFRAG00000006510.1	K06692
OFRAG00000006513.1	K13113
OFRAG00000006514.1	K10641
OFRAG00000006515.1	K02326
OFRAG00000006516.1	K14292
OFRAG00000006521.1	K14571
OFRAG00000006528.1	K14311
OFRAG00000006535.1	K05858
OFRAG00000006536.1	K19679
OFRAG00000006539.1	K03639
OFRAG00000006539.1	K03637
OFRAG00000006540.1	K08824
OFRAG00000006541.1	K15913
OFRAG00000006543.1	K04615
OFRAG00000006544.1	K02930
OFRAG00000006545.1	K04043
OFRAG00000006548.1	K22380
OFRAG00000006549.1	K02183
OFRAG00000006549.1	K13448
OFRAG00000006567.1	K24763
OFRAG00000006569.1	K02132
OFRAG00000006569.1	K02111
OFRAG00000006570.1	K25644
OFRAG00000006572.1	K11980
OFRAG00000006578.1	K24067
OFRAG00000006581.1	K15179
OFRAG00000006586.1	K11848
OFRAG00000006587.1	K22037
OFRAG00000006588.1	K22037
OFRAG00000006591.1	K07192
OFRAG00000006592.1	K01930
OFRAG00000006593.1	K11136
OFRAG00000006596.1	K24436
OFRAG00000006602.1	K24436
OFRAG00000006603.1	K24081
OFRAG00000006604.1	K07188
OFRAG00000006607.1	K05310
OFRAG00000006610.1	K23028
OFRAG00000006620.1	K04974
OFRAG00000006623.1	K17310
OFRAG00000006625.1	K15277
OFRAG00000006628.1	K07854
OFRAG00000006630.1	K24456
OFRAG00000006631.1	K04523
OFRAG00000006632.1	K25605
OFRAG00000006633.1	K13525
OFRAG00000006657.1	K20823
OFRAG00000006658.1	K14709
OFRAG00000006659.1	K00315
OFRAG00000006663.1	K01834
OFRAG00000006664.1	K15789
OFRAG00000006665.1	K14786
OFRAG00000006671.1	K00734
OFRAG00000006672.1	K01597
OFRAG00000006673.1	K15424
OFRAG00000006677.1	K16603
OFRAG00000006686.1	K14539
OFRAG00000006688.1	K10637
OFRAG00000006689.1	K02156
OFRAG00000006690.1	K01992
OFRAG00000006691.1	K01421
OFRAG00000006697.1	K02990
OFRAG00000006710.1	K24971
OFRAG00000006714.1	K19375
OFRAG00000006717.1	K20289
OFRAG00000006719.1	K01464
OFRAG00000006720.1	K24175
OFRAG00000006723.1	K09223
OFRAG00000006725.1	K25742
OFRAG00000006728.1	K17433
OFRAG00000006729.1	K02098
OFRAG00000006730.1	K25473
OFRAG00000006733.1	K05284
OFRAG00000006734.1	K01992
OFRAG00000006735.1	K17595
OFRAG00000006736.1	K11878
OFRAG00000006752.1	K21767
OFRAG00000006753.1	K03860
OFRAG00000006754.1	K13524
OFRAG00000006761.1	K21988
OFRAG00000006763.1	K14388
OFRAG00000006763.1	K03307
OFRAG00000006765.1	K02087
OFRAG00000006768.2	K23335
OFRAG00000006769.1	K07556
OFRAG00000006770.1	K14325
OFRAG00000006771.1	K10747
OFRAG00000006772.1	K14443
OFRAG00000006778.1	K19907
OFRAG00000006779.1	K19348
OFRAG00000006781.1	K20027
OFRAG00000006788.1	K09574
OFRAG00000006790.1	K18405
OFRAG00000006792.1	K14554
OFRAG00000006798.1	K13280
OFRAG00000006799.1	K17866
OFRAG00000006800.1	K09595
OFRAG00000006809.1	K08115
OFRAG00000006813.1	K17406
OFRAG00000006821.1	K03650
OFRAG00000006823.1	K02895
OFRAG00000006824.1	K00856
OFRAG00000006825.1	K00876
OFRAG00000006830.1	K10356
OFRAG00000006831.1	K03036
OFRAG00000006833.1	K12842
OFRAG00000006834.1	K17423
OFRAG00000006836.1	K01197
OFRAG00000006842.1	K20804
OFRAG00000006843.1	K10362
OFRAG00000006844.1	K05034
OFRAG00000006847.1	K08738
OFRAG00000006848.1	K08585
OFRAG00000006849.1	K07554
OFRAG00000006850.1	K16894
OFRAG00000006851.1	K10418
OFRAG00000006852.1	K06127
OFRAG00000006852.1	K03183
OFRAG00000006853.1	K15685
OFRAG00000006856.1	K02435
OFRAG00000006857.1	K12890
OFRAG00000006869.1	K16747
OFRAG00000006871.1	K15107
OFRAG00000006882.1	K24739
OFRAG00000006883.1	K04392
OFRAG00000006884.1	K22381
OFRAG00000006885.1	K02148
OFRAG00000006886.1	K19750
OFRAG00000006887.1	K07941
OFRAG00000006888.1	K03111
OFRAG00000006890.1	K18272
OFRAG00000006892.2	K20465
OFRAG00000006895.1	K10416
OFRAG00000006896.1	K06106
OFRAG00000006903.1	K11127
OFRAG00000006904.1	K00418
OFRAG00000006918.1	K24399
OFRAG00000006919.1	K11805
OFRAG00000006920.1	K09191
OFRAG00000006922.1	K03253
OFRAG00000006927.1	K14753
OFRAG00000006928.1	K04382
OFRAG00000006929.1	K02960
OFRAG00000006931.1	K18258
OFRAG00000006932.1	K18258
OFRAG00000006936.1	K24875
OFRAG00000006938.1	K03979
OFRAG00000006948.1	K12845
OFRAG00000006958.1	K25059
OFRAG00000006961.1	K04505
OFRAG00000006962.1	K25769
OFRAG00000006963.2	K15178
OFRAG00000006968.1	K00140
OFRAG00000006971.1	K04505
OFRAG00000006971.1	K01992
OFRAG00000006981.1	K21766
OFRAG00000006983.1	K22530
OFRAG00000006986.1	K24013
OFRAG00000006988.1	K01301
OFRAG00000006991.1	K21751
OFRAG00000007003.1	K17808
OFRAG00000007004.1	K03873
OFRAG00000007006.1	K09553
OFRAG00000007007.1	K16761
OFRAG00000007009.1	K14768
OFRAG00000007010.1	K15865
OFRAG00000007015.1	K19530
OFRAG00000007016.1	K24927
OFRAG00000007017.1	K14191
OFRAG00000007019.1	K00846
OFRAG00000007024.1	K03362
OFRAG00000007025.1	K03539
OFRAG00000007026.1	K15173
OFRAG00000007027.1	K10998
OFRAG00000007032.1	K04082
OFRAG00000007033.1	K12625
OFRAG00000007036.1	K11877
OFRAG00000007038.1	K01052
OFRAG00000007039.1	K03454
OFRAG00000007044.2	K19589
OFRAG00000007049.1	K16772
OFRAG00000007050.1	K19307
OFRAG00000007053.1	K11434
OFRAG00000007058.1	K00933
OFRAG00000007064.1	K08098
OFRAG00000007068.1	K24786
OFRAG00000007076.1	K02267
OFRAG00000007077.1	K02949
OFRAG00000007079.1	K13676
OFRAG00000007085.1	K17290
OFRAG00000007086.1	K24797
OFRAG00000007087.1	K02925
OFRAG00000007093.1	K21870
OFRAG00000007099.1	K00700
OFRAG00000007100.1	K21773
OFRAG00000007102.2	K03676
OFRAG00000007103.1	K01769
OFRAG00000007107.1	K12874
OFRAG00000007109.1	K22078
OFRAG00000007110.1	K13127
OFRAG00000007111.1	K13126
OFRAG00000007118.1	K15637
OFRAG00000007119.1	K01285
OFRAG00000007121.1	K17606
OFRAG00000007122.1	K13220
OFRAG00000007124.1	K14808
OFRAG00000007127.1	K09488
OFRAG00000007127.1	K04079
OFRAG00000007128.1	K02155
OFRAG00000007129.1	K09560
OFRAG00000007131.1	K01580
OFRAG00000007132.1	K08507
OFRAG00000007133.1	K17356
OFRAG00000007133.1	K01992
OFRAG00000007134.1	K00311
OFRAG00000007140.1	K02865
OFRAG00000007147.1	K23957
OFRAG00000007150.1	K09318
OFRAG00000007166.1	K18419
OFRAG00000007167.1	K15109
OFRAG00000007177.1	K22647
OFRAG00000007179.1	K00763
OFRAG00000007192.1	K24808
OFRAG00000007194.1	K02985
OFRAG00000007196.1	K17607
OFRAG00000007197.1	K18171
OFRAG00000007199.1	K10410
OFRAG00000007200.1	K10410
OFRAG00000007202.1	K17805
OFRAG00000007214.1	K12373
OFRAG00000007220.1	K02183
OFRAG00000007220.1	K13448
OFRAG00000007224.1	K13153
OFRAG00000007231.1	K05749
OFRAG00000007232.1	K03126
OFRAG00000007237.1	K14407
OFRAG00000007258.1	K16765
OFRAG00000007263.1	K11497
OFRAG00000007264.1	K05609
OFRAG00000007267.1	K01992
OFRAG00000007274.1	K16639
OFRAG00000007279.1	K06685
OFRAG00000007280.1	K03127
OFRAG00000007282.1	K04683
OFRAG00000007283.1	K08515
OFRAG00000007284.1	K08343
OFRAG00000007285.1	K21863
OFRAG00000007286.1	K13696
OFRAG00000007308.1	K05657
OFRAG00000007308.1	K01992
OFRAG00000007309.1	K17553
OFRAG00000007310.1	K01697
OFRAG00000007311.1	K21891
OFRAG00000007312.1	K13431
OFRAG00000007320.1	K13783
OFRAG00000007321.1	K07532
OFRAG00000007341.1	K06816
OFRAG00000007343.1	K16471
OFRAG00000007344.1	K12489
OFRAG00000007347.1	K03061
OFRAG00000007348.1	K14523
OFRAG00000007349.1	K15335
OFRAG00000007351.1	K10266
OFRAG00000007355.1	K08802
OFRAG00000007361.1	K06258
OFRAG00000007361.1	K01992
OFRAG00000007368.1	K05759
OFRAG00000007372.1	K19332
OFRAG00000007373.1	K00327
OFRAG00000007375.1	K13171
OFRAG00000007378.1	K12860
OFRAG00000007381.1	K03136
OFRAG00000007382.1	K03136
OFRAG00000007383.1	K07933
OFRAG00000007384.1	K07931
OFRAG00000007385.1	K03014
OFRAG00000007391.1	K25426
OFRAG00000007392.1	K00876
OFRAG00000007402.1	K12592
OFRAG00000007403.1	K06176
OFRAG00000007404.3	K17491
OFRAG00000007405.1	K01410
OFRAG00000007406.1	K11436
OFRAG00000007407.1	K13339
OFRAG00000007409.1	K04370
OFRAG00000007416.1	K25095
OFRAG00000007417.1	K23295
OFRAG00000007426.1	K02955
OFRAG00000007428.1	K25459
OFRAG00000007429.1	K24827
OFRAG00000007442.1	K07759
OFRAG00000007443.1	K02974
OFRAG00000007444.1	K17797
OFRAG00000007445.1	K23026
OFRAG00000007452.1	K00635
OFRAG00000007455.1	K20526
OFRAG00000007459.1	K01992
OFRAG00000007462.1	K16865
OFRAG00000007465.1	K09495
OFRAG00000007466.1	K23878
OFRAG00000007470.1	K08024
OFRAG00000007476.1	K05849
OFRAG00000007478.1	K10645
OFRAG00000007483.1	K24938
OFRAG00000007495.1	K16474
OFRAG00000007497.2	K09531
OFRAG00000007500.1	K13239
OFRAG00000007502.1	K14692
OFRAG00000007502.1	K01992
OFRAG00000007507.1	K06677
OFRAG00000007510.1	K13118
OFRAG00000007511.1	K14530
OFRAG00000007512.1	K20291
OFRAG00000007527.1	K14387
OFRAG00000007528.1	K17086
OFRAG00000007528.1	K01992
OFRAG00000007533.1	K25548
OFRAG00000007534.1	K15164
OFRAG00000007535.1	K11757
OFRAG00000007537.1	K23332
OFRAG00000007539.1	K05292
OFRAG00000007541.1	K00033
OFRAG00000007542.1	K14833
OFRAG00000007547.1	K17218
OFRAG00000007550.1	K22037
OFRAG00000007551.1	K22037
OFRAG00000007552.1	K22037
OFRAG00000007553.1	K22037
OFRAG00000007565.1	K01206
OFRAG00000007566.1	K14851
OFRAG00000007569.1	K23730
OFRAG00000007571.1	K22991
OFRAG00000007573.1	K03130
OFRAG00000007576.2	K09525
OFRAG00000007579.1	K21844
OFRAG00000007580.1	K11855
OFRAG00000007581.1	K05294
OFRAG00000007584.1	K13719
OFRAG00000007589.1	K00803
OFRAG00000007590.1	K02726
OFRAG00000007591.1	K02214
OFRAG00000007593.1	K20304
OFRAG00000007596.1	K07583
OFRAG00000007597.1	K24496
OFRAG00000007599.1	K09399
OFRAG00000007600.1	K12391
OFRAG00000007602.1	K12180
OFRAG00000007603.1	K17079
OFRAG00000007605.1	K01262
OFRAG00000007610.1	K10733
OFRAG00000007620.1	K23308
OFRAG00000007621.1	K07513
OFRAG00000007622.1	K25788
OFRAG00000007623.1	K03424
OFRAG00000007625.1	K09324
OFRAG00000007626.1	K10402
OFRAG00000007627.1	K04794
OFRAG00000007630.1	K01992
OFRAG00000007632.1	K01873
OFRAG00000007633.1	K02950
OFRAG00000007638.1	K15146
OFRAG00000007639.1	K22856
OFRAG00000007640.1	K15627
OFRAG00000007644.1	K17338
OFRAG00000007651.1	K02040
OFRAG00000007658.1	K03434
OFRAG00000007659.1	K14822
OFRAG00000007660.1	K11308
OFRAG00000007661.1	K01992
OFRAG00000007664.1	K20126
OFRAG00000007669.1	K22611
OFRAG00000007677.1	K14565
OFRAG00000007679.1	K12662
OFRAG00000007681.1	K14683
OFRAG00000007686.1	K15025
OFRAG00000007688.1	K21870
OFRAG00000007690.1	K21870
OFRAG00000007693.1	K21848
OFRAG00000007694.1	K11663
OFRAG00000007695.1	K05127
OFRAG00000007703.1	K06689
OFRAG00000007706.1	K11143
OFRAG00000007711.1	K00858
OFRAG00000007712.1	K26106
OFRAG00000007713.1	K13130
OFRAG00000007714.1	K24800
OFRAG00000007718.2	K20251
OFRAG00000007719.1	K20195
OFRAG00000007720.1	K15137
OFRAG00000007721.1	K17508
OFRAG00000007722.1	K12481
OFRAG00000007723.1	K13139
OFRAG00000007727.1	K10380
OFRAG00000007728.1	K09530
OFRAG00000007729.1	K12859
OFRAG00000007730.1	K02835
OFRAG00000007731.1	K04079
OFRAG00000007732.1	K07767
OFRAG00000007744.1	K01135
OFRAG00000007746.1	K16892
OFRAG00000007746.1	K01992
OFRAG00000007748.1	K01047
OFRAG00000007757.1	K15336
OFRAG00000007760.1	K17266
OFRAG00000007772.1	K01915
OFRAG00000007773.1	K15620
OFRAG00000007775.1	K24123
OFRAG00000007787.1	K03010
OFRAG00000007794.1	K00616
OFRAG00000007801.1	K22384
OFRAG00000007802.1	K15447
OFRAG00000007816.1	K00029
OFRAG00000007822.1	K19671
OFRAG00000007826.1	K00228
OFRAG00000007828.1	K00901
OFRAG00000007830.1	K00288
OFRAG00000007830.1	K01938
OFRAG00000007839.1	K18406
OFRAG00000007840.1	K15111
OFRAG00000007841.1	K04567
OFRAG00000007858.1	K17575
OFRAG00000007864.1	K01061
OFRAG00000007865.1	K01061
OFRAG00000007866.1	K13117
OFRAG00000007867.1	K17043
OFRAG00000007871.1	K00852
OFRAG00000007872.1	K24734
OFRAG00000007876.1	K00948
OFRAG00000007878.1	K20164
OFRAG00000007879.1	K01011
OFRAG00000007884.1	K03504
OFRAG00000007888.1	K20396
OFRAG00000007895.1	K22128
OFRAG00000007895.1	K01992
OFRAG00000007896.1	K17302
OFRAG00000007897.1	K23902
OFRAG00000007900.1	K11097
OFRAG00000007902.1	K22864
OFRAG00000007903.1	K04565
OFRAG00000007904.1	K20095
OFRAG00000007904.1	K24758
OFRAG00000007906.1	K03676
OFRAG00000007907.1	K01027
OFRAG00000007907.1	K01028
OFRAG00000007913.1	K16742
OFRAG00000007914.1	K16591
OFRAG00000007916.1	K09269
OFRAG00000007919.1	K16911
OFRAG00000007924.1	K23437
OFRAG00000007927.1	K21988
OFRAG00000007929.2	K05700
OFRAG00000007930.1	K05662
OFRAG00000007930.1	K01992
OFRAG00000007931.1	K18123
OFRAG00000007935.1	K02431
OFRAG00000007938.1	K24174
OFRAG00000007940.1	K08829
OFRAG00000007943.1	K23289
OFRAG00000007948.1	K22808
OFRAG00000007956.1	K02264
OFRAG00000007959.1	K17197
OFRAG00000007963.1	K03163
OFRAG00000007964.1	K13758
OFRAG00000007966.1	K08597
OFRAG00000007967.1	K03372
OFRAG00000007969.1	K08469
OFRAG00000007980.1	K14634
OFRAG00000007981.1	K09403
OFRAG00000008008.1	K08266
OFRAG00000008009.2	K04555
OFRAG00000008010.1	K14717
OFRAG00000008010.1	K07238
OFRAG00000008013.1	K19765
OFRAG00000008016.1	K20403
OFRAG00000008017.1	K14648
OFRAG00000008018.2	K20409
OFRAG00000008019.1	K05687
OFRAG00000008019.1	K03152
OFRAG00000008022.1	K06093
OFRAG00000008022.1	K01992
OFRAG00000008029.1	K09267
OFRAG00000008032.1	K09660
OFRAG00000008034.2	K14308
OFRAG00000008035.1	K01992
OFRAG00000008036.1	K23544
OFRAG00000008038.1	K18178
OFRAG00000008039.1	K20316
OFRAG00000008043.1	K00901
OFRAG00000008044.1	K02503
OFRAG00000008053.1	K18461
OFRAG00000008055.1	K01265
OFRAG00000008056.1	K14415
OFRAG00000008057.1	K11529
OFRAG00000008058.1	K02973
OFRAG00000008059.1	K03495
OFRAG00000008067.1	K25112
OFRAG00000008072.1	K18588
OFRAG00000008076.1	K01745
OFRAG00000008080.1	K04149
OFRAG00000008084.1	K10738
OFRAG00000008086.1	K20031
OFRAG00000008087.1	K12182
OFRAG00000008088.1	K14708
OFRAG00000008088.1	K01992
OFRAG00000008105.1	K10251
OFRAG00000008106.1	K10251
OFRAG00000008108.1	K19612
OFRAG00000008110.1	K15192
OFRAG00000008111.1	K17705
OFRAG00000008122.1	K18754
OFRAG00000008132.1	K11339
OFRAG00000008133.1	K17916
OFRAG00000008136.1	K00227
OFRAG00000008138.1	K20353
OFRAG00000008140.1	K09651
OFRAG00000008142.1	K10862
OFRAG00000008146.1	K02903
OFRAG00000008147.1	K01125
OFRAG00000008148.1	K14590
OFRAG00000008151.1	K14546
OFRAG00000008154.1	K14312
OFRAG00000008164.1	K06691
OFRAG00000008166.1	K02541
OFRAG00000008168.1	K01992
OFRAG00000008180.1	K09493
OFRAG00000008184.1	K20300
OFRAG00000008185.1	K13141
OFRAG00000008186.1	K09881
OFRAG00000008187.1	K13667
OFRAG00000008189.1	K22943
OFRAG00000008190.1	K20363
OFRAG00000008194.1	K02940
OFRAG00000008207.1	K03132
OFRAG00000008209.1	K10424
OFRAG00000008210.1	K22647
OFRAG00000008211.1	K00026
OFRAG00000008212.1	K11414
OFRAG00000008216.1	K23337
OFRAG00000008226.1	K11728
OFRAG00000008227.1	K18466
OFRAG00000008228.1	K17710
OFRAG00000008230.1	K14005
OFRAG00000008239.1	K16453
OFRAG00000008240.1	K00415
OFRAG00000008242.1	K19626
OFRAG00000008254.1	K20798
OFRAG00000008256.1	K02324
OFRAG00000008260.1	K25531
OFRAG00000008263.1	K02320
OFRAG00000008267.1	K10436
OFRAG00000008274.1	K05293
OFRAG00000008275.1	K18468
OFRAG00000008279.1	K21424
OFRAG00000008291.1	K01265
OFRAG00000008297.1	K00616
OFRAG00000008299.1	K24205
OFRAG00000008309.1	K08635
OFRAG00000008311.1	K25720
OFRAG00000008312.1	K11491
OFRAG00000008323.1	K10593
OFRAG00000008324.1	K23741
OFRAG00000008325.1	K18201
OFRAG00000008331.1	K01511
OFRAG00000008335.1	K10745
OFRAG00000008343.1	K13181
OFRAG00000008344.1	K13084
OFRAG00000008347.1	K17785
OFRAG00000008349.1	K17401
OFRAG00000008356.1	K17500
OFRAG00000008358.1	K10570
OFRAG00000008359.1	K15078
OFRAG00000008360.1	K25608
OFRAG00000008361.1	K14301
OFRAG00000008362.1	K14800
OFRAG00000008366.1	K12173
OFRAG00000008367.1	K19751
OFRAG00000008369.1	K14840
OFRAG00000008370.1	K20794
OFRAG00000008371.1	K11155
OFRAG00000008372.1	K23565
OFRAG00000008377.1	K01897
OFRAG00000008378.1	K03537
OFRAG00000008379.1	K01528
OFRAG00000008382.1	K00249
OFRAG00000008383.1	K24195
OFRAG00000008383.1	K01992
OFRAG00000008387.1	K00939
OFRAG00000008391.1	K09360
OFRAG00000008392.1	K04510
OFRAG00000008397.1	K13149
OFRAG00000008398.1	K08880
OFRAG00000008405.1	K08376
OFRAG00000008408.1	K13356
OFRAG00000008413.1	K25204
OFRAG00000008414.1	K16309
OFRAG00000008417.1	K10401
OFRAG00000008420.1	K02970
OFRAG00000008421.1	K10743
OFRAG00000008422.1	K14861
OFRAG00000008427.1	K00626
OFRAG00000008432.1	K12620
OFRAG00000008433.1	K02147
OFRAG00000008437.1	K21398
OFRAG00000008439.1	K08155
OFRAG00000008439.1	K01992
OFRAG00000008448.1	K13109
OFRAG00000008450.1	K01872
OFRAG00000008455.1	K14353
OFRAG00000008455.1	K01992
OFRAG00000008457.1	K08957
OFRAG00000008464.1	K01887
OFRAG00000008469.1	K15377
OFRAG00000008470.1	K14298
OFRAG00000008471.1	K21870
OFRAG00000008472.1	K12231
OFRAG00000008474.1	K14688
OFRAG00000008482.1	K14479
OFRAG00000008498.1	K01852
OFRAG00000008499.1	K12351
OFRAG00000008500.1	K12172
OFRAG00000008501.1	K19656
OFRAG00000008502.1	K13152
OFRAG00000008503.1	K14572
OFRAG00000008505.1	K14572
OFRAG00000008507.1	K14572
OFRAG00000008509.1	K11885
OFRAG00000008510.1	K13128
OFRAG00000008514.1	K15113
OFRAG00000008515.2	K07912
OFRAG00000008517.1	K10761
OFRAG00000008521.1	K19996
OFRAG00000008526.1	K01992
OFRAG00000008527.1	K11791
OFRAG00000008530.1	K12598
OFRAG00000008535.1	K18752
OFRAG00000008538.1	K16483
OFRAG00000008547.1	K15200
OFRAG00000008552.1	K06171
OFRAG00000008554.1	K03030
OFRAG00000008557.1	K06171
OFRAG00000008560.1	K21032
OFRAG00000008562.1	K03868
OFRAG00000008566.1	K00012
OFRAG00000008567.1	K00940
OFRAG00000008568.1	K00868
OFRAG00000008584.1	K09103
OFRAG00000008586.1	K25471
OFRAG00000008588.1	K23404
OFRAG00000008588.1	K01992
OFRAG00000008589.2	K17405
OFRAG00000008590.1	K01411
OFRAG00000008599.1	K13128
OFRAG00000008600.1	K12303
OFRAG00000008601.2	K24762
OFRAG00000008603.1	K10756
OFRAG00000008606.3	K15167
OFRAG00000008611.1	K00901
OFRAG00000008613.1	K00031
OFRAG00000008614.1	K13917
OFRAG00000008617.1	K10779
OFRAG00000008618.1	K07407
OFRAG00000008619.1	K03341
OFRAG00000008621.1	K23437
OFRAG00000008622.1	K03021
OFRAG00000008624.1	K02214
OFRAG00000008625.1	K12667
OFRAG00000008626.1	K12839
OFRAG00000008632.1	K21988
OFRAG00000008637.1	K10293
OFRAG00000008642.1	K01613
OFRAG00000008643.1	K13528
OFRAG00000008647.1	K09368
OFRAG00000008649.1	K06627
OFRAG00000008650.1	K11323
OFRAG00000008651.1	K23543
OFRAG00000008652.1	K11594
OFRAG00000008653.1	K02938
OFRAG00000008654.1	K00552
OFRAG00000008655.1	K08863
OFRAG00000008656.1	K00286
OFRAG00000008657.1	K22651
OFRAG00000008658.1	K02937
OFRAG00000008659.1	K13517
OFRAG00000008660.1	K13104
OFRAG00000008661.1	K18995
OFRAG00000008662.1	K02885
OFRAG00000008664.1	K09497
OFRAG00000008667.1	K07252
OFRAG00000008669.1	K18025
OFRAG00000008673.1	K10408
OFRAG00000008676.1	K16673
OFRAG00000008679.1	K05038
OFRAG00000008697.1	K00387
OFRAG00000008702.1	K04599
OFRAG00000008704.1	K12472
OFRAG00000008710.1	K23863
OFRAG00000008711.1	K00456
OFRAG00000008713.1	K17601
OFRAG00000008716.1	K17436
OFRAG00000008717.1	K12386
OFRAG00000008718.1	K08059
OFRAG00000008719.1	K01557
OFRAG00000008720.1	K01557
OFRAG00000008723.1	K17424
OFRAG00000008727.1	K01057
OFRAG00000008728.1	K07511
OFRAG00000008728.1	K01692
OFRAG00000008734.1	K20407
OFRAG00000008736.1	K12812
OFRAG00000008741.1	K01698
OFRAG00000008742.1	K22383
OFRAG00000008743.1	K17777
OFRAG00000008744.1	K15902
OFRAG00000008745.1	K14772
OFRAG00000008746.1	K01135
OFRAG00000008751.1	K16174
OFRAG00000008753.1	K17552
OFRAG00000008755.1	K14163
