#Host
nbis-mrna-10864	K22182
nbis-mrna-6362	K09207
nbis-mrna-6361	K17834
nbis-mrna-6360	K17834
nbis-mrna-3822	K17277
nbis-mrna-19336	K17277
nbis-mrna-10942	K13814
nbis-mrna-20834	K20051
nbis-mrna-20829	K16541
nbis-mrna-20830	K24242
nbis-mrna-20828	K06053
nbis-mrna-20827	K01309
nbis-mrna-20822	K03331
nbis-mrna-20821	K03331
nbis-mrna-22544	K17545
nbis-mrna-22545	K11251
nbis-mrna-22542	K14306
nbis-mrna-22541	K11824
nbis-mrna-22539	K16184
nbis-mrna-4956	K08821
nbis-mrna-21561	K08776
nbis-mrna-21562	K17551
nbis-mrna-21563	K24254
nbis-mrna-21565	K24254
nbis-mrna-21566	K04699
nbis-mrna-21567	K11981
nbis-mrna-21569	K13755
nbis-mrna-17841	K19626
nbis-mrna-17841	K06867
nbis-mrna-17839	K05750
nbis-mrna-17840	K05750
nbis-mrna-17837	K14611
nbis-mrna-17828	K13960
nbis-mrna-17827	K23858
nbis-mrna-17821	K02947
nbis-mrna-17824	K10085
nbis-mrna-930	K14398
nbis-mrna-10016	K19401
nbis-mrna-10018	K04555
nbis-mrna-10019	K03846
nbis-mrna-10017	K09577
nbis-mrna-10017	K01802
nbis-mrna-10020	K20465
nbis-mrna-10022	K20123
nbis-mrna-17651	K08266
nbis-mrna-5731	K24756
nbis-mrna-5730	K12624
nbis-mrna-6627	K15626
nbis-mrna-19005	K23296
nbis-mrna-19006	K24786
nbis-mrna-19009	K19612
nbis-mrna-19010	K16833
nbis-mrna-19011	K14403
nbis-mrna-4713	K00907
nbis-mrna-12987	K16831
nbis-mrna-12983	K00744
nbis-mrna-8439	K11831
nbis-mrna-8440	K01251
nbis-mrna-8442	K09191
nbis-mrna-8446	K11279
nbis-mrna-8457	K09680
nbis-mrna-8456	K01183
nbis-mrna-8458	K14709
nbis-mrna-21978	K01079
nbis-mrna-21980	K22037
nbis-mrna-21982	K22037
nbis-mrna-5386	K09492
nbis-mrna-22160	K00710
nbis-mrna-11323	K17080
nbis-mrna-11324	K11090
nbis-mrna-11327	K03164
nbis-mrna-11328	K24125
nbis-mrna-11331	K03350
nbis-mrna-11330	K23731
nbis-mrna-22079	K24890
nbis-mrna-22080	K24254
nbis-mrna-22083	K19372
nbis-mrna-22082	K19370
nbis-mrna-5171	K11434
nbis-mrna-12259	K12896
nbis-mrna-12261	K12896
nbis-mrna-19358	K23222
nbis-mrna-3353	K01593
nbis-mrna-3354	K01593
nbis-mrna-5705	K01593
nbis-mrna-5710	K20371
nbis-mrna-5709	K22565
nbis-mrna-5713	K24226
nbis-mrna-1426	K19219
nbis-mrna-22513	K04564
nbis-mrna-22511	K19219
nbis-mrna-22514	K25877
nbis-mrna-16605	K00753
nbis-mrna-1232	K24651
nbis-mrna-1231	K15379
nbis-mrna-1231	K15378
nbis-mrna-1229	K06172
nbis-mrna-1230	K20778
nbis-mrna-3338	K11413
nbis-mrna-3337	K03068
nbis-mrna-3334	K20279
nbis-mrna-3333	K12310
nbis-mrna-3332	K17266
nbis-mrna-3327	K10886
nbis-mrna-3326	K17199
nbis-mrna-1078	K10405
nbis-mrna-1080	K15338
nbis-mrna-1082	K13937
nbis-mrna-1082	K01057
nbis-mrna-20756	K05906
nbis-mrna-20758	K10522
nbis-mrna-10915	K03111
nbis-mrna-10917	K07055
nbis-mrna-19419	K19750
nbis-mrna-19420	K02148
nbis-mrna-4178	K20177
nbis-mrna-4177	K03094
nbis-mrna-20373	K01135
nbis-mrna-8777	K02327
nbis-mrna-2524	K11323
nbis-mrna-5192	K00787
nbis-mrna-571	K02953
nbis-mrna-572	K13356
nbis-mrna-1693	K13356
nbis-mrna-1695	K15198
nbis-mrna-22609	K02159
nbis-mrna-22610	K18061
nbis-mrna-22612	K19730
nbis-mrna-22613	K22765
nbis-mrna-22614	K24768
nbis-mrna-22618	K22991
nbis-mrna-2554	K09668
nbis-mrna-2555	K09668
nbis-mrna-9656	K10899
nbis-mrna-9655	K09516
nbis-mrna-1091	K02918
nbis-mrna-20926	K18575
nbis-mrna-20927	K03135
nbis-mrna-9911	K00432
nbis-mrna-5347	K14550
nbis-mrna-2317	K17533
nbis-mrna-2319	K02949
nbis-mrna-17078	K13676
nbis-mrna-17077	K19752
nbis-mrna-4911	K08730
nbis-mrna-13016	K00826
nbis-mrna-583	K00306
nbis-mrna-583	K14292
nbis-mrna-21312	K03260
nbis-mrna-21310	K09269
nbis-mrna-21309	K14292
nbis-mrna-11210	K00306
nbis-mrna-11210	K14292
nbis-mrna-11203	K13368
nbis-mrna-11203	K00019
nbis-mrna-11201	K23570
nbis-mrna-11198	K19528
nbis-mrna-11197	K15030
nbis-mrna-11196	K22375
nbis-mrna-11195	K01883
nbis-mrna-11194	K00111
nbis-mrna-3395	K14293
nbis-mrna-4908	K18763
nbis-mrna-21725	K12567
nbis-mrna-13473	K19307
nbis-mrna-13475	K18040
nbis-mrna-22293	K24048
nbis-mrna-8217	K24734
nbis-mrna-8215	K10249
nbis-mrna-13104	K03939
nbis-mrna-22509	K23336
nbis-mrna-22508	K18328
nbis-mrna-22510	K18066
nbis-mrna-17514	K04564
nbis-mrna-17515	K04564
nbis-mrna-20779	K10758
nbis-mrna-20778	K10758
nbis-mrna-20773	K04564
nbis-mrna-20048	K04564
nbis-mrna-651	K01064
nbis-mrna-20237	K19986
nbis-mrna-10318	K19986
nbis-mrna-10316	K15216
nbis-mrna-15160	K22371
nbis-mrna-2680	K06677
nbis-mrna-9546	K06677
nbis-mrna-9545	K14316
nbis-mrna-4599	K14156
nbis-mrna-19111	K14539
nbis-mrna-21158	K14539
nbis-mrna-21156	K15544
nbis-mrna-21157	K15542
nbis-mrna-20544	K00297
nbis-mrna-20541	K23732
nbis-mrna-19074	K03263
nbis-mrna-19076	K03260
nbis-mrna-5956	K11858
nbis-mrna-12517	K17302
nbis-mrna-12516	K22764
nbis-mrna-12518	K00830
nbis-mrna-10059	K24637
nbis-mrna-6103	K24333
nbis-mrna-14973	K16457
nbis-mrna-14970	K12391
nbis-mrna-14966	K07071
nbis-mrna-3598	K08653
nbis-mrna-3600	K13118
nbis-mrna-1439	K02358
nbis-mrna-3047	K25549
nbis-mrna-3049	K01992
nbis-mrna-3362	K12670
nbis-mrna-15708	K16550
nbis-mrna-7092	K01070
nbis-mrna-7089	K16543
nbis-mrna-7088	K05289
nbis-mrna-7086	K03961
nbis-mrna-7080	K05756
nbis-mrna-7079	K07466
nbis-mrna-7076	K07466
nbis-mrna-17366	K24816
nbis-mrna-17365	K00827
nbis-mrna-17364	K22938
nbis-mrna-17361	K00815
nbis-mrna-17358	K23293
nbis-mrna-17356	K10419
nbis-mrna-17357	K11519
nbis-mrna-5933	K15117
nbis-mrna-20723	K19464
nbis-mrna-11475	K00727
nbis-mrna-11473	K13249
nbis-mrna-20650	K13249
nbis-mrna-20651	K13249
nbis-mrna-8093	K24931
nbis-mrna-8092	K18399
nbis-mrna-13610	K10704
nbis-mrna-14139	K25826
nbis-mrna-11634	K18643
nbis-mrna-11635	K12197
nbis-mrna-11631	K07375
nbis-mrna-11629	K01217
nbis-mrna-11724	K03341
nbis-mrna-11723	K02146
nbis-mrna-11722	K01251
nbis-mrna-11720	K01251
nbis-mrna-11718	K16603
nbis-mrna-18846	K01889
nbis-mrna-18844	K17197
nbis-mrna-18843	K20210
nbis-mrna-18838	K14401
nbis-mrna-4410	K14401
nbis-mrna-4404	K00858
nbis-mrna-4402	K15348
nbis-mrna-4400	K09090
nbis-mrna-4398	K09090
nbis-mrna-3230	K10798
nbis-mrna-3231	K17433
nbis-mrna-6532	K10427
nbis-mrna-2814	K01530
nbis-mrna-4285	K01197
nbis-mrna-10716	K21596
nbis-mrna-10718	K08601
nbis-mrna-10714	K17623
nbis-mrna-10715	K17623
nbis-mrna-7114	K25931
nbis-mrna-7117	K07478
nbis-mrna-7118	K11087
nbis-mrna-7119	K03097
nbis-mrna-7121	K25470
nbis-mrna-7127	K17401
nbis-mrna-7126	K13717
nbis-mrna-7131	K24688
nbis-mrna-7130	K15190
nbis-mrna-2536	K03061
nbis-mrna-2538	K05706
nbis-mrna-2540	K09219
nbis-mrna-2541	K01273
nbis-mrna-2829	K09791
nbis-mrna-2830	K01273
nbis-mrna-2831	K01273
nbis-mrna-14649	K04708
nbis-mrna-14643	K00653
nbis-mrna-14644	K13239
nbis-mrna-13248	K08851
nbis-mrna-13249	K24419
nbis-mrna-19717	K24419
nbis-mrna-19711	K02263
nbis-mrna-19712	K20318
nbis-mrna-19710	K18468
nbis-mrna-19708	K24738
nbis-mrna-11837	K24738
nbis-mrna-8998	K16194
nbis-mrna-8996	K01672
nbis-mrna-1862	K01672
nbis-mrna-1863	K01672
nbis-mrna-1866	K00254
nbis-mrna-1865	K08009
nbis-mrna-1869	K02098
nbis-mrna-18321	K19765
nbis-mrna-18319	K25949
nbis-mrna-18315	K16478
nbis-mrna-18313	K03861
nbis-mrna-18312	K13343
nbis-mrna-7689	K01992
nbis-mrna-7692	K23600
nbis-mrna-7693	K13515
nbis-mrna-5417	K13135
nbis-mrna-5419	K01596
nbis-mrna-5421	K15279
nbis-mrna-5421	K01992
nbis-mrna-15490	K23223
nbis-mrna-3658	K17570
nbis-mrna-9500	K04554
nbis-mrna-9499	K08333
nbis-mrna-9497	K06158
nbis-mrna-9497	K01992
nbis-mrna-9496	K11323
nbis-mrna-9492	K13340
nbis-mrna-9491	K11514
nbis-mrna-9489	K24812
nbis-mrna-9490	K09228
nbis-mrna-9490	K09191
nbis-mrna-9487	K12180
nbis-mrna-16883	K12180
nbis-mrna-16884	K00134
nbis-mrna-16881	K21797
nbis-mrna-2453	K04506
nbis-mrna-2449	K06093
nbis-mrna-2451	K05543
nbis-mrna-2450	K08957
nbis-mrna-2448	K15623
nbis-mrna-2441	K18758
nbis-mrna-2438	K15259
nbis-mrna-2436	K13145
nbis-mrna-2435	K17932
nbis-mrna-2430	K25743
nbis-mrna-2427	K01810
nbis-mrna-2426	K18207
nbis-mrna-20059	K03979
nbis-mrna-20056	K20656
nbis-mrna-13175	K19952
nbis-mrna-13174	K03965
nbis-mrna-13176	K14396
nbis-mrna-13177	K20372
nbis-mrna-13178	K10298
nbis-mrna-18802	K13148
nbis-mrna-18801	K07152
nbis-mrna-12686	K02516
nbis-mrna-12685	K00565
nbis-mrna-15379	K25812
nbis-mrna-15382	K12035
nbis-mrna-9209	K09536
nbis-mrna-9208	K10776
nbis-mrna-19542	K05293
nbis-mrna-19540	K10406
nbis-mrna-19534	K08827
nbis-mrna-17456	K02607
nbis-mrna-17455	K06249
nbis-mrna-17455	K09585
nbis-mrna-17453	K16759
nbis-mrna-17452	K09399
nbis-mrna-17451	K08341
nbis-mrna-17449	K13106
nbis-mrna-17450	K07126
nbis-mrna-11377	K00411
nbis-mrna-11379	K25226
nbis-mrna-11380	K03264
nbis-mrna-11381	K09191
nbis-mrna-11382	K15175
nbis-mrna-11383	K04532
nbis-mrna-11384	K09191
nbis-mrna-11385	K09191
nbis-mrna-11386	K06671
nbis-mrna-11389	K03217
nbis-mrna-11392	K02875
nbis-mrna-11391	K02608
nbis-mrna-11395	K02887
nbis-mrna-11394	K24027
nbis-mrna-11404	K24634
nbis-mrna-2682	K11153
nbis-mrna-2682	K19329
nbis-mrna-2682	K00059
nbis-mrna-2681	K14404
nbis-mrna-8433	K03238
nbis-mrna-8432	K09257
nbis-mrna-11678	K09257
nbis-mrna-11678	K06867
nbis-mrna-12370	K04681
nbis-mrna-12368	K16782
nbis-mrna-12369	K14299
nbis-mrna-12364	K10582
nbis-mrna-12365	K05284
nbis-mrna-12358	K02237
nbis-mrna-2475	K14548
nbis-mrna-2477	K17796
nbis-mrna-2479	K19362
nbis-mrna-741	K25129
nbis-mrna-10229	K05687
nbis-mrna-10229	K03152
nbis-mrna-19801	K11086
nbis-mrna-19802	K11341
nbis-mrna-19805	K14050
nbis-mrna-19804	K17619
nbis-mrna-19811	K10277
nbis-mrna-19809	K10898
nbis-mrna-19810	K00721
nbis-mrna-443	K11504
nbis-mrna-441	K15732
nbis-mrna-204	K01092
nbis-mrna-205	K09552
nbis-mrna-206	K21436
nbis-mrna-206	K06867
nbis-mrna-207	K19476
nbis-mrna-208	K18266
nbis-mrna-9427	K08076
nbis-mrna-13322	K11113
nbis-mrna-13323	K22282
nbis-mrna-13324	K06530
nbis-mrna-13329	K24725
nbis-mrna-13330	K01081
nbis-mrna-13333	K00759
nbis-mrna-14197	K01409
nbis-mrna-19841	K14951
nbis-mrna-19841	K13526
nbis-mrna-19840	K17784
nbis-mrna-19839	K23362
nbis-mrna-19836	K12593
nbis-mrna-19834	K14824
nbis-mrna-19833	K08076
nbis-mrna-19832	K08076
nbis-mrna-19831	K08076
nbis-mrna-19830	K08076
nbis-mrna-4776	K08076
nbis-mrna-4778	K08076
nbis-mrna-19300	K08811
nbis-mrna-19303	K23569
nbis-mrna-19308	K17966
nbis-mrna-19307	K03011
nbis-mrna-19305	K15559
nbis-mrna-19309	K11109
nbis-mrna-19315	K21439
nbis-mrna-19316	K15264
nbis-mrna-19317	K03845
nbis-mrna-19319	K18953
nbis-mrna-19320	K11368
nbis-mrna-19322	K25791
nbis-mrna-19323	K00387
nbis-mrna-19326	K10908
nbis-mrna-19329	K02353
nbis-mrna-19330	K10645
nbis-mrna-10913	K20726
nbis-mrna-10910	K09228
nbis-mrna-10910	K09191
nbis-mrna-10911	K09191
nbis-mrna-10912	K09228
nbis-mrna-10912	K09191
nbis-mrna-11862	K17500
nbis-mrna-11863	K11787
nbis-mrna-11863	K01945
nbis-mrna-11863	K01933
nbis-mrna-11858	K00033
nbis-mrna-1873	K02449
nbis-mrna-13435	K12373
nbis-mrna-17150	K09531
nbis-mrna-17156	K01992
nbis-mrna-16750	K00323
nbis-mrna-16750	K00324
nbis-mrna-16751	K00031
nbis-mrna-16746	K08076
nbis-mrna-13116	K01992
nbis-mrna-13112	K11089
nbis-mrna-13113	K05688
nbis-mrna-13110	K11089
nbis-mrna-13109	K15284
nbis-mrna-13111	K10597
nbis-mrna-11053	K10798
nbis-mrna-11056	K10365
nbis-mrna-11059	K00797
nbis-mrna-11064	K24727
nbis-mrna-11065	K23739
nbis-mrna-5664	K24419
nbis-mrna-9008	K24419
nbis-mrna-21475	K24419
nbis-mrna-21474	K24419
nbis-mrna-21472	K24419
nbis-mrna-21469	K24419
nbis-mrna-21468	K11438
nbis-mrna-21467	K01597
nbis-mrna-21464	K09228
nbis-mrna-21464	K09191
nbis-mrna-21462	K22746
nbis-mrna-21461	K16812
nbis-mrna-21458	K12668
nbis-mrna-21459	K02310
nbis-mrna-21450	K10317
nbis-mrna-21452	K23543
nbis-mrna-21453	K09405
nbis-mrna-21451	K12861
nbis-mrna-17060	K07216
nbis-mrna-21424	K15695
nbis-mrna-21427	K20120
nbis-mrna-21429	K07216
nbis-mrna-21430	K07216
nbis-mrna-21433	K07216
nbis-mrna-21434	K07216
nbis-mrna-21435	K22857
nbis-mrna-21440	K10888
nbis-mrna-21442	K24808
nbis-mrna-21447	K03142
nbis-mrna-18054	K10727
nbis-mrna-18056	K11841
nbis-mrna-2653	K24037
nbis-mrna-2654	K17637
nbis-mrna-2655	K03213
nbis-mrna-4299	K16458
nbis-mrna-4298	K02311
nbis-mrna-10090	K17432
nbis-mrna-10094	K12591
nbis-mrna-13263	K21595
nbis-mrna-13258	K09191
nbis-mrna-1292	K09219
nbis-mrna-1291	K08568
nbis-mrna-15256	K20175
nbis-mrna-15259	K17595
nbis-mrna-15257	K19942
nbis-mrna-15258	K10637
nbis-mrna-14885	K02437
nbis-mrna-14889	K23800
nbis-mrna-14890	K00922
nbis-mrna-14892	K12307
nbis-mrna-14893	K07096
nbis-mrna-14896	K07096
nbis-mrna-14897	K02738
nbis-mrna-14895	K01489
nbis-mrna-1119	K13299
nbis-mrna-1116	K18665
nbis-mrna-1115	K09191
nbis-mrna-22639	K20493
nbis-mrna-22638	K23345
nbis-mrna-22636	K18587
nbis-mrna-22637	K13123
nbis-mrna-22635	K00272
nbis-mrna-22635	K00273
nbis-mrna-22634	K00272
nbis-mrna-22634	K00273
nbis-mrna-22632	K00272
nbis-mrna-22632	K00273
nbis-mrna-22630	K10685
nbis-mrna-22631	K16587
nbis-mrna-22627	K11876
nbis-mrna-22626	K08489
nbis-mrna-22622	K25742
nbis-mrna-21760	K09567
nbis-mrna-21760	K03768
nbis-mrna-21753	K16353
nbis-mrna-21752	K15684
nbis-mrna-21751	K01148
nbis-mrna-21748	K01227
nbis-mrna-19035	K06255
nbis-mrna-10685	K21403
nbis-mrna-10686	K00294
nbis-mrna-8832	K12275
nbis-mrna-8830	K20351
nbis-mrna-8835	K00587
nbis-mrna-8835	K01992
nbis-mrna-8837	K25703
nbis-mrna-8841	K25817
nbis-mrna-8839	K22399
nbis-mrna-8840	K11723
nbis-mrna-8842	K20069
nbis-mrna-8843	K07565
nbis-mrna-8845	K19501
nbis-mrna-8848	K03372
nbis-mrna-8846	K03038
nbis-mrna-8847	K13236
nbis-mrna-8849	K01537
nbis-mrna-1757	K17834
nbis-mrna-7062	K12194
nbis-mrna-7060	K00231
nbis-mrna-21275	K13510
nbis-mrna-21274	K23314
nbis-mrna-21271	K14309
nbis-mrna-21270	K16742
nbis-mrna-21269	K20050
nbis-mrna-21267	K11375
nbis-mrna-6354	K20291
nbis-mrna-6353	K11376
nbis-mrna-6355	K20128
nbis-mrna-16100	K15305
nbis-mrna-16101	K24889
nbis-mrna-16104	K24889
nbis-mrna-6221	K24889
nbis-mrna-9359	K03190
nbis-mrna-9360	K01803
nbis-mrna-9361	K10343
nbis-mrna-9362	K09191
nbis-mrna-9369	K10089
nbis-mrna-9368	K08341
nbis-mrna-9373	K04657
nbis-mrna-9372	K23480
nbis-mrna-9372	K09191
nbis-mrna-9376	K15111
nbis-mrna-158	K20300
nbis-mrna-162	K05925
nbis-mrna-161	K12196
nbis-mrna-4292	K23902
nbis-mrna-4294	K12196
nbis-mrna-13498	K01128
nbis-mrna-13497	K12815
nbis-mrna-7284	K16944
nbis-mrna-7282	K11323
nbis-mrna-7283	K18730
nbis-mrna-7280	K13346
nbis-mrna-7279	K11799
nbis-mrna-8185	K09396
nbis-mrna-8186	K09405
nbis-mrna-8187	K01711
nbis-mrna-2917	K08869
nbis-mrna-20805	K08568
nbis-mrna-13320	K23215
nbis-mrna-15517	K00953
nbis-mrna-15516	K14688
nbis-mrna-15510	K01855
nbis-mrna-15510	K06173
nbis-mrna-15509	K14864
nbis-mrna-15508	K03188
nbis-mrna-3849	K13091
nbis-mrna-3851	K03131
nbis-mrna-3850	K01942
nbis-mrna-3852	K01890
nbis-mrna-3852	K14634
nbis-mrna-14857	K13121
nbis-mrna-17075	K03936
nbis-mrna-17072	K25757
nbis-mrna-17069	K09410
nbis-mrna-17068	K04487
nbis-mrna-16615	K04487
nbis-mrna-9141	K07847
nbis-mrna-226	K01102
nbis-mrna-225	K06972
nbis-mrna-224	K14790
nbis-mrna-223	K08956
nbis-mrna-220	K24970
nbis-mrna-222	K02834
nbis-mrna-217	K02731
nbis-mrna-8921	K20409
nbis-mrna-8925	K23332
nbis-mrna-8927	K13202
nbis-mrna-4452	K08802
nbis-mrna-4451	K23195
nbis-mrna-4451	K09191
nbis-mrna-20761	K00682
nbis-mrna-20765	K01887
nbis-mrna-20763	K10842
nbis-mrna-20764	K15429
nbis-mrna-8277	K20029
nbis-mrna-8276	K12589
nbis-mrna-8280	K00413
nbis-mrna-8281	K22806
nbis-mrna-19295	K22806
nbis-mrna-19294	K12616
nbis-mrna-16155	K12616
nbis-mrna-16156	K06129
nbis-mrna-3463	K06626
nbis-mrna-3462	K06971
nbis-mrna-3465	K01869
nbis-mrna-3464	K02873
nbis-mrna-359	K18592
nbis-mrna-363	K13868
nbis-mrna-11121	K17079
nbis-mrna-11119	K13342
nbis-mrna-11120	K13758
nbis-mrna-11116	K17428
nbis-mrna-11118	K17081
nbis-mrna-11112	K22037
nbis-mrna-1562	K18655
nbis-mrna-20684	K13289
nbis-mrna-14832	K13289
nbis-mrna-14833	K17335
nbis-mrna-9996	K11506
nbis-mrna-10001	K21415
nbis-mrna-9998	K14530
nbis-mrna-10000	K23565
nbis-mrna-9997	K14765
nbis-mrna-9999	K24757
nbis-mrna-20585	K10661
nbis-mrna-1908	K03129
nbis-mrna-1905	K18749
nbis-mrna-1906	K11089
nbis-mrna-1907	K11089
nbis-mrna-7035	K11089
nbis-mrna-7034	K11089
nbis-mrna-7036	K11089
nbis-mrna-7039	K01135
nbis-mrna-7044	K22860
nbis-mrna-7043	K03515
nbis-mrna-7047	K03857
nbis-mrna-884	K14844
nbis-mrna-885	K08342
nbis-mrna-886	K06662
nbis-mrna-883	K25639
nbis-mrna-16276	K20301
nbis-mrna-16275	K03163
nbis-mrna-2504	K01013
nbis-mrna-2505	K01013
nbis-mrna-2506	K16475
nbis-mrna-3065	K20493
nbis-mrna-3064	K20305
nbis-mrna-6959	K08852
nbis-mrna-21646	K03783
nbis-mrna-21645	K03783
nbis-mrna-705	K03943
nbis-mrna-705	K00334
nbis-mrna-706	K00364
nbis-mrna-707	K22128
nbis-mrna-18638	K22128
nbis-mrna-19590	K01951
nbis-mrna-19591	K17550
nbis-mrna-19595	K20880
nbis-mrna-19597	K13728
nbis-mrna-19600	K06664
nbis-mrna-4392	K06875
nbis-mrna-4393	K21626
nbis-mrna-4391	K03514
nbis-mrna-4390	K15424
nbis-mrna-4387	K25216
nbis-mrna-4386	K07293
nbis-mrna-7474	K04393
nbis-mrna-7476	K01793
nbis-mrna-19004	K01689
nbis-mrna-10598	K16777
nbis-mrna-10599	K16777
nbis-mrna-10600	K16777
nbis-mrna-10601	K16777
nbis-mrna-10603	K14429
nbis-mrna-10602	K12831
nbis-mrna-5002	K15622
nbis-mrna-5005	K14455
nbis-mrna-3487	K11883
nbis-mrna-3485	K10185
nbis-mrna-7353	K10185
nbis-mrna-7354	K10734
nbis-mrna-7352	K10636
nbis-mrna-13595	K11796
nbis-mrna-17288	K11796
nbis-mrna-17289	K11997
nbis-mrna-17291	K05929
nbis-mrna-4072	K02040
nbis-mrna-4070	K23800
nbis-mrna-2842	K22544
nbis-mrna-2839	K11251
nbis-mrna-2840	K11252
nbis-mrna-2838	K11253
nbis-mrna-2835	K10739
nbis-mrna-8057	K22544
nbis-mrna-15482	K16532
nbis-mrna-15485	K13084
nbis-mrna-15484	K11826
nbis-mrna-15483	K02891
nbis-mrna-15486	K02737
nbis-mrna-15488	K02212
nbis-mrna-692	K23679
nbis-mrna-17480	K14343
nbis-mrna-17480	K01992
nbis-mrna-17481	K14343
nbis-mrna-17481	K01992
nbis-mrna-17482	K01992
nbis-mrna-17483	K20027
nbis-mrna-4620	K14343
nbis-mrna-4622	K01125
nbis-mrna-6749	K18342
nbis-mrna-6748	K04567
nbis-mrna-18831	K17928
nbis-mrna-18832	K15111
nbis-mrna-14204	K23902
nbis-mrna-14205	K12352
nbis-mrna-16813	K10453
nbis-mrna-16207	K18756
nbis-mrna-16207	K18666
nbis-mrna-16208	K17617
nbis-mrna-16210	K11885
nbis-mrna-16211	K14406
nbis-mrna-16212	K16280
nbis-mrna-16213	K12830
nbis-mrna-5517	K07216
nbis-mrna-5518	K08193
nbis-mrna-17260	K09503
nbis-mrna-17259	K14213
nbis-mrna-20715	K01338
nbis-mrna-20712	K22137
nbis-mrna-20713	K06688
nbis-mrna-20711	K23334
nbis-mrna-4980	K05285
nbis-mrna-4982	K20784
nbis-mrna-4982	K11714
nbis-mrna-4981	K03349
nbis-mrna-276	K17560
nbis-mrna-279	K14835
nbis-mrna-280	K11346
nbis-mrna-282	K17509
nbis-mrna-22403	K03189
nbis-mrna-22405	K01427
nbis-mrna-22405	K01428
nbis-mrna-2307	K13251
nbis-mrna-15794	K00810
nbis-mrna-15794	K02548
nbis-mrna-15794	K01992
nbis-mrna-12092	K09267
nbis-mrna-9049	K01593
nbis-mrna-9048	K13444
nbis-mrna-9051	K11974
nbis-mrna-12668	K13761
nbis-mrna-12671	K19348
nbis-mrna-12673	K24526
nbis-mrna-12675	K23868
nbis-mrna-12674	K14947
nbis-mrna-19777	K13667
nbis-mrna-10926	K07375
nbis-mrna-8387	K14833
nbis-mrna-8388	K01489
nbis-mrna-18113	K01489
nbis-mrna-18117	K23562
nbis-mrna-18118	K14767
nbis-mrna-14536	K15181
nbis-mrna-14537	K08808
nbis-mrna-14538	K13181
nbis-mrna-2604	K11275
nbis-mrna-2603	K11275
nbis-mrna-2602	K04799
nbis-mrna-2605	K17584
nbis-mrna-2607	K11252
nbis-mrna-2609	K21754
nbis-mrna-3562	K24205
nbis-mrna-3562	K01992
nbis-mrna-3563	K01676
nbis-mrna-13280	K05401
nbis-mrna-13279	K05401
nbis-mrna-17423	K05401
nbis-mrna-17571	K24928
nbis-mrna-21990	K10866
nbis-mrna-21992	K05292
nbis-mrna-17395	K25100
nbis-mrna-17396	K21198
nbis-mrna-17399	K09611
nbis-mrna-17398	K07190
nbis-mrna-6697	K06519
nbis-mrna-9073	K15014
nbis-mrna-9072	K14546
nbis-mrna-6211	K11274
nbis-mrna-6213	K00140
nbis-mrna-16809	K11584
nbis-mrna-16807	K00649
nbis-mrna-16806	K22382
nbis-mrna-17643	K22382
nbis-mrna-8707	K20364
nbis-mrna-63	K02355
nbis-mrna-5923	K00288
nbis-mrna-5923	K01938
nbis-mrna-5091	K07199
nbis-mrna-6641	K17569
nbis-mrna-6643	K07112
nbis-mrna-6644	K07112
nbis-mrna-4871	K09569
nbis-mrna-4871	K01802
nbis-mrna-4872	K07440
nbis-mrna-17184	K24888
nbis-mrna-17185	K19027
nbis-mrna-1896	K13619
nbis-mrna-12513	K19027
nbis-mrna-12514	K20872
nbis-mrna-12515	K17834
nbis-mrna-11337	K06091
nbis-mrna-16236	K05746
nbis-mrna-16237	K03109
nbis-mrna-16239	K07583
nbis-mrna-16241	K00222
nbis-mrna-16241	K01992
nbis-mrna-10366	K09649
nbis-mrna-10368	K06100
nbis-mrna-11293	K12619
nbis-mrna-17815	K09191
nbis-mrna-17814	K09228
nbis-mrna-17814	K09191
nbis-mrna-17812	K24990
nbis-mrna-14125	K09228
nbis-mrna-14125	K09191
nbis-mrna-18695	K09228
nbis-mrna-18695	K09191
nbis-mrna-18694	K09228
nbis-mrna-18694	K09191
nbis-mrna-18693	K09228
nbis-mrna-18693	K09191
nbis-mrna-21553	K17655
nbis-mrna-21554	K15276
nbis-mrna-21554	K01992
nbis-mrna-21556	K02730
nbis-mrna-21557	K09553
nbis-mrna-397	K12402
nbis-mrna-398	K04456
nbis-mrna-399	K20101
nbis-mrna-400	K00913
nbis-mrna-401	K16539
nbis-mrna-402	K03355
nbis-mrna-17578	K14527
nbis-mrna-17579	K16196
nbis-mrna-17580	K00717
nbis-mrna-8048	K11863
nbis-mrna-8047	K05954
nbis-mrna-15589	K05765
nbis-mrna-15588	K17601
nbis-mrna-15585	K00670
nbis-mrna-15586	K02963
nbis-mrna-15583	K19757
nbis-mrna-15584	K11655
nbis-mrna-15582	K17889
nbis-mrna-15581	K20057
nbis-mrna-15579	K16914
nbis-mrna-15572	K14832
nbis-mrna-15571	K00688
nbis-mrna-15570	K03233
nbis-mrna-15570	K00799
nbis-mrna-15569	K06268
nbis-mrna-15565	K22072
nbis-mrna-12433	K25689
nbis-mrna-12435	K17260
nbis-mrna-12434	K11964
nbis-mrna-12436	K10413
nbis-mrna-6866	K11979
nbis-mrna-6870	K18408
nbis-mrna-13946	K06070
nbis-mrna-844	K01301
nbis-mrna-845	K13295
nbis-mrna-848	K13278
nbis-mrna-848	K01424
nbis-mrna-848	K06867
nbis-mrna-849	K00654
nbis-mrna-853	K07298
