#Host
RPACG00000000026.1	K12478
RPACG00000008858.1	K13963
RPACG00000008866.1	K24135
RPACG00000008869.1	K08518
RPACG00000008877.2	K00228
RPACG00000008883.1	K16674
RPACG00000008896.1	K14077
RPACG00000008912.1	K02503
RPACG00000008913.1	K20164
RPACG00000008913.1	K06872
RPACG00000008922.1	K21894
RPACG00000008925.1	K19996
RPACG00000008927.1	K23309
RPACG00000008928.1	K20030
RPACG00000008932.1	K22017
RPACG00000008945.1	K24427
RPACG00000008952.2	K11807
RPACG00000008954.1	K11887
RPACG00000008956.1	K14776
RPACG00000008992.1	K06639
RPACG00000009002.1	K05306
RPACG00000009004.1	K26125
RPACG00000009009.1	K26125
RPACG00000009010.1	K21449
RPACG00000009011.1	K06639
RPACG00000009012.1	K18617
RPACG00000009023.1	K10894
RPACG00000009024.1	K09292
RPACG00000009025.1	K25591
RPACG00000009033.1	K24810
RPACG00000009034.1	K06168
RPACG00000009055.1	K24265
RPACG00000009055.1	K09680
RPACG00000009059.1	K00734
RPACG00000009061.1	K00734
RPACG00000009062.1	K13505
RPACG00000009063.1	K17681
RPACG00000009068.1	K05687
RPACG00000009068.1	K03152
RPACG00000009069.2	K00857
RPACG00000009071.1	K16769
RPACG00000009082.1	K11086
RPACG00000009083.1	K11341
RPACG00000009087.1	K14050
RPACG00000009089.1	K17619
RPACG00000009091.1	K10277
RPACG00000009092.1	K10898
RPACG00000009093.1	K00721
RPACG00000009097.1	K11504
RPACG00000009098.1	K15732
RPACG00000009102.1	K01092
RPACG00000009103.1	K09552
RPACG00000009105.1	K21436
RPACG00000009105.1	K06867
RPACG00000009106.1	K19476
RPACG00000009107.1	K18266
RPACG00000009111.1	K10408
RPACG00000009113.1	K20784
RPACG00000009113.1	K11714
RPACG00000009114.1	K20784
RPACG00000009114.1	K11714
RPACG00000009120.1	K08076
RPACG00000009127.1	K01992
RPACG00000009128.1	K06530
RPACG00000009130.1	K06530
RPACG00000009132.1	K06530
RPACG00000009133.1	K17079
RPACG00000009134.2	K13342
RPACG00000009135.1	K13758
RPACG00000009136.1	K17428
RPACG00000009137.1	K17081
RPACG00000009138.1	K13866
RPACG00000009149.1	K01992
RPACG00000009155.1	K11672
RPACG00000009162.1	K01992
RPACG00000009167.1	K09185
RPACG00000009171.1	K02140
RPACG00000009173.1	K15637
RPACG00000009174.1	K04638
RPACG00000009175.1	K16588
RPACG00000009176.1	K24652
RPACG00000009185.1	K24652
RPACG00000009192.1	K15377
RPACG00000009193.1	K06580
RPACG00000009194.1	K04513
RPACG00000009194.1	K07975
RPACG00000009195.1	K02145
RPACG00000009196.1	K20793
RPACG00000009202.1	K04513
RPACG00000009202.1	K07975
RPACG00000009206.1	K23677
RPACG00000009206.1	K01992
RPACG00000009207.1	K24743
RPACG00000009208.1	K03691
RPACG00000009209.1	K13706
RPACG00000009211.1	K16513
RPACG00000009213.1	K10480
RPACG00000009214.1	K01930
RPACG00000009215.1	K04431
RPACG00000009219.1	K01904
RPACG00000009224.1	K17533
RPACG00000009226.1	K15377
RPACG00000009226.1	K01992
RPACG00000009228.1	K15377
RPACG00000009231.1	K01992
RPACG00000009238.1	K04799
RPACG00000009239.1	K11275
RPACG00000009240.1	K11275
RPACG00000009241.1	K13181
RPACG00000009243.1	K08808
RPACG00000009245.1	K15181
RPACG00000009246.1	K14767
RPACG00000009247.1	K01763
RPACG00000009247.1	K04487
RPACG00000009249.1	K23562
RPACG00000009250.1	K01489
RPACG00000009251.1	K14833
RPACG00000009253.1	K04282
RPACG00000009255.1	K07375
RPACG00000009256.1	K07375
RPACG00000009258.1	K07375
RPACG00000009264.1	K13667
RPACG00000009277.1	K23282
RPACG00000009278.1	K23540
RPACG00000009283.2	K14947
RPACG00000009284.1	K23868
RPACG00000009285.1	K24526
RPACG00000009286.1	K19348
RPACG00000009288.1	K13761
RPACG00000009289.1	K14951
RPACG00000009289.1	K13526
RPACG00000009291.1	K11974
RPACG00000009293.1	K13444
RPACG00000009294.1	K22329
RPACG00000009294.1	K01593
RPACG00000009298.1	K00718
RPACG00000009299.1	K00718
RPACG00000009300.1	K01128
RPACG00000009301.1	K12815
RPACG00000009302.1	K16944
RPACG00000009304.1	K11323
RPACG00000009305.1	K18730
RPACG00000009306.1	K11836
RPACG00000009308.1	K13346
RPACG00000009309.1	K11799
RPACG00000009310.1	K05849
RPACG00000009408.1	K01755
RPACG00000009409.1	K01021
RPACG00000009410.1	K01021
RPACG00000009419.1	K13703
RPACG00000009420.1	K07876
RPACG00000009430.1	K20823
RPACG00000009431.1	K13151
RPACG00000009438.1	K07179
RPACG00000009441.1	K03676
RPACG00000009451.1	K04658
RPACG00000009453.1	K04658
RPACG00000009456.1	K17577
RPACG00000009461.1	K17577
RPACG00000009463.1	K08824
RPACG00000009468.1	K22066
RPACG00000009468.1	K05527
RPACG00000009469.1	K10426
RPACG00000009471.1	K07767
RPACG00000009479.1	K00901
RPACG00000009485.1	K09404
RPACG00000009486.1	K24728
RPACG00000009487.1	K12485
RPACG00000009488.1	K05849
RPACG00000009489.1	K12845
RPACG00000009490.1	K10872
RPACG00000009491.1	K19347
RPACG00000009492.1	K18914
RPACG00000009492.1	K00528
RPACG00000009493.1	K12462
RPACG00000009499.1	K13238
RPACG00000009504.1	K14946
RPACG00000009505.1	K01992
RPACG00000009508.1	K01992
RPACG00000009509.1	K01992
RPACG00000009510.1	K20858
RPACG00000009511.1	K03026
RPACG00000009513.1	K22761
RPACG00000009514.1	K08513
RPACG00000009517.1	K22403
RPACG00000009518.1	K01011
RPACG00000009528.1	K05030
RPACG00000009530.1	K05030
RPACG00000009531.1	K05030
RPACG00000009532.1	K05030
RPACG00000009533.1	K05030
RPACG00000009534.1	K05030
RPACG00000009535.2	K05030
RPACG00000009540.1	K16801
RPACG00000009541.1	K08517
RPACG00000009542.1	K20095
RPACG00000009545.1	K18585
RPACG00000009550.1	K14409
RPACG00000009553.1	K02989
RPACG00000009554.1	K09228
RPACG00000009554.1	K09191
RPACG00000009562.1	K13210
RPACG00000009567.1	K12812
RPACG00000009568.1	K05309
RPACG00000009571.1	K10803
RPACG00000009575.1	K10313
RPACG00000009577.1	K01112
RPACG00000009579.1	K17915
RPACG00000009587.1	K01992
RPACG00000009590.1	K05642
RPACG00000009590.1	K01992
RPACG00000009599.1	K01873
RPACG00000009602.1	K05601
RPACG00000009603.1	K03926
RPACG00000009604.1	K14590
RPACG00000009607.1	K01992
RPACG00000009616.1	K10691
RPACG00000009635.1	K12835
RPACG00000009636.1	K25292
RPACG00000009637.1	K24690
RPACG00000009643.1	K00731
RPACG00000009644.1	K00731
RPACG00000009647.1	K25788
RPACG00000009654.1	K14294
RPACG00000009656.1	K20185
RPACG00000009666.1	K26089
RPACG00000009692.1	K17936
RPACG00000009693.1	K23115
RPACG00000009697.1	K15183
RPACG00000009700.1	K20099
RPACG00000009704.1	K00718
RPACG00000009708.1	K00411
RPACG00000009714.1	K14778
RPACG00000009716.1	K25405
RPACG00000009718.1	K01992
RPACG00000009724.2	K14085
RPACG00000009725.1	K03133
RPACG00000009729.1	K12625
RPACG00000009730.1	K04082
RPACG00000009739.1	K02202
RPACG00000009744.1	K20007
RPACG00000009744.1	K05323
RPACG00000009747.1	K10393
RPACG00000009748.1	K01518
RPACG00000009749.1	K11860
RPACG00000009751.1	K14559
RPACG00000009776.1	K10522
RPACG00000009777.1	K05906
RPACG00000009778.1	K13937
RPACG00000009778.1	K01057
RPACG00000009790.1	K15338
RPACG00000009795.1	K11658
RPACG00000009796.1	K10405
RPACG00000009803.1	K17199
RPACG00000009804.1	K10886
RPACG00000009806.1	K00639
RPACG00000009808.1	K03665
RPACG00000009809.1	K17266
RPACG00000009810.2	K12310
RPACG00000009811.1	K20279
RPACG00000009812.1	K22649
RPACG00000009817.1	K10435
RPACG00000009818.1	K03068
RPACG00000009819.1	K11413
RPACG00000009827.2	K20778
RPACG00000009828.1	K06172
RPACG00000009829.1	K15379
RPACG00000009829.1	K15378
RPACG00000009830.1	K24651
RPACG00000009831.1	K14295
RPACG00000009845.1	K01580
RPACG00000009847.1	K14838
RPACG00000009855.1	K21988
RPACG00000009860.1	K02726
RPACG00000009861.1	K15214
RPACG00000009862.1	K08509
RPACG00000009863.1	K00901
RPACG00000009864.1	K22721
RPACG00000009869.1	K10881
RPACG00000009870.1	K19495
RPACG00000009871.1	K02128
RPACG00000009903.1	K10523
RPACG00000009904.1	K13104
RPACG00000009905.1	K23344
RPACG00000009909.1	K22503
RPACG00000009910.1	K09113
RPACG00000009911.1	K24841
RPACG00000009912.1	K05236
RPACG00000009912.1	K17302
RPACG00000009913.1	K01192
RPACG00000009914.1	K00784
RPACG00000009920.1	K13696
RPACG00000009921.1	K01363
RPACG00000009923.1	K00763
RPACG00000009943.1	K00232
RPACG00000009969.1	K12195
RPACG00000009970.1	K07541
RPACG00000009979.1	K16890
RPACG00000009979.1	K01992
RPACG00000009981.1	K02923
RPACG00000009983.1	K25192
RPACG00000009985.1	K21914
RPACG00000009987.1	K04348
RPACG00000009991.1	K13212
RPACG00000009992.1	K07207
RPACG00000009998.1	K01011
RPACG00000009999.1	K01011
RPACG00000010001.1	K01011
RPACG00000010003.1	K25592
RPACG00000010013.1	K13577
RPACG00000010015.1	K04430
RPACG00000010016.1	K01992
RPACG00000010032.1	K22375
RPACG00000010034.1	K15105
RPACG00000010035.1	K01783
RPACG00000010037.1	K01136
RPACG00000010040.1	K09321
RPACG00000010056.1	K01283
RPACG00000010063.1	K17530
RPACG00000010064.1	K09583
RPACG00000010065.1	K04671
RPACG00000010067.1	K24735
RPACG00000010071.1	K01992
RPACG00000010080.1	K01992
RPACG00000010089.1	K15275
RPACG00000010090.1	K00600
RPACG00000010092.1	K17973
RPACG00000010096.1	K13988
RPACG00000010098.1	K13105
RPACG00000010104.1	K15306
RPACG00000010105.1	K15332
RPACG00000010107.1	K16811
RPACG00000010108.2	K13172
RPACG00000010124.1	K00799
RPACG00000010128.1	K25838
RPACG00000010129.1	K00869
RPACG00000010130.1	K22747
RPACG00000010137.1	K14445
RPACG00000010141.1	K24222
RPACG00000010142.1	K10408
RPACG00000010145.1	K14387
RPACG00000010146.1	K00871
RPACG00000010151.1	K14445
RPACG00000010153.1	K17382
RPACG00000010157.1	K21894
RPACG00000010163.1	K01992
RPACG00000010173.1	K12757
RPACG00000010184.1	K24634
RPACG00000010185.1	K06691
RPACG00000010207.1	K11851
RPACG00000010208.1	K04442
RPACG00000010210.1	K07851
RPACG00000010223.1	K04371
RPACG00000010224.1	K22758
RPACG00000010232.1	K10264
RPACG00000010235.1	K09027
RPACG00000010243.1	K07935
RPACG00000010244.1	K12353
RPACG00000010247.1	K10599
RPACG00000010249.1	K14779
RPACG00000010250.1	K20404
RPACG00000010255.1	K02878
RPACG00000010265.1	K19944
RPACG00000010266.1	K23625
RPACG00000010273.1	K01992
RPACG00000010284.1	K14844
RPACG00000010285.1	K00944
RPACG00000010285.1	K00939
RPACG00000010286.1	K08342
RPACG00000010287.2	K06662
RPACG00000010290.1	K10584
RPACG00000010291.1	K22071
RPACG00000010292.1	K16586
RPACG00000010293.1	K08855
RPACG00000010294.1	K03237
RPACG00000010295.1	K14971
RPACG00000010297.1	K13344
RPACG00000010298.1	K02993
RPACG00000010299.1	K03469
RPACG00000010300.1	K03872
RPACG00000010303.1	K10808
RPACG00000010303.1	K00526
RPACG00000010304.1	K11975
RPACG00000010305.1	K17046
RPACG00000010306.1	K06067
RPACG00000010307.1	K15027
RPACG00000010309.1	K24624
RPACG00000010311.1	K19539
RPACG00000010312.1	K01681
RPACG00000010314.1	K15121
RPACG00000010315.1	K11886
RPACG00000010327.1	K16365
RPACG00000010328.2	K13165
RPACG00000010329.2	K14322
RPACG00000010365.1	K25877
RPACG00000010378.1	K01992
RPACG00000010380.1	K06618
RPACG00000010381.1	K05759
RPACG00000010382.1	K01992
RPACG00000010394.1	K01992
RPACG00000010396.1	K17086
RPACG00000010396.1	K01992
RPACG00000010398.1	K19678
RPACG00000010411.1	K14943
RPACG00000010421.2	K17943
RPACG00000010446.1	K11487
RPACG00000010450.1	K18201
RPACG00000010453.1	K20989
RPACG00000010454.1	K01807
RPACG00000010455.1	K02153
RPACG00000010456.1	K11802
RPACG00000010468.1	K21554
RPACG00000010486.1	K07390
RPACG00000010488.1	K23789
RPACG00000010488.1	K01992
RPACG00000010508.1	K17780
RPACG00000010513.1	K16465
RPACG00000010514.1	K07748
RPACG00000010515.2	K23843
RPACG00000010520.1	K01992
RPACG00000010522.1	K12460
RPACG00000010524.1	K03243
RPACG00000010537.1	K25839
RPACG00000010540.1	K14405
RPACG00000010541.1	K02520
RPACG00000010542.1	K18740
RPACG00000010557.1	K08857
RPACG00000010558.2	K03978
RPACG00000010561.1	K24473
RPACG00000010564.1	K08805
RPACG00000010565.1	K01587
RPACG00000010570.1	K06867
RPACG00000010574.1	K20526
RPACG00000010581.1	K03331
RPACG00000010582.1	K03331
RPACG00000010583.1	K03331
RPACG00000010584.1	K03331
RPACG00000010584.1	K00059
RPACG00000010586.1	K25476
RPACG00000010588.1	K26117
RPACG00000010597.1	K11500
RPACG00000010600.1	K21987
RPACG00000010601.3	K16364
RPACG00000010602.1	K25058
RPACG00000010604.1	K22533
RPACG00000010607.1	K02962
RPACG00000010608.1	K08115
RPACG00000010620.1	K23281
RPACG00000010622.1	K10302
RPACG00000010633.1	K18085
RPACG00000010636.1	K17406
RPACG00000010647.1	K01456
RPACG00000010649.1	K17408
RPACG00000010656.1	K08799
RPACG00000010656.1	K13105
RPACG00000010659.1	K25827
RPACG00000010674.1	K16316
RPACG00000010675.1	K13811
RPACG00000010676.1	K03103
RPACG00000010680.1	K02156
RPACG00000010681.1	K01802
RPACG00000010683.1	K01802
RPACG00000010684.1	K00849
RPACG00000010690.1	K01769
RPACG00000010692.1	K08960
RPACG00000010693.1	K12230
RPACG00000010697.1	K21121
RPACG00000010698.1	K10087
RPACG00000010699.1	K09140
RPACG00000010702.1	K23802
RPACG00000010703.2	K04739
RPACG00000010720.1	K07521
RPACG00000010721.1	K07521
RPACG00000010730.1	K09228
RPACG00000010730.1	K09191
RPACG00000010737.1	K01992
RPACG00000010763.1	K08150
RPACG00000010766.1	K14561
RPACG00000010767.1	K17543
RPACG00000010768.1	K24031
RPACG00000010769.1	K10772
RPACG00000010769.1	K01142
RPACG00000010772.1	K15685
RPACG00000010773.1	K11847
RPACG00000010774.1	K01992
RPACG00000010777.1	K01691
RPACG00000010781.1	K09191
RPACG00000010786.1	K01251
RPACG00000010787.1	K11831
RPACG00000010789.1	K01754
RPACG00000010790.1	K13667
RPACG00000010791.1	K18465
RPACG00000010792.1	K08150
RPACG00000010808.1	K18739
RPACG00000010809.1	K20791
RPACG00000010820.1	K10645
RPACG00000010820.1	K08852
RPACG00000010823.1	K09228
RPACG00000010823.1	K09191
RPACG00000010824.1	K15186
RPACG00000010826.1	K07831
RPACG00000010827.1	K01648
RPACG00000010827.1	K02907
RPACG00000010829.1	K20276
RPACG00000010830.1	K02907
RPACG00000010832.1	K20276
RPACG00000010835.1	K00599
RPACG00000010837.1	K04237
RPACG00000010839.1	K20126
RPACG00000010840.1	K15730
RPACG00000010842.1	K06185
RPACG00000010842.1	K06158
RPACG00000010842.1	K01992
RPACG00000010843.1	K11869
RPACG00000010852.1	K00760
RPACG00000010854.1	K20184
RPACG00000010855.1	K09368
RPACG00000010856.1	K21971
RPACG00000010859.1	K14611
RPACG00000010862.1	K01369
RPACG00000010863.1	K14611
RPACG00000010865.1	K14611
RPACG00000010867.1	K14611
RPACG00000010874.1	K09856
RPACG00000010891.1	K25425
RPACG00000010896.1	K00560
RPACG00000010898.1	K11429
RPACG00000010900.2	K17613
RPACG00000010903.2	K10643
RPACG00000010912.1	K04506
RPACG00000010920.1	K01992
RPACG00000010921.1	K01992
RPACG00000010922.1	K01992
RPACG00000010923.1	K08826
RPACG00000010925.1	K06981
RPACG00000010938.1	K23893
RPACG00000010940.1	K10848
RPACG00000010941.1	K25829
RPACG00000010943.1	K00252
RPACG00000010944.1	K01889
RPACG00000010946.1	K01889
RPACG00000010947.1	K22940
RPACG00000010951.1	K05863
RPACG00000010951.1	K01992
RPACG00000010952.1	K13115
RPACG00000010953.2	K17579
RPACG00000010954.1	K14003
RPACG00000010955.1	K16771
RPACG00000010956.1	K11539
RPACG00000010960.1	K15277
RPACG00000010960.1	K01992
RPACG00000010961.2	K12878
RPACG00000010962.1	K08892
RPACG00000010967.1	K24943
RPACG00000010968.1	K14826
RPACG00000010968.1	K01802
RPACG00000010969.1	K11089
RPACG00000010972.1	K13120
RPACG00000010973.2	K23224
RPACG00000010981.1	K17436
RPACG00000010982.1	K12386
RPACG00000010983.1	K08059
RPACG00000010984.1	K14618
RPACG00000010988.1	K07904
RPACG00000010996.1	K20364
RPACG00000010997.1	K15212
RPACG00000010998.1	K15028
RPACG00000010999.1	K24930
RPACG00000011007.1	K01992
RPACG00000011013.1	K03858
RPACG00000011014.1	K22763
RPACG00000011015.1	K00166
RPACG00000011016.1	K13025
RPACG00000011017.1	K15736
RPACG00000011017.1	K00109
RPACG00000011018.1	K10649
RPACG00000011025.1	K00888
RPACG00000011030.1	K14026
RPACG00000011030.1	K07126
RPACG00000011036.2	K04482
RPACG00000011037.1	K02321
RPACG00000011043.1	K02273
RPACG00000011044.1	K10479
RPACG00000011048.1	K25546
RPACG00000011051.1	K15615
RPACG00000011054.1	K23518
RPACG00000011057.1	K00287
RPACG00000011071.1	K09654
RPACG00000011075.1	K10896
RPACG00000011086.1	K15376
RPACG00000011086.1	K03750
RPACG00000011087.1	K16897
RPACG00000011098.1	K17770
RPACG00000011099.1	K21843
RPACG00000011103.1	K02183
RPACG00000011103.1	K13448
RPACG00000011105.1	K02183
RPACG00000011105.1	K13448
RPACG00000011107.1	K14167
RPACG00000011110.1	K01512
RPACG00000011111.1	K01277
RPACG00000011112.1	K16454
RPACG00000011113.1	K07880
RPACG00000011120.1	K10737
RPACG00000011122.1	K11979
RPACG00000011128.1	K18408
RPACG00000011131.1	K00469
RPACG00000011133.1	K08678
RPACG00000011137.2	K16518
RPACG00000011138.1	K08269
RPACG00000011147.1	K17529
RPACG00000011150.1	K00559
RPACG00000011151.1	K18993
RPACG00000011153.1	K24634
RPACG00000011155.1	K18180
RPACG00000011155.1	K07126
RPACG00000011159.1	K15153
RPACG00000011162.1	K03873
RPACG00000011164.1	K13539
RPACG00000011189.1	K11292
RPACG00000011191.1	K11837
RPACG00000011192.1	K05520
RPACG00000011193.1	K23312
RPACG00000011194.1	K22644
RPACG00000011199.1	K14445
RPACG00000011202.1	K10871
RPACG00000011205.1	K14016
RPACG00000011206.1	K06628
RPACG00000011209.1	K08470
RPACG00000011211.1	K06639
RPACG00000011212.1	K12856
RPACG00000011213.1	K01011
RPACG00000011215.1	K09191
RPACG00000011227.1	K06103
RPACG00000011242.1	K01992
RPACG00000011247.1	K01555
RPACG00000011252.1	K10739
RPACG00000011257.1	K24456
RPACG00000011272.1	K01128
RPACG00000011335.1	K00669
RPACG00000011350.1	K14445
RPACG00000011352.1	K23852
RPACG00000011353.1	K14788
RPACG00000011355.1	K11136
RPACG00000011365.1	K16740
RPACG00000011378.1	K24104
RPACG00000011380.1	K11422
RPACG00000011384.1	K00457
RPACG00000011385.1	K04437
RPACG00000011387.1	K06058
RPACG00000011388.1	K16452
RPACG00000011391.1	K05766
RPACG00000011393.1	K21248
RPACG00000011394.1	K04794
RPACG00000011395.1	K10995
RPACG00000011395.1	K10994
RPACG00000011411.1	K16810
RPACG00000011413.1	K16810
RPACG00000011414.1	K09586
RPACG00000011415.1	K10775
RPACG00000011420.1	K10775
RPACG00000011422.1	K23325
RPACG00000011423.1	K11293
RPACG00000011425.1	K13675
RPACG00000011434.1	K25771
RPACG00000011435.1	K04459
RPACG00000011443.1	K20133
RPACG00000011448.1	K15009
RPACG00000011451.1	K24734
RPACG00000011454.1	K11538
RPACG00000011475.1	K24997
RPACG00000011477.1	K23034
RPACG00000011483.1	K00167
RPACG00000011484.1	K00685
RPACG00000011485.1	K07393
RPACG00000011487.1	K05662
RPACG00000011487.1	K01992
RPACG00000011492.1	K05731
RPACG00000011495.1	K23339
RPACG00000011496.1	K12483
RPACG00000011507.1	K06115
RPACG00000011509.1	K06115
RPACG00000011510.1	K07560
RPACG00000011511.1	K24932
RPACG00000011512.1	K00799
RPACG00000011513.1	K03639
RPACG00000011514.1	K03637
RPACG00000011516.1	K01992
RPACG00000011520.1	K17231
RPACG00000011540.1	K00552
RPACG00000011561.1	K15620
RPACG00000011562.1	K19502
RPACG00000011567.1	K03544
RPACG00000011572.1	K16220
RPACG00000011573.1	K16571
RPACG00000011575.1	K14326
RPACG00000011576.1	K14079
RPACG00000011577.1	K20915
RPACG00000011581.1	K02991
RPACG00000011582.1	K25805
RPACG00000011592.1	K03132
RPACG00000011593.1	K22733
RPACG00000011605.1	K06639
RPACG00000011614.1	K00718
RPACG00000011619.1	K23573
RPACG00000011624.1	K01992
RPACG00000011628.1	K07190
RPACG00000011629.1	K23539
RPACG00000011633.1	K19938
RPACG00000011647.1	K04650
RPACG00000011648.1	K19332
RPACG00000011649.1	K17849
RPACG00000011652.1	K10666
RPACG00000011653.1	K15441
RPACG00000011670.1	K01992
RPACG00000011683.1	K22017
RPACG00000011685.1	K00784
RPACG00000011693.1	K02154
RPACG00000011693.1	K01992
RPACG00000011697.1	K23297
RPACG00000011763.1	K19679
RPACG00000011937.1	K17407
RPACG00000011938.1	K07023
RPACG00000011939.1	K14640
RPACG00000011940.1	K14640
RPACG00000011948.1	K15323
RPACG00000011950.1	K02541
RPACG00000011955.1	K04887
RPACG00000011957.1	K09048
RPACG00000011958.1	K10408
RPACG00000011962.1	K14772
RPACG00000011971.1	K18932
RPACG00000011972.1	K11481
RPACG00000011992.1	K19368
RPACG00000011993.1	K24730
RPACG00000011995.1	K25705
RPACG00000011996.1	K13506
RPACG00000011997.1	K02129
RPACG00000011998.1	K02263
RPACG00000011999.1	K14454
RPACG00000012031.1	K01477
RPACG00000012033.1	K20821
RPACG00000012034.1	K23720
RPACG00000012036.1	K14454
RPACG00000012038.1	K10992
RPACG00000012039.1	K03648
RPACG00000012049.1	K01593
RPACG00000012062.1	K16315
RPACG00000012067.1	K10299
RPACG00000012068.1	K17597
RPACG00000012072.1	K14611
RPACG00000012081.1	K13141
RPACG00000012082.1	K11806
RPACG00000012083.1	K13984
RPACG00000012084.1	K02942
RPACG00000012086.1	K22455
RPACG00000012094.1	K01992
RPACG00000012096.1	K17675
RPACG00000012098.1	K01992
RPACG00000012101.1	K09228
RPACG00000012101.1	K09191
RPACG00000012102.1	K09499
RPACG00000012103.1	K12820
RPACG00000012106.1	K12820
RPACG00000012108.1	K25857
RPACG00000012109.1	K05312
RPACG00000012110.1	K03940
RPACG00000012110.1	K00331
RPACG00000012114.1	K06111
RPACG00000012119.1	K14709
RPACG00000012122.1	K14709
RPACG00000012123.1	K14709
RPACG00000012125.1	K03362
RPACG00000012126.1	K03539
RPACG00000012129.1	K15261
RPACG00000012133.1	K15261
RPACG00000012135.1	K01992
RPACG00000012151.1	K14792
RPACG00000012152.1	K09191
RPACG00000012154.1	K09191
RPACG00000012155.1	K01106
RPACG00000012166.1	K24734
RPACG00000012167.1	K02602
RPACG00000012168.1	K18405
RPACG00000012169.1	K18405
RPACG00000012171.1	K12306
RPACG00000012179.1	K15261
RPACG00000012180.1	K15179
RPACG00000012194.1	K23855
RPACG00000012207.1	K16865
RPACG00000012208.1	K05349
RPACG00000012212.1	K12373
RPACG00000012213.1	K17785
RPACG00000012237.1	K17966
RPACG00000012238.1	K12581
RPACG00000012239.1	K12185
RPACG00000012240.1	K02940
RPACG00000012246.1	K20363
RPACG00000012247.1	K22943
RPACG00000012248.1	K19737
RPACG00000012251.1	K16506
RPACG00000012264.1	K00311
RPACG00000012266.1	K09310
RPACG00000012267.1	K07594
RPACG00000012268.1	K01992
RPACG00000012273.1	K01992
RPACG00000012278.1	K05175
RPACG00000012291.1	K01530
RPACG00000012293.1	K08844
RPACG00000012298.1	K04565
RPACG00000012301.1	K08054
RPACG00000012302.1	K12162
RPACG00000012307.1	K11997
RPACG00000012308.1	K08775
RPACG00000012311.1	K14381
RPACG00000012312.1	K07197
RPACG00000012313.1	K12572
RPACG00000012314.1	K25228
RPACG00000012315.1	K14856
RPACG00000012318.1	K09428
RPACG00000012319.1	K11316
RPACG00000012320.1	K24937
RPACG00000012322.1	K24937
RPACG00000012325.1	K20301
RPACG00000012326.1	K16537
RPACG00000012334.1	K16498
RPACG00000012336.1	K16498
RPACG00000012357.1	K01992
RPACG00000012360.1	K22078
RPACG00000012361.1	K13127
RPACG00000012364.1	K03691
RPACG00000012367.1	K01992
RPACG00000012368.1	K21449
RPACG00000012392.1	K24456
RPACG00000012394.1	K24456
RPACG00000012395.1	K24456
RPACG00000012397.1	K24456
RPACG00000012400.1	K24456
RPACG00000012401.1	K24456
RPACG00000012402.1	K10088
RPACG00000012405.1	K01992
RPACG00000012411.1	K06943
RPACG00000012416.2	K07305
RPACG00000012430.1	K14956
RPACG00000012434.1	K08266
RPACG00000012474.1	K09646
RPACG00000012488.1	K00966
RPACG00000012489.1	K20217
RPACG00000012491.1	K11967
RPACG00000012492.1	K06058
RPACG00000012493.1	K06058
RPACG00000012494.1	K06058
RPACG00000012495.1	K21870
RPACG00000012496.1	K06058
RPACG00000012499.1	K13105
RPACG00000012502.2	K15289
RPACG00000012503.1	K10397
RPACG00000012504.1	K10397
RPACG00000012506.1	K04575
RPACG00000012509.1	K11089
RPACG00000012511.1	K01992
RPACG00000012514.1	K20178
RPACG00000012516.1	K19868
RPACG00000012557.1	K14301
RPACG00000012562.1	K04599
RPACG00000012582.1	K14810
RPACG00000012586.1	K23500
RPACG00000012620.1	K03108
RPACG00000012622.1	K17218
RPACG00000012623.1	K00819
RPACG00000012629.1	K01992
RPACG00000012630.1	K01992
RPACG00000012634.1	K24428
RPACG00000012646.1	K20481
RPACG00000012647.1	K12646
RPACG00000012651.1	K00718
RPACG00000012663.1	K25644
RPACG00000012666.1	K17547
RPACG00000012668.1	K19178
RPACG00000012669.1	K02963
RPACG00000012670.1	K02180
RPACG00000012673.1	K02375
RPACG00000012675.1	K15432
RPACG00000012683.1	K14685
RPACG00000012686.1	K16600
RPACG00000012688.2	K04373
RPACG00000012729.2	K13207
RPACG00000012746.1	K01992
RPACG00000012752.1	K09113
RPACG00000012753.1	K11547
RPACG00000012755.1	K02325
RPACG00000012759.1	K01881
RPACG00000012760.1	K14163
RPACG00000012760.1	K01881
RPACG00000012768.1	K09385
RPACG00000012778.1	K02270
RPACG00000012781.1	K11495
RPACG00000012783.1	K18025
RPACG00000012784.1	K10880
RPACG00000012792.1	K08798
RPACG00000012809.1	K15261
RPACG00000012810.1	K15261
RPACG00000012812.1	K15261
RPACG00000012814.1	K16458
RPACG00000012815.1	K02311
RPACG00000012818.1	K14464
RPACG00000012824.1	K17432
RPACG00000012827.1	K12591
RPACG00000012835.1	K22075
RPACG00000012846.1	K09191
RPACG00000012847.1	K14397
RPACG00000012848.1	K09219
RPACG00000012849.1	K08568
RPACG00000012851.1	K08568
RPACG00000012852.1	K08568
RPACG00000012871.1	K17595
RPACG00000012872.1	K17879
RPACG00000012873.1	K19942
RPACG00000012874.1	K10637
RPACG00000012888.1	K06125
RPACG00000012888.1	K03179
RPACG00000012890.1	K03644
RPACG00000012891.1	K12171
RPACG00000012896.1	K01992
RPACG00000012903.1	K04727
RPACG00000012913.1	K09216
RPACG00000012915.1	K11204
RPACG00000012916.1	K11204
RPACG00000012918.1	K11204
RPACG00000012920.1	K11204
RPACG00000012926.1	K02868
RPACG00000012927.1	K19754
RPACG00000012927.1	K13171
