#Host
FUN000001-T1	K11253
FUN014781-T1	K01124
FUN014781-T1	K01992
FUN014796-T1	K08874
FUN014800-T1	K08874
FUN014802-T1	K08874
FUN014835-T1	K04564
FUN014836-T1	K04564
FUN014842-T1	K23336
FUN014843-T1	K18328
FUN014844-T1	K18066
FUN014854-T1	K23868
FUN014855-T1	K01992
FUN014856-T1	K04564
FUN014857-T1	K03939
FUN014858-T1	K04564
FUN014862-T1	K01064
FUN014867-T1	K20526
FUN014903-T1	K07208
FUN014904-T1	K18401
FUN014905-T1	K15188
FUN014916-T1	K13156
FUN014921-T1	K13156
FUN014927-T1	K10295
FUN014931-T1	K05312
FUN014936-T1	K24734
FUN014968-T1	K14388
FUN014968-T1	K03307
FUN014972-T1	K20840
FUN014975-T1	K01992
FUN014978-T1	K01183
FUN014979-T1	K14677
FUN014984-T1	K01992
FUN014986-T1	K01992
FUN015019-T1	K14310
FUN015026-T1	K08076
FUN015030-T1	K14824
FUN015033-T1	K12593
FUN015036-T1	K23362
FUN015037-T1	K17784
FUN015084-T1	K00799
FUN015087-T1	K00869
FUN015088-T1	K22747
FUN015090-T1	K06127
FUN015091-T1	K10418
FUN015092-T1	K12890
FUN015102-T1	K02435
FUN015198-T1	K16865
FUN015204-T1	K23855
FUN015211-T1	K15179
FUN015216-T1	K09569
FUN015216-T1	K01802
FUN015217-T1	K24686
FUN015263-T1	K16757
FUN015264-T1	K11318
FUN015270-T1	K14288
FUN015271-T1	K02882
FUN015272-T1	K09228
FUN015272-T1	K09191
FUN015273-T1	K09191
FUN015317-T1	K14648
FUN015318-T1	K11972
FUN015319-T1	K08288
FUN015326-T1	K15430
FUN015331-T1	K18175
FUN015339-T1	K19400
FUN015340-T1	K03258
FUN015341-T1	K07050
FUN015392-T1	K09062
FUN015393-T1	K02950
FUN015394-T1	K15110
FUN015396-T1	K15379
FUN015425-T1	K17592
FUN015427-T1	K17592
FUN015428-T1	K17592
FUN015429-T1	K08863
FUN015430-T1	K17592
FUN015431-T1	K24060
FUN015432-T1	K17592
FUN015433-T1	K16761
FUN015434-T1	K12160
FUN015436-T1	K13220
FUN015437-T1	K01992
FUN015441-T1	K03868
FUN015442-T1	K01892
FUN015443-T1	K19983
FUN015458-T1	K03132
FUN015459-T1	K22733
FUN015485-T1	K13051
FUN015487-T1	K06776
FUN015487-T1	K18032
FUN015487-T1	K18033
FUN015493-T1	K01992
FUN015497-T1	K15104
FUN015498-T1	K15104
FUN015499-T1	K15104
FUN015514-T1	K02212
FUN015515-T1	K00645
FUN015520-T1	K02737
FUN015523-T1	K02891
FUN015524-T1	K11826
FUN015525-T1	K13084
FUN015526-T1	K16532
FUN015561-T1	K26117
FUN015564-T1	K25476
FUN015582-T1	K25041
FUN015582-T1	K07297
FUN015586-T1	K12825
FUN015610-T1	K15196
FUN015611-T1	K10478
FUN015612-T1	K15196
FUN015613-T1	K06269
FUN015614-T1	K14944
FUN015615-T1	K06105
FUN015616-T1	K04505
FUN015616-T1	K01992
FUN015617-T1	K04505
FUN015617-T1	K01992
FUN015620-T1	K00911
FUN015621-T1	K21548
FUN015622-T1	K11583
FUN015623-T1	K12179
FUN015624-T1	K01992
FUN015635-T1	K17548
FUN015662-T1	K00128
FUN015670-T1	K24629
FUN015677-T1	K05767
FUN015679-T1	K20818
FUN015681-T1	K00544
FUN015685-T1	K00315
FUN015689-T1	K14709
FUN015690-T1	K24006
FUN015726-T1	K21423
FUN015727-T1	K09228
FUN015727-T1	K09191
FUN015728-T1	K00500
FUN015740-T1	K10751
FUN015863-T1	K08507
FUN015865-T1	K11353
FUN015871-T1	K03511
FUN015872-T1	K00965
FUN015875-T1	K02207
FUN015876-T1	K18038
FUN015922-T1	K16462
FUN015923-T1	K08193
FUN015926-T1	K20092
FUN015927-T1	K14768
FUN015939-T1	K25318
FUN015940-T1	K22524
FUN015977-T1	K08291
FUN015980-T1	K25206
FUN015982-T1	K15141
FUN016039-T1	K09289
FUN016049-T1	K01992
FUN016050-T1	K19867
FUN016052-T1	K08076
FUN016053-T1	K05643
FUN016053-T1	K08076
FUN016053-T1	K01990
FUN016053-T1	K01992
FUN016054-T1	K03593
FUN016056-T1	K10882
FUN016057-T1	K17412
FUN016070-T1	K19363
FUN016095-T1	K25129
FUN016101-T1	K19362
FUN016106-T1	K17796
FUN016107-T1	K14548
FUN016108-T1	K20221
FUN016109-T1	K02237
FUN016111-T1	K24205
FUN016114-T1	K13177
FUN016141-T1	K17600
FUN016142-T1	K17600
FUN016144-T1	K00963
FUN016147-T1	K00963
FUN016150-T1	K00963
FUN016197-T1	K19369
FUN016198-T1	K09232
FUN016199-T1	K24067
FUN016200-T1	K14315
FUN016201-T1	K09173
FUN016213-T1	K20655
FUN016214-T1	K14823
FUN016215-T1	K25474
FUN016217-T1	K03364
FUN016218-T1	K09068
FUN016224-T1	K05759
FUN016266-T1	K18621
FUN016269-T1	K01951
FUN016270-T1	K17550
FUN016274-T1	K20880
FUN016275-T1	K23804
FUN016278-T1	K13728
FUN016281-T1	K06664
FUN016283-T1	K16469
FUN016325-T1	K00555
FUN016339-T1	K18437
FUN016342-T1	K00275
FUN016384-T1	K02987
FUN016385-T1	K09191
FUN016388-T1	K24369
FUN016406-T1	K06238
FUN016512-T1	K22866
FUN016513-T1	K20704
FUN016519-T1	K20888
FUN016553-T1	K01992
FUN016577-T1	K07042
FUN016608-T1	K01867
FUN016609-T1	K24742
FUN016623-T1	K07112
FUN016624-T1	K07112
FUN016625-T1	K17569
FUN016629-T1	K11187
FUN016630-T1	K07199
FUN016664-T1	K13051
FUN016667-T1	K13293
FUN016673-T1	K15281
FUN016680-T1	K07178
FUN016692-T1	K01205
FUN016710-T1	K11315
FUN016713-T1	K09562
FUN016714-T1	K11421
FUN016715-T1	K01379
FUN016723-T1	K04699
FUN016726-T1	K11981
FUN016733-T1	K13755
FUN016764-T1	K00552
FUN016769-T1	K23729
FUN016778-T1	K19748
FUN016780-T1	K06692
FUN016792-T1	K14445
FUN016803-T1	K21424
FUN016849-T1	K16674
FUN016850-T1	K25749
FUN016851-T1	K20161
FUN016852-T1	K02900
FUN016856-T1	K14156
FUN016857-T1	K19931
FUN016859-T1	K07855
FUN016894-T1	K01590
FUN016894-T1	K01593
FUN016906-T1	K25065
FUN016907-T1	K21138
FUN016908-T1	K00831
FUN016909-T1	K00873
FUN016912-T1	K13887
FUN016913-T1	K06634
FUN016914-T1	K18708
FUN016915-T1	K16728
FUN016916-T1	K08773
FUN016917-T1	K00456
FUN016918-T1	K12399
FUN016925-T1	K22560
FUN016946-T1	K24734
FUN016949-T1	K24734
FUN016950-T1	K05719
FUN016951-T1	K01992
FUN016957-T1	K01992
FUN016959-T1	K23553
FUN016977-T1	K18666
FUN017019-T1	K05463
FUN017023-T1	K17541
FUN017026-T1	K04513
FUN017028-T1	K04513
FUN017037-T1	K01245
FUN017139-T1	K03063
FUN017150-T1	K24255
FUN017152-T1	K04712
FUN017153-T1	K09201
FUN017157-T1	K19874
FUN017158-T1	K17592
FUN017159-T1	K17592
FUN017182-T1	K09341
FUN017185-T1	K17310
FUN017189-T1	K17408
FUN017190-T1	K19539
FUN017193-T1	K06101
FUN017195-T1	K06101
FUN017206-T1	K15293
FUN017207-T1	K15293
FUN017208-T1	K15293
FUN017243-T1	K25304
FUN017248-T1	K24931
FUN017261-T1	K13149
FUN017262-T1	K23327
FUN017263-T1	K17277
FUN017264-T1	K01992
FUN017284-T1	K05648
FUN017284-T1	K01990
FUN017284-T1	K01992
FUN017286-T1	K25165
FUN017291-T1	K25165
FUN017294-T1	K12195
FUN017295-T1	K07541
FUN017309-T1	K03035
FUN017310-T1	K02537
FUN017312-T1	K16767
FUN017343-T1	K03357
FUN017344-T1	K00142
FUN017421-T1	K20232
FUN017425-T1	K00777
FUN017426-T1	K13184
FUN017427-T1	K05635
FUN017445-T1	K24536
FUN017446-T1	K10086
FUN017460-T1	K02962
FUN017463-T1	K22533
FUN017466-T1	K17479
FUN017470-T1	K02910
FUN017471-T1	K09504
FUN017472-T1	K12394
FUN017472-T1	K12399
FUN017474-T1	K24682
FUN017476-T1	K01374
FUN017476-T1	K22422
FUN017477-T1	K02985
FUN017478-T1	K20689
FUN017479-T1	K01992
FUN017491-T1	K03327
FUN017530-T1	K09191
FUN017531-T1	K03946
FUN017532-T1	K03327
FUN017532-T1	K01992
FUN017534-T1	K17780
FUN017548-T1	K17268
FUN017549-T1	K16582
FUN017573-T1	K02433
FUN017575-T1	K06106
FUN017580-T1	K19527
FUN017587-T1	K17918
FUN017588-T1	K14407
FUN017591-T1	K22138
FUN017592-T1	K17817
FUN017628-T1	K12896
FUN017629-T1	K12896
FUN017630-T1	K12896
FUN017779-T1	K21767
FUN017781-T1	K21767
FUN017785-T1	K24456
FUN017787-T1	K15015
FUN017796-T1	K03250
FUN017797-T1	K15700
FUN017798-T1	K19007
FUN017803-T1	K19403
FUN017805-T1	K11092
FUN017806-T1	K08267
FUN017856-T1	K20058
FUN017857-T1	K03145
FUN017858-T1	K03145
FUN017864-T1	K09275
FUN017879-T1	K09399
FUN017883-T1	K08827
FUN017884-T1	K09585
FUN017885-T1	K16759
FUN017887-T1	K16759
FUN017894-T1	K13092
FUN017896-T1	K25100
FUN017898-T1	K22864
FUN017900-T1	K00814
FUN017901-T1	K01301
FUN017902-T1	K26116
FUN017903-T1	K12864
FUN017904-T1	K11478
FUN017907-T1	K05292
FUN017908-T1	K01992
FUN017929-T1	K20773
FUN017931-T1	K19526
FUN017933-T1	K19526
FUN017945-T1	K11657
FUN017953-T1	K14943
FUN017962-T1	K19678
FUN017962-T1	K17086
FUN017984-T1	K15516
FUN017987-T1	K01992
FUN017988-T1	K20241
FUN017989-T1	K06528
FUN017990-T1	K23424
FUN017991-T1	K07305
FUN017992-T1	K08852
FUN018008-T1	K07216
FUN018009-T1	K07216
FUN018010-T1	K07216
FUN018011-T1	K22857
FUN018019-T1	K10888
FUN018021-T1	K04682
FUN018028-T1	K01992
FUN018030-T1	K01992
FUN018044-T1	K12180
FUN018045-T1	K00134
FUN018060-T1	K00031
FUN018068-T1	K09570
FUN018068-T1	K01802
FUN018073-T1	K19613
FUN018075-T1	K02912
FUN018112-T1	K23970
FUN018114-T1	K10572
FUN018118-T1	K14443
FUN018120-T1	K03714
FUN018123-T1	K15272
FUN018124-T1	K17782
FUN018125-T1	K13511
FUN018153-T1	K07765
FUN018154-T1	K03242
FUN018155-T1	K18463
FUN018162-T1	K05970
FUN018164-T1	K05970
FUN018167-T1	K07393
FUN018168-T1	K07393
FUN018197-T1	K20292
FUN018213-T1	K09666
FUN018221-T1	K16288
FUN018222-T1	K15447
FUN018223-T1	K15447
FUN018297-T1	K11450
FUN018298-T1	K20302
FUN018299-T1	K05694
FUN018301-T1	K07767
FUN018306-T1	K23611
FUN018307-T1	K01937
FUN018308-T1	K11405
FUN018309-T1	K23424
FUN018310-T1	K09067
FUN018318-T1	K00635
FUN018319-T1	K24627
FUN018349-T1	K25648
FUN018351-T1	K00551
FUN018364-T1	K11494
FUN018365-T1	K10863
FUN018366-T1	K01900
FUN018371-T1	K10846
FUN018390-T1	K01992
FUN018400-T1	K01992
FUN018433-T1	K01431
FUN018435-T1	K18728
FUN018436-T1	K06944
FUN018438-T1	K21437
FUN018440-T1	K11666
FUN018446-T1	K17425
FUN018448-T1	K02358
FUN018450-T1	K13206
FUN018452-T1	K23499
FUN018453-T1	K12172
FUN018471-T1	K24889
FUN018488-T1	K24889
FUN018492-T1	K24889
FUN018498-T1	K18726
FUN018530-T1	K23424
FUN018534-T1	K24426
FUN018539-T1	K24501
FUN018539-T1	K09191
FUN018567-T1	K06103
FUN018571-T1	K22017
FUN018576-T1	K09091
FUN018581-T1	K14607
FUN018613-T1	K22017
FUN018654-T1	K17658
FUN018655-T1	K18183
FUN018657-T1	K08852
FUN018659-T1	K18412
FUN018662-T1	K09580
FUN018671-T1	K19363
FUN018690-T1	K00921
FUN018692-T1	K00921
FUN018697-T1	K08701
FUN018716-T1	K00445
FUN018819-T1	K16751
FUN018820-T1	K10756
FUN018821-T1	K07126
FUN018822-T1	K17592
FUN018824-T1	K17592
FUN018825-T1	K17592
FUN018828-T1	K23617
FUN018828-T1	K00666
FUN018834-T1	K25866
FUN018835-T1	K20180
FUN018836-T1	K20180
FUN018866-T1	K02350
FUN018867-T1	K04565
FUN018868-T1	K25203
FUN018871-T1	K08791
FUN018872-T1	K18161
FUN018886-T1	K03000
FUN018887-T1	K24527
FUN018888-T1	K01412
FUN018892-T1	K13800
FUN018892-T1	K00939
FUN018893-T1	K00939
FUN018894-T1	K05290
FUN018902-T1	K01875
FUN018903-T1	K03248
FUN018906-T1	K02320
FUN018910-T1	K25531
FUN018934-T1	K16782
FUN018935-T1	K14299
FUN018943-T1	K10582
FUN018944-T1	K05284
FUN018950-T1	K11997
FUN018951-T1	K01676
FUN018991-T1	K02865
FUN018992-T1	K11857
FUN019031-T1	K08957
FUN019035-T1	K01125
FUN019036-T1	K14343
FUN019042-T1	K22037
FUN019044-T1	K20027
FUN019069-T1	K08869
FUN019070-T1	K23293
FUN019072-T1	K24051
FUN019073-T1	K11997
FUN019106-T1	K01992
FUN019109-T1	K08076
FUN019158-T1	K12849
FUN019159-T1	K02603
FUN019195-T1	K22754
FUN019197-T1	K22754
FUN019198-T1	K22754
FUN019212-T1	K18464
FUN019223-T1	K10688
FUN019224-T1	K15759
FUN019225-T1	K16804
FUN019448-T1	K06276
FUN019452-T1	K09402
FUN019453-T1	K12866
FUN019454-T1	K07195
FUN019477-T1	K02098
FUN019481-T1	K25949
FUN019486-T1	K16478
FUN019487-T1	K03861
FUN019488-T1	K13343
FUN019489-T1	K01992
FUN019495-T1	K23600
FUN019497-T1	K01992
FUN019519-T1	K14568
FUN019532-T1	K16942
FUN019554-T1	K21862
FUN019554-T1	K01992
FUN019558-T1	K15013
FUN019578-T1	K17820
FUN019602-T1	K00275
FUN019608-T1	K16060
FUN019609-T1	K16060
FUN019611-T1	K16060
FUN019614-T1	K16060
FUN019615-T1	K16060
FUN019631-T1	K15164
FUN019638-T1	K14031
FUN019639-T1	K18134
FUN019640-T1	K16547
FUN019643-T1	K10801
FUN019651-T1	K19202
FUN019653-T1	K14802
FUN019653-T1	K01530
FUN019654-T1	K03678
FUN019655-T1	K06627
FUN019672-T1	K10624
FUN019678-T1	K01769
FUN019687-T1	K14545
FUN019689-T1	K14404
FUN019710-T1	K12604
FUN019716-T1	K09191
FUN019717-T1	K09191
FUN019718-T1	K10343
FUN019721-T1	K01803
FUN019722-T1	K01855
FUN019722-T1	K03190
FUN019723-T1	K14864
FUN019724-T1	K03188
FUN019738-T1	K20164
FUN019740-T1	K02503
FUN019755-T1	K14077
FUN019778-T1	K09442
FUN019782-T1	K10610
FUN019783-T1	K20223
FUN019784-T1	K00326
FUN019785-T1	K19572
FUN019786-T1	K05349
FUN019789-T1	K18405
FUN019791-T1	K01106
FUN019794-T1	K24734
FUN019795-T1	K02602
FUN019878-T1	K03099
FUN019879-T1	K08493
FUN019880-T1	K23506
FUN019895-T1	K24865
FUN019896-T1	K02867
FUN019897-T1	K14795
FUN019900-T1	K08876
FUN019901-T1	K01082
FUN019902-T1	K22390
FUN019903-T1	K21848
FUN019918-T1	K14844
FUN019919-T1	K00939
FUN019920-T1	K08342
FUN019921-T1	K06662
FUN019923-T1	K06662
FUN019924-T1	K10584
FUN019927-T1	K16586
FUN019928-T1	K08855
FUN019929-T1	K03237
FUN019930-T1	K14971
FUN019931-T1	K13344
FUN019932-T1	K02993
FUN019933-T1	K03469
FUN019934-T1	K03872
FUN019938-T1	K10808
FUN019938-T1	K00526
FUN019943-T1	K17046
FUN019944-T1	K06067
FUN019945-T1	K25615
FUN019946-T1	K15027
FUN019948-T1	K24624
FUN019961-T1	K13102
FUN019962-T1	K16607
FUN019964-T1	K01992
FUN019968-T1	K18405
FUN019974-T1	K06947
FUN019975-T1	K20820
FUN019976-T1	K00615
FUN019979-T1	K14011
FUN019980-T1	K22390
FUN020007-T1	K01992
FUN020010-T1	K08115
FUN020015-T1	K04539
FUN020021-T1	K03845
FUN020023-T1	K15264
FUN020024-T1	K21439
FUN020026-T1	K23331
FUN020051-T1	K07573
FUN020052-T1	K13121
FUN020063-T1	K01045
FUN020080-T1	K14845
FUN020081-T1	K08880
FUN020082-T1	K16862
FUN020084-T1	K17710
FUN020086-T1	K12230
FUN020094-T1	K15191
FUN020103-T1	K21952
FUN020126-T1	K01992
FUN020127-T1	K13525
FUN020129-T1	K20776
FUN020131-T1	K21403
FUN020132-T1	K21403
FUN020141-T1	K24825
FUN020143-T1	K02922
FUN020144-T1	K10291
FUN020145-T1	K03138
FUN020162-T1	K11674
FUN020163-T1	K09517
FUN020181-T1	K02349
FUN020182-T1	K22139
FUN020186-T1	K17985
FUN020187-T1	K00616
FUN020207-T1	K23879
FUN020209-T1	K17654
FUN020210-T1	K22069
FUN020220-T1	K09191
FUN020221-T1	K14440
FUN020234-T1	K01992
FUN020249-T1	K01992
FUN020253-T1	K23909
FUN020256-T1	K03251
FUN020257-T1	K10646
FUN020260-T1	K01992
FUN020374-T1	K03320
FUN020376-T1	K03320
FUN020385-T1	K23797
FUN020426-T1	K10339
FUN020428-T1	K17808
FUN020430-T1	K01876
FUN020434-T1	K21751
FUN020436-T1	K22985
FUN020451-T1	K12567
FUN020453-T1	K12567
FUN020456-T1	K19307
FUN020457-T1	K18040
FUN020459-T1	K24048
FUN020460-T1	K24734
FUN020477-T1	K05605
FUN020477-T1	K01692
FUN020481-T1	K03013
FUN020482-T1	K25704
FUN020483-T1	K03241
FUN020484-T1	K15680
FUN020485-T1	K06704
FUN020506-T1	K22544
FUN020509-T1	K02040
FUN020515-T1	K23168
FUN020519-T1	K18409
FUN020522-T1	K15623
FUN020523-T1	K08957
FUN020524-T1	K05543
FUN020525-T1	K06093
FUN020526-T1	K06816
FUN020527-T1	K06816
FUN020528-T1	K04506
FUN020529-T1	K21797
FUN020531-T1	K22128
FUN020543-T1	K24047
FUN020547-T1	K19464
FUN020564-T1	K13249
FUN020570-T1	K23616
FUN020571-T1	K23616
FUN020573-T1	K14169
FUN020580-T1	K06685
FUN020581-T1	K24786
FUN020582-T1	K19612
FUN020583-T1	K16833
FUN020584-T1	K11861
FUN020586-T1	K14403
FUN020590-T1	K09571
FUN020590-T1	K01802
FUN020592-T1	K21124
FUN020593-T1	K23012
FUN020596-T1	K15443
FUN020600-T1	K00907
FUN020621-T1	K22379
FUN020623-T1	K08052
FUN020625-T1	K23677
FUN020653-T1	K16912
FUN020655-T1	K11462
FUN020658-T1	K24054
FUN020659-T1	K05088
FUN020662-T1	K05088
FUN020669-T1	K09085
FUN020688-T1	K01784
FUN020691-T1	K00720
FUN020698-T1	K20703
FUN020705-T1	K08288
FUN020706-T1	K07298
FUN020807-T1	K24691
FUN020810-T1	K06928
FUN020811-T1	K04460
FUN020812-T1	K00962
FUN020819-T1	K00710
FUN020820-T1	K09602
FUN020866-T1	K24317
FUN020893-T1	K14025
FUN020894-T1	K03685
FUN020898-T1	K20295
FUN020899-T1	K09258
FUN020903-T1	K17418
FUN020928-T1	K11188
FUN020930-T1	K15287
FUN020930-T1	K01992
FUN020931-T1	K07925
FUN020933-T1	K01992
FUN020934-T1	K11662
FUN020937-T1	K03127
FUN020938-T1	K10420
FUN020939-T1	K25178
FUN020940-T1	K03126
FUN020941-T1	K25636
FUN020942-T1	K17525
FUN020945-T1	K25628
FUN020946-T1	K13720
FUN020948-T1	K24553
FUN020949-T1	K16546
FUN020950-T1	K08866
FUN020971-T1	K19868
FUN020972-T1	K20178
FUN020974-T1	K20178
FUN020978-T1	K01992
FUN020981-T1	K11089
FUN020982-T1	K11089
FUN020983-T1	K11089
FUN020987-T1	K04575
FUN020991-T1	K10397
FUN020993-T1	K15289
FUN020993-T1	K01992
FUN021006-T1	K01775
FUN021010-T1	K21066
FUN021046-T1	K24419
FUN021051-T1	K24419
FUN021063-T1	K25701
FUN021064-T1	K20015
FUN021067-T1	K06676
FUN021078-T1	K10424
FUN021079-T1	K08856
FUN021081-T1	K25548
FUN021082-T1	K25548
FUN021090-T1	K26084
FUN021091-T1	K09582
FUN021097-T1	K13516
FUN021098-T1	K20135
FUN021099-T1	K04405
FUN021127-T1	K12613
FUN021134-T1	K01992
FUN021135-T1	K18674
FUN021136-T1	K00021
FUN021137-T1	K03234
FUN021145-T1	K08283
FUN021173-T1	K10696
FUN021179-T1	K15449
FUN021263-T1	K16765
FUN021264-T1	K16765
FUN021266-T1	K16765
FUN021267-T1	K09502
FUN021269-T1	K16490
FUN021273-T1	K15266
FUN021279-T1	K07756
FUN021280-T1	K15376
FUN021280-T1	K03750
FUN021281-T1	K16897
FUN021295-T1	K23318
FUN021301-T1	K17566
FUN021310-T1	K14840
FUN021312-T1	K03062
FUN021313-T1	K19465
FUN021314-T1	K24518
FUN021317-T1	K14589
FUN021318-T1	K14589
FUN021344-T1	K10756
FUN021348-T1	K18047
FUN021354-T1	K21841
FUN021355-T1	K19760
FUN021358-T1	K17969
FUN021361-T1	K09539
FUN021362-T1	K01885
FUN021372-T1	K01992
FUN021374-T1	K17989
FUN021377-T1	K21444
FUN021377-T1	K18738
FUN021379-T1	K17893
FUN021381-T1	K13539
FUN021387-T1	K01363
FUN021390-T1	K12488
FUN021391-T1	K03942
FUN021396-T1	K19625
FUN021406-T1	K11656
FUN021407-T1	K15410
FUN021433-T1	K06669
FUN021435-T1	K24721
FUN021436-T1	K12232
FUN021437-T1	K09680
FUN021438-T1	K06997
FUN021439-T1	K01899
FUN021439-T1	K01902
FUN021439-T1	K02907
FUN021440-T1	K25777
FUN021454-T1	K24333
FUN021468-T1	K00830
FUN021474-T1	K22764
FUN021475-T1	K17302
FUN021477-T1	K11858
FUN021510-T1	K13175
FUN021511-T1	K24926
FUN021512-T1	K26100
FUN021513-T1	K12819
FUN021514-T1	K19832
FUN021519-T1	K01056
FUN021520-T1	K25609
FUN021521-T1	K03859
FUN021526-T1	K06580
FUN021526-T1	K01992
FUN021527-T1	K06580
FUN021529-T1	K14713
FUN021530-T1	K18169
FUN021534-T1	K21643
FUN021538-T1	K16680
FUN021555-T1	K15537
FUN021561-T1	K03033
FUN021564-T1	K22388
FUN021565-T1	K11224
FUN021567-T1	K00757
FUN021568-T1	K09191
FUN021574-T1	K08211
FUN021577-T1	K22017
FUN021610-T1	K17426
FUN021713-T1	K03540
FUN021714-T1	K16453
FUN021717-T1	K01992
FUN021718-T1	K01992
FUN021719-T1	K10266
FUN021720-T1	K10408
FUN021721-T1	K10865
FUN021724-T1	K01151
FUN021725-T1	K13806
FUN021756-T1	K01867
FUN021767-T1	K22756
FUN021778-T1	K01992
FUN021805-T1	K13127
FUN021810-T1	K22078
FUN021811-T1	K13127
FUN021815-T1	K03691
FUN021823-T1	K24539
FUN021828-T1	K12301
FUN021828-T1	K08193
FUN021836-T1	K07297
FUN021839-T1	K22017
FUN021841-T1	K03639
FUN021842-T1	K00799
FUN021843-T1	K24932
FUN021844-T1	K07560
FUN021847-T1	K06115
FUN021849-T1	K12483
FUN021850-T1	K23339
FUN021851-T1	K23859
FUN021858-T1	K24779
FUN021860-T1	K11799
FUN021866-T1	K24020
FUN021867-T1	K24169
FUN021877-T1	K18753
FUN021902-T1	K24936
FUN021903-T1	K01202
FUN021904-T1	K08669
FUN021908-T1	K07375
FUN021909-T1	K15262
FUN021910-T1	K02916
FUN021911-T1	K07375
FUN021912-T1	K07375
FUN021914-T1	K07375
FUN021916-T1	K01992
FUN021938-T1	K14529
FUN021939-T1	K13517
FUN021943-T1	K10841
FUN021944-T1	K01992
FUN021966-T1	K01992
FUN021971-T1	K19360
FUN021972-T1	K02213
FUN021973-T1	K13100
FUN021975-T1	K05678
FUN022014-T1	K10408
FUN022015-T1	K24222
FUN022020-T1	K14445
FUN022022-T1	K14445
FUN022023-T1	K14445
FUN022035-T1	K25165
FUN022041-T1	K06679
FUN022042-T1	K25802
FUN022044-T1	K14848
FUN022046-T1	K04678
FUN022052-T1	K05991
FUN022053-T1	K15438
FUN022054-T1	K10596
FUN022129-T1	K16185
FUN022134-T1	K04397
FUN022135-T1	K17794
FUN022137-T1	K01697
FUN022138-T1	K24023
FUN022140-T1	K02732
FUN022141-T1	K10263
FUN022141-T1	K12621
FUN022142-T1	K17553
FUN022161-T1	K22017
FUN022164-T1	K22017
FUN022192-T1	K11851
FUN022193-T1	K07851
FUN022194-T1	K14387
FUN022195-T1	K14387
FUN022195-T1	K01992
FUN022204-T1	K10739
FUN022209-T1	K01555
FUN022210-T1	K11141
FUN022210-T1	K11140
FUN022212-T1	K19511
FUN022213-T1	K17362
FUN022222-T1	K14462
FUN022225-T1	K01641
FUN022227-T1	K01641
FUN022229-T1	K11865
FUN022231-T1	K15201
FUN022241-T1	K04382
FUN022242-T1	K14753
FUN022244-T1	K04370
FUN022251-T1	K10767
FUN022254-T1	K02258
FUN022255-T1	K06944
FUN022257-T1	K10361
FUN022260-T1	K06639
FUN022267-T1	K04430
FUN022270-T1	K14445
FUN022271-T1	K14445
FUN022280-T1	K09223
FUN022280-T1	K09191
FUN022282-T1	K20827
FUN022283-T1	K07126
FUN022287-T1	K24465
FUN022290-T1	K20798
FUN022291-T1	K21404
FUN022292-T1	K21879
FUN022295-T1	K08190
FUN022298-T1	K10991
FUN022306-T1	K06972
FUN022307-T1	K03144
FUN022308-T1	K01873
FUN022312-T1	K15690
FUN022321-T1	K14157
FUN022321-T1	K00290
FUN022322-T1	K00605
FUN022328-T1	K09210
FUN022334-T1	K10300
FUN022369-T1	K05218
FUN022371-T1	K20194
FUN022401-T1	K16518
FUN022404-T1	K08678
FUN022405-T1	K00469
FUN022406-T1	K07390
FUN022407-T1	K23789
FUN022407-T1	K01992
FUN022421-T1	K06670
FUN022422-T1	K24205
FUN022425-T1	K00286
FUN022430-T1	K17914
FUN022534-T1	K24242
FUN022535-T1	K16541
FUN022545-T1	K20276
FUN022547-T1	K09195
FUN022548-T1	K06058
FUN022551-T1	K06058
FUN022552-T1	K11967
FUN022554-T1	K20217
FUN022555-T1	K00966
FUN022572-T1	K15075
FUN022585-T1	K12301
FUN022585-T1	K08193
FUN022588-T1	K17582
FUN022589-T1	K16315
FUN022615-T1	K24826
FUN022619-T1	K11578
FUN022620-T1	K19998
FUN022642-T1	K25381
FUN022654-T1	K18740
FUN022655-T1	K18170
FUN022657-T1	K01487
FUN022664-T1	K00875
FUN022665-T1	K15304
FUN022667-T1	K02979
FUN022670-T1	K03951
FUN022686-T1	K01992
FUN022688-T1	K01992
FUN022692-T1	K01992
FUN022694-T1	K01992
FUN022695-T1	K01992
FUN022714-T1	K21249
FUN022730-T1	K21424
FUN022734-T1	K04367
FUN022736-T1	K01895
FUN022741-T1	K15439
FUN022742-T1	K09172
FUN022762-T1	K22128
FUN022762-T1	K01992
FUN022763-T1	K22128
FUN022764-T1	K22128
FUN022765-T1	K22128
FUN022766-T1	K00364
FUN022767-T1	K03943
FUN022767-T1	K00334
FUN022771-T1	K03934
FUN022775-T1	K10683
FUN022776-T1	K03232
FUN022782-T1	K04153
FUN022801-T1	K14537
FUN022802-T1	K14570
FUN022803-T1	K14570
FUN022804-T1	K13291
FUN022806-T1	K20188
FUN022807-T1	K02736
FUN022811-T1	K12474
FUN022812-T1	K15538
FUN022814-T1	K10606
FUN022815-T1	K10606
FUN022825-T1	K03849
FUN022847-T1	K15133
FUN022851-T1	K25460
FUN022946-T1	K00699
FUN022947-T1	K00699
FUN022948-T1	K24835
FUN022949-T1	K23497
FUN022951-T1	K12186
FUN022967-T1	K02308
FUN022979-T1	K14808
FUN022980-T1	K18669
FUN022981-T1	K22076
FUN022992-T1	K07151
FUN022992-T1	K12587
